level_1,level_2,level_3,level_4,level_5,description
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,,The ability to suppress automatic or prepotent responses.
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,,The ability to maintain focus and performance despite distracting or competing stimuli.
Cognitive Function,Executive Function,Planning and Organization,,,"The ability to develop strategies, organize thoughts and activities, and manage time effectively."
Cognitive Function,Executive Function,Planning and Organization,Strategic Planning,,The ability to formulate and execute multi-step plans to achieve goals.
Cognitive Function,Executive Function,Planning and Organization,Time Management,,"The ability to estimate time, prioritize tasks, and meet deadlines."
Cognitive Function,Learning,,,,"The capacity to acquire new knowledge, skills, and behaviors through experience, study, or instruction."
Cognitive Function,Learning,Explicit Learning,,,"Conscious, intentional learning of information and skills through direct instruction or focused study."
Cognitive Function,Learning,Explicit Learning,Declarative Learning,,"Learning of facts, concepts, and events that can be consciously recalled and verbalized."
Cognitive Function,Learning,Explicit Learning,Skill Acquisition,,"Conscious learning of new procedures, techniques, and abilities."
Cognitive Function,Learning,Implicit Learning,,,Unconscious learning that occurs without awareness through exposure and experience.
Cognitive Function,Learning,Implicit Learning,Statistical Learning,,Unconscious learning of patterns and regularities in the environment.
Cognitive Function,Learning,Implicit Learning,Associative Learning,,Learning through the association of stimuli or events without conscious awareness.
Cognitive Function,Processing Speed,,,,The efficiency and speed with which cognitive tasks are performed and information is processed.
Cognitive Function,Processing Speed,Mental Processing Speed,,,The speed of thinking and mental operations in cognitive tasks.
Cognitive Function,Processing Speed,Mental Processing Speed,Information Processing Speed,,The speed of perceiving and initially processing new information.
Cognitive Function,Processing Speed,Mental Processing Speed,Decision Speed,,The speed of making choices or judgments based on information.
Cognitive Function,Processing Speed,Psychomotor Speed,,,The speed of physical responses and motor actions in cognitive-motor tasks.
Cognitive Function,Processing Speed,Psychomotor Speed,Simple Reaction Time,,"The speed of responding to a single, predetermined stimulus."
Cognitive Function,Processing Speed,Psychomotor Speed,Complex Reaction Time,,The speed of responding when choice or discrimination is required.
Cognitive Function,Reasoning and Problem Solving,,,,"The ability to analyze information, make logical connections, and develop solutions to challenges."
Cognitive Function,Reasoning and Problem Solving,Abstract Reasoning,,,The ability to understand and analyze abstract concepts and patterns.
Cognitive Function,Reasoning and Problem Solving,Abstract Reasoning,Pattern Recognition,,The ability to identify and understand recurring patterns and relationships.
Cognitive Function,Reasoning and Problem Solving,Abstract Reasoning,Conceptual Thinking,,The ability to understand and work with abstract ideas and theoretical concepts.
Cognitive Function,Reasoning and Problem Solving,Logical Reasoning,,,The ability to apply logical principles to analyze information and draw valid conclusions.
Cognitive Function,Reasoning and Problem Solving,Logical Reasoning,Deductive Reasoning,,The ability to draw specific conclusions from general principles.
Cognitive Function,Reasoning and Problem Solving,Logical Reasoning,Inductive Reasoning,,The ability to draw general conclusions from specific observations.
Cognitive Function,Reasoning and Problem Solving,Quantitative Reasoning,,,The ability to understand and solve mathematical and numerical problems.
Cognitive Function,Reasoning and Problem Solving,Quantitative Reasoning,Numerical Operations,,The ability to perform basic mathematical calculations and operations.
Cognitive Function,Reasoning and Problem Solving,Quantitative Reasoning,Mathematical Problem Solving,,The ability to apply mathematical concepts to solve complex problems.
Emotion Regulation,,,,,"The ability to monitor, evaluate, and modify emotional reactions to accomplish goals, involving both internal processes and external behaviors."
Emotion Regulation,Emotional Awareness,,,,"The ability to identify, recognize, and understand one's own emotions and their triggers."
Emotion Regulation,Emotional Awareness,Emotion Recognition,,,The ability to identify and label different emotional states as they occur.
Emotion Regulation,Emotional Awareness,Emotion Recognition,Primary Emotion Identification,,"The ability to recognize and label basic emotions (e.g., happiness, sadness, anger, fear)."
Emotion Regulation,Emotional Awareness,Emotion Recognition,Complex Emotion Identification,,"The ability to recognize and label more nuanced or mixed emotional states (e.g., disappointment, pride, jealousy)."
Emotion Regulation,Emotional Awareness,Emotional Understanding,,,The ability to comprehend the causes and consequences of emotions.
Emotion Regulation,Emotional Awareness,Emotional Understanding,Trigger Recognition,,"The ability to identify specific events, thoughts, or situations that lead to emotional responses."
Emotion Regulation,Emotional Awareness,Emotional Understanding,Consequence Awareness,,The ability to understand the potential outcomes and impacts of different emotional states.
Emotion Regulation,Emotional Awareness,Body-Emotion Connection,,,The ability to recognize physiological responses associated with different emotional states.
Emotion Regulation,Emotional Awareness,Body-Emotion Connection,Physical Sensation Recognition,,"The ability to identify specific bodily sensations associated with emotions (e.g., racing heart, muscle tension)."
Emotion Regulation,Emotional Awareness,Body-Emotion Connection,Arousal Level Awareness,,The ability to recognize and monitor one's level of physiological activation or arousal.
Emotion Regulation,Emotional Expression,,,,"The ability to outwardly express emotions in contextually appropriate ways, including both verbal and non-verbal expressions."
Emotion Regulation,Emotional Expression,Verbal Expression,,,The ability to communicate emotions through words and language.
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,,The ability to use precise and varied language to describe emotional experiences.
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Narrative,,The ability to coherently describe emotional experiences and their context.
Emotion Regulation,Emotional Expression,Non-verbal Expression,,,"The ability to convey emotions through facial expressions, body language, and tone of voice."
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Expression Control,,The ability to consciously control and modify facial expressions to convey emotions.
Emotion Regulation,Emotional Expression,Non-verbal Expression,Body Language Management,,The ability to use appropriate posture and gestures to communicate emotions.
Emotion Regulation,Emotional Expression,Non-verbal Expression,Voice Modulation,,"The ability to adjust tone, volume, and pace of speech to convey emotional meaning."
Emotion Regulation,Emotional Expression,Expression Appropriateness,,,The ability to adjust emotional expression based on social context and situations.
Emotion Regulation,Emotional Expression,Expression Appropriateness,Cultural Sensitivity,,The ability to modify emotional expression according to cultural norms and expectations.
Emotion Regulation,Emotional Expression,Expression Appropriateness,Contextual Adjustment,,"The ability to adapt emotional expression based on specific settings (e.g., professional, personal, public)."
Emotion Regulation,Emotional Control,,,,"The ability to manage and modulate emotional responses, including the intensity and duration of emotions."
Emotion Regulation,Emotional Control,Response Inhibition,,,The ability to suppress automatic or prepotent responses.
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,,The ability to suppress or moderate immediate emotional reactions when necessary.
Emotion Regulation,Emotional Control,Response Inhibition,Response Delay,,The ability to resist immediate emotional urges and reactions.
Emotion Regulation,Emotional Control,Emotional Modulation,,,The ability to pause and consider responses before acting on emotional impulses.
Emotion Regulation,Emotional Control,Emotional Modulation,Intensity Management,,The ability to adjust the intensity and duration of emotional responses.
Emotion Regulation,Emotional Control,Emotional Modulation,Duration Control,,The ability to regulate the strength of emotional responses.
Emotion Regulation,Emotional Control,Stress Management,,,The ability to influence how long emotional responses last.
Emotion Regulation,Emotional Control,Stress Management,Acute Stress Response,,The ability to cope with and manage emotional responses to stressful situations.
Emotion Regulation,Emotional Control,Stress Management,Chronic Stress Adaptation,,The ability to manage emotional reactions during immediate stressful situations.
Emotion Regulation,Emotional Recovery,,,,The ability to maintain emotional balance during prolonged periods of stress.
Emotion Regulation,Emotional Recovery,Self-Soothing,,,The ability to return to a baseline emotional state after experiencing intense emotions or emotional events.
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,,The ability to use strategies to calm oneself down when experiencing intense emotions.
Emotion Regulation,Emotional Recovery,Self-Soothing,Distress Tolerance,,"The ability to employ specific calming strategies (e.g., deep breathing, progressive muscle relaxation)."
Emotion Regulation,Emotional Recovery,Emotional Processing,,,The ability to endure and manage uncomfortable emotional states.
Emotion Regulation,Emotional Recovery,Emotional Processing,Reflection Capacity,,The ability to process and make sense of emotional experiences after they occur.
Emotion Regulation,Emotional Recovery,Emotional Processing,Integration Ability,,The ability to think about and analyze emotional experiences.
Emotion Regulation,Emotional Recovery,Resilience,,,The ability to incorporate emotional experiences into personal learning and growth.
Emotion Regulation,Emotional Recovery,Resilience,Recovery Speed,,The ability to bounce back from emotional challenges and maintain emotional stability.
Emotion Regulation,Emotional Recovery,Resilience,Adaptation Capacity,,The rate at which one returns to baseline after emotional challenges.
Emotion Regulation,Emotional Flexibility,,,,The ability to learn and strengthen emotional regulation from challenging experiences.
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,,,The ability to adapt emotional responses to changing situations and contexts.
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,Perspective Shifting,,The ability to reframe and think differently about emotional situations.
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,Alternative Interpretation,,The ability to view emotional situations from different angles.
Emotion Regulation,Emotional Flexibility,Situation Adaptation,,,The ability to generate different explanations for emotional events.
Emotion Regulation,Emotional Flexibility,Situation Adaptation,Context Recognition,,The ability to adjust emotional responses based on changing circumstances.
Emotion Regulation,Emotional Flexibility,Situation Adaptation,Response Adjustment,,The ability to recognize when circumstances require different emotional responses.
Emotion Regulation,Emotional Flexibility,Response Modification,,,The ability to modify emotional responses to match changing situations.
Emotion Regulation,Emotional Flexibility,Response Modification,Strategy Evaluation,,The ability to change emotional responses when they are not serving their intended purpose.
Emotion Regulation,Emotional Flexibility,Response Modification,Strategy Adjustment,,The ability to assess the effectiveness of current emotional regulation strategies.
Social Interaction,,,,,The ability to modify or switch strategies when current approaches are ineffective.
Social Interaction,Social Communication,,,,"The ability to engage with others, understand social cues, and navigate social relationships effectively."
Social Interaction,Social Communication,Verbal Social Communication,,,The ability to express oneself and understand others in social contexts through verbal and non-verbal means.
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,,"The ability to use and understand spoken language in social interactions, including tone, timing, and content."
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Topic Maintenance,"The ability to maintain relevant, appropriate, and meaningful conversation topics and content."
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Topic Transitioning,The ability to stay on relevant topics and maintain coherent conversation flow.
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Content Appropriateness,The ability to smoothly transition between different conversation topics.
Social Interaction,Social Communication,Verbal Social Communication,Prosody and Tone,,The ability to judge and maintain age and context-appropriate conversation content.
Social Interaction,Social Communication,Verbal Social Communication,Prosody and Tone,Emotional Prosody,"The ability to use and understand appropriate vocal tone, rhythm, and emotional expression in speech."
Social Interaction,Social Communication,Verbal Social Communication,Prosody and Tone,Speech Rhythm,The ability to express and interpret emotional meaning through voice tone and inflection.
Social Interaction,Social Communication,Verbal Social Communication,Prosody and Tone,Volume Modulation,The ability to maintain appropriate timing and rhythm in speech delivery.
Social Interaction,Social Communication,Verbal Social Communication,Social Language Processing,,The ability to adjust voice volume appropriately for different social contexts.
Social Interaction,Social Communication,Verbal Social Communication,Social Language Processing,Figurative Language Comprehension,"The ability to understand and use context-appropriate language, including idioms, humor, and figurative speech."
Social Interaction,Social Communication,Verbal Social Communication,Social Language Processing,Humor Processing,"The ability to understand metaphors, similes, and other non-literal language."
Social Interaction,Social Communication,Verbal Social Communication,Social Language Processing,Context-Dependent Language,The ability to understand and appropriately use different forms of humor.
Social Interaction,Social Communication,Non-verbal Social Communication,,,The ability to adjust language use based on social context and audience.
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Recognition,,"The ability to use and interpret body language, facial expressions, gestures, and other non-verbal cues in social interactions."
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Recognition,Basic Emotion Recognition,The ability to accurately perceive and interpret facial expressions of emotions and intentions.
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Recognition,Complex Emotion Recognition,The ability to identify basic emotions from facial expressions.
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Recognition,Micro-Expression Detection,The ability to identify subtle or mixed emotions from facial expressions.
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,,"The ability to detect and interpret brief, subtle facial expressions."
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Postural Analysis,"The ability to interpret and respond to posture, gestures, and other physical movements in social contexts."
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Gesture Interpretation,The ability to interpret meaning from body posture and stance.
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Movement Pattern Recognition,The ability to understand meaning conveyed through hand and body gestures.
Social Interaction,Social Communication,Non-verbal Social Communication,Non-verbal Expression,,"The ability to convey emotions through facial expressions, body language, and tone of voice."
Social Interaction,Social Communication,Non-verbal Social Communication,Non-verbal Expression,Emotional Expression Control,The ability to interpret social meaning from patterns of physical movement.
Social Interaction,Social Communication,Non-verbal Social Communication,Non-verbal Expression,Gesture Production,"The ability to use appropriate facial expressions, gestures, and body language to convey meaning and emotion."
Social Interaction,Social Communication,Non-verbal Social Communication,Non-verbal Expression,Body Posture Control,The ability to intentionally produce appropriate facial expressions.
Social Interaction,Social Communication,Social Reciprocity,,,The ability to use appropriate gestures to enhance communication.
Social Interaction,Social Communication,Social Reciprocity,Turn-taking,,The ability to maintain and adjust body posture appropriately in social situations.
Social Interaction,Social Communication,Social Reciprocity,Social Initiative,,The ability to engage in back-and-forth social exchanges and maintain appropriate conversational flow.
Social Interaction,Social Communication,Social Reciprocity,Response Appropriateness,,The ability to maintain appropriate balance in conversational exchanges and know when to speak or listen.
Social Interaction,Social Cognition,,,,The ability to initiate and maintain social interactions appropriately.
Social Interaction,Social Cognition,Theory of Mind,,,The ability to provide relevant and timely responses in social exchanges.
Social Interaction,Social Cognition,Theory of Mind,Perspective Taking,,"The mental processes involved in perceiving, interpreting, and responding to social information and others' behaviors."
Social Interaction,Social Cognition,Theory of Mind,Emotional Understanding,,The ability to comprehend the causes and consequences of emotions.
Social Interaction,Social Cognition,Theory of Mind,Intention Attribution,,"The ability to understand and attribute mental states, beliefs, intentions, and emotions to others."
Social Interaction,Social Cognition,Social Problem Solving,,,The ability to understand and consider others' viewpoints and mental states.
Social Interaction,Social Cognition,Social Problem Solving,Conflict Resolution,,The ability to recognize and understand others' emotional states and their causes.
Social Interaction,Social Cognition,Social Problem Solving,Social Decision Making,,The ability to accurately interpret and understand others' motivations and intentions.
Social Interaction,Social Cognition,Social Problem Solving,Social Planning,,The ability to analyze social situations and generate appropriate solutions to interpersonal challenges.
Social Interaction,Social Cognition,Social Perception,,,The ability to identify and implement effective solutions to social conflicts.
Social Interaction,Social Cognition,Social Perception,Social Context Recognition,,The ability to make appropriate choices in social situations considering multiple perspectives and consequences.
Social Interaction,Social Cognition,Social Perception,Social Cue Integration,,The ability to anticipate and prepare for social situations and their potential challenges.
Social Interaction,Social Cognition,Social Perception,Social Attention,,The ability to accurately perceive and interpret social cues and situations.
Social Interaction,Social Relationships,,,,The ability to understand the nature and demands of different social situations.
Social Interaction,Social Relationships,Peer Relationships,,,The ability to combine multiple social signals to understand social situations accurately.
Social Interaction,Social Relationships,Peer Relationships,Friendship Formation,,The ability to focus on and monitor relevant social information in the environment.
Social Interaction,Social Relationships,Peer Relationships,Group Integration,,"The ability to form, maintain, and navigate different types of interpersonal relationships."
Social Interaction,Social Relationships,Peer Relationships,Peer Conflict Management,,The ability to form and maintain relationships with same-age individuals.
Social Interaction,Social Relationships,Family Relationships,,,The ability to initiate and develop friendships with peers.
Social Interaction,Social Relationships,Family Relationships,Family Role Understanding,,The ability to function effectively within peer groups and understand group dynamics.
Social Interaction,Social Relationships,Family Relationships,Family Communication,,The ability to handle disagreements and maintain relationships with peers.
Social Interaction,Social Relationships,Family Relationships,Family Boundary Management,,The ability to maintain and navigate relationships with family members.
Social Interaction,Social Relationships,Authority Relationships,,,The ability to understand and adapt to different family roles and expectations.
Social Interaction,Social Relationships,Authority Relationships,Authority Recognition,,The ability to effectively communicate with family members across different contexts.
Social Interaction,Social Relationships,Authority Relationships,Respectful Communication,,The ability to maintain appropriate boundaries while preserving family connections.
Social Interaction,Social Relationships,Authority Relationships,Rule Compliance,,The ability to interact appropriately with authority figures and understand hierarchical social structures.
Social Interaction,Social Adaptation,,,,The ability to identify and respond appropriately to authority figures in different contexts.
Social Interaction,Social Adaptation,Social Flexibility,,,The ability to communicate appropriately with authority figures while maintaining respect.
Social Interaction,Social Adaptation,Social Flexibility,Behavioral Adjustment,,The ability to understand and follow rules and directions from authority figures.
Social Interaction,Social Adaptation,Social Flexibility,Social Learning,,The ability to adjust behavior appropriately across different social contexts and situations.
Social Interaction,Social Adaptation,Social Flexibility,Situational Adaptation,,The ability to adjust social behavior based on different contexts and feedback.
Social Interaction,Social Adaptation,Cultural Competence,,,The ability to modify behavior in response to social feedback and changing situations.
Social Interaction,Social Adaptation,Cultural Competence,Cultural Awareness,,The ability to learn from social experiences and apply this learning to new situations.
Social Interaction,Social Adaptation,Cultural Competence,Cultural Sensitivity,,The ability to modify emotional expression according to cultural norms and expectations.
Social Interaction,Social Adaptation,Cultural Competence,Cross-cultural Communication,,The ability to adjust social behavior according to different environmental demands.
Social Interaction,Social Adaptation,Social Boundary Recognition,,,The ability to understand and navigate different cultural norms and expectations in social interactions.
Social Interaction,Social Adaptation,Social Boundary Recognition,Personal Space Management,,The ability to recognize and understand different cultural practices and values.
Social Interaction,Social Adaptation,Social Boundary Recognition,Social Role Boundaries,,The ability to respond appropriately to cultural differences and show respect for diverse perspectives.
Social Interaction,Social Adaptation,Social Boundary Recognition,Privacy Recognition,,The ability to communicate effectively across cultural boundaries.
Communication and Language,,,,,The ability to understand and respect appropriate social boundaries and personal space.
Communication and Language,Receptive Language,,,,The ability to maintain appropriate physical distance and respect others' personal space.
Communication and Language,Receptive Language,Auditory Comprehension,,,The ability to understand and maintain appropriate boundaries in different social roles.
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,,The ability to understand and respect private versus public information and interactions.
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phoneme Discrimination,"The ability to understand, express, and exchange information through various means of communication, including verbal and non-verbal methods"
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonological Memory,"The ability to understand and process spoken, written, or signed language and other forms of communication"
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Sound Blending,"The ability to understand and process spoken language, including vocabulary, grammar, and complex instructions"
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Understanding,,The ability to recognize and manipulate speech sounds in spoken language
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,,The ability to distinguish between different speech sounds
Communication and Language,Receptive Language,Reading Comprehension,,,The ability to temporarily store and manipulate speech sounds
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,,The ability to combine individual speech sounds into words
Communication and Language,Receptive Language,Reading Comprehension,Text Analysis,,The ability to understand grammatical structures and relationships between words in sentences
Communication and Language,Receptive Language,Reading Comprehension,Inferential Comprehension,,The ability to comprehend word meanings and relationships between concepts in spoken language
Communication and Language,Receptive Language,Sign Language Comprehension,,,"The ability to understand and extract meaning from written text, including literal and inferential understanding"
Communication and Language,Receptive Language,Sign Language Comprehension,Manual Sign Recognition,,The ability to identify and decode written words accurately and efficiently
Communication and Language,Receptive Language,Sign Language Comprehension,Spatial-Syntactic Processing,,The ability to understand relationships between ideas and extract main points from written text
Communication and Language,Receptive Language,Sign Language Comprehension,Non-Manual Signal Understanding,,The ability to make logical conclusions and predictions based on written information
Communication and Language,Expressive Language,,,,The ability to understand and process manual signs and fingerspelling in sign language communication
Communication and Language,Expressive Language,Verbal Expression,,,The ability to communicate emotions through words and language.
Communication and Language,Expressive Language,Verbal Expression,Speech Production,,The ability to recognize and understand individual signs and hand configurations
Communication and Language,Expressive Language,Verbal Expression,Speech Production,Articulation,The ability to understand grammatical information conveyed through spatial relationships in signing
Communication and Language,Expressive Language,Verbal Expression,Speech Production,Voice Control,The ability to comprehend meaning from facial expressions and body movements in sign language
Communication and Language,Expressive Language,Verbal Expression,Speech Production,Fluency,"The ability to produce and convey thoughts, needs, and ideas through spoken, written, or signed language"
Communication and Language,Expressive Language,Verbal Expression,Word Finding,,"The ability to produce spoken language, including appropriate vocabulary, grammar, and sentence structure"
Communication and Language,Expressive Language,Verbal Expression,Sentence Formation,,The ability to articulate speech sounds clearly and accurately
Communication and Language,Expressive Language,Written Expression,,,The ability to form speech sounds correctly using the speech organs
Communication and Language,Expressive Language,Written Expression,Spelling and Word Formation,,"The ability to regulate pitch, volume, and quality of voice"
Communication and Language,Expressive Language,Written Expression,Written Grammar,,The ability to speak smoothly without interruptions or repetitions
Communication and Language,Expressive Language,Written Expression,Written Organization,,The ability to retrieve and use appropriate vocabulary in speaking
Communication and Language,Expressive Language,Sign Language Production,,,The ability to construct grammatically correct and meaningful sentences
Communication and Language,Expressive Language,Sign Language Production,Sign Formation,,"The ability to communicate thoughts and ideas through written text, including spelling, grammar, and composition"
Communication and Language,Expressive Language,Sign Language Production,Sign Fluency,,The ability to spell words correctly and use appropriate word forms in writing
Communication and Language,Expressive Language,Sign Language Production,Non-Manual Expression,,The ability to apply grammatical rules and structures in written communication
Communication and Language,Pragmatic Communication,,,,The ability to organize and structure written content coherently
Communication and Language,Pragmatic Communication,Conversational Skills,,,The ability to produce manual signs and fingerspelling to communicate in sign language
Communication and Language,Pragmatic Communication,Conversational Skills,Turn-Taking,,The ability to produce clear and accurate manual signs
Communication and Language,Pragmatic Communication,Conversational Skills,Topic Management,,The ability to produce smooth and natural signing movements
Communication and Language,Pragmatic Communication,Conversational Skills,Response Appropriateness,,The ability to maintain appropriate balance in conversational exchanges and know when to speak or listen.
Communication and Language,Pragmatic Communication,Social Context Understanding,,,The ability to incorporate appropriate facial expressions and body movements in signing
Communication and Language,Pragmatic Communication,Social Context Understanding,Register Variation,,"The appropriate use of language in social contexts, including understanding and following social rules of communication"
Communication and Language,Pragmatic Communication,Social Context Understanding,Audience Adaptation,,"The ability to engage in back-and-forth communication, including turn-taking, topic maintenance, and appropriate responses"
Communication and Language,Pragmatic Communication,Social Context Understanding,Cultural Sensitivity,,The ability to modify emotional expression according to cultural norms and expectations.
Communication and Language,Pragmatic Communication,Narrative Skills,,,The ability to alternate between speaking and listening roles in conversation
Communication and Language,Pragmatic Communication,Narrative Skills,Story Structure,,The ability to maintain and appropriately shift topics in conversation
Communication and Language,Pragmatic Communication,Narrative Skills,Detail Integration,,The ability to provide relevant and suitable responses in conversation
Communication and Language,Pragmatic Communication,Narrative Skills,Perspective Taking,,"The mental processes involved in perceiving, interpreting, and responding to social information and others' behaviors."
Communication and Language,Non-verbal Communication,,,,The ability to adjust communication style based on social context and audience
Communication and Language,Non-verbal Communication,Facial Expression,,,The ability to adjust language formality based on social context
Communication and Language,Non-verbal Communication,Facial Expression,Emotion Expression,,The ability to modify communication style for different listeners
Communication and Language,Non-verbal Communication,Facial Expression,Expression Recognition,,The ability to understand and respect cultural differences in communication
Communication and Language,Non-verbal Communication,Facial Expression,Expression Control,,The ability to tell stories or relay information in a coherent and organized manner
Communication and Language,Non-verbal Communication,Gesture Use,,,The ability to organize narrative elements in a logical sequence
Communication and Language,Non-verbal Communication,Gesture Use,Gesture Production,,"The ability to use appropriate facial expressions, gestures, and body language to convey meaning and emotion."
Communication and Language,Non-verbal Communication,Gesture Use,Gesture Comprehension,,The ability to include and connect relevant details in storytelling
Communication and Language,Non-verbal Communication,Gesture Use,Gesture Integration,,The ability to consider and convey different viewpoints in narrative
Communication and Language,Non-verbal Communication,Social-Emotional Cues,,,"The ability to understand and use gestures, facial expressions, body language, and other non-verbal cues in communication"
Communication and Language,Non-verbal Communication,Social-Emotional Cues,Emotional Attunement,,The ability to understand and produce appropriate facial expressions to convey emotions and meanings
Communication and Language,Non-verbal Communication,Social-Emotional Cues,Social Distance,,The ability to convey emotional states through facial expressions
Communication and Language,Non-verbal Communication,Social-Emotional Cues,Body Language Interpretation,,The ability to accurately interpret others' facial expressions
Behavioral Control,,,,,The ability to modulate facial expressions appropriately for different situations
Behavioral Control,Impulse Control,,,,The ability to suppress or moderate immediate emotional reactions when necessary.
Behavioral Control,Impulse Control,Delay of Gratification,,,The ability to understand and use meaningful gestures and body movements to enhance communication
Behavioral Control,Impulse Control,Delay of Gratification,Reward Evaluation,,The ability to produce clear and meaningful gestures
Behavioral Control,Impulse Control,Delay of Gratification,Reward Evaluation,Temporal Discounting,The ability to understand others' gestural communication
Behavioral Control,Impulse Control,Delay of Gratification,Reward Evaluation,Reward Magnitude Assessment,The ability to coordinate gestures with verbal communication
Behavioral Control,Impulse Control,Delay of Gratification,Persistence,,The ability to interpret and respond to non-verbal social and emotional signals from others
Behavioral Control,Impulse Control,Delay of Gratification,Persistence,Sustained Effort,The ability to recognize and respond to others' emotional states
Behavioral Control,Impulse Control,Delay of Gratification,Persistence,Resistance to Temptation,The ability to maintain appropriate physical spacing in social interactions
Behavioral Control,Impulse Control,Action Planning,,,The ability to understand meaning from others' posture and body movements
Behavioral Control,Impulse Control,Action Planning,Consequence Anticipation,,"The ability to regulate and manage one's behavior in accordance with environmental demands, social norms, and personal goals"
