level_1,level_2,level_3,level_4,level_5,description
Cognitive Function,Learning,Knowledge Acquisition,,,The process of learning and incorporating new information and concepts.
Cognitive Function,Learning,Knowledge Acquisition,Factual Learning,,The ability to learn and retain specific facts and information.
Cognitive Function,Learning,Knowledge Acquisition,Conceptual Learning,,The ability to learn and understand abstract concepts and principles.
Cognitive Function,Reasoning,,,,"The ability to think logically, solve problems, and draw conclusions from information."
Cognitive Function,Reasoning,Abstract Reasoning,,,The ability to understand and manipulate abstract concepts and patterns.
Cognitive Function,Reasoning,Abstract Reasoning,Pattern Recognition,,The ability to identify and understand recurring patterns and relationships.
Cognitive Function,Reasoning,Abstract Reasoning,Conceptual Reasoning,,The ability to understand and work with abstract concepts and theories.
Cognitive Function,Reasoning,Problem Solving,,,The ability to identify problems and generate effective solutions.
Cognitive Function,Reasoning,Problem Solving,Analytical Problem Solving,,The ability to break down complex problems and analyze their components.
Cognitive Function,Reasoning,Problem Solving,Creative Problem Solving,,The ability to generate novel and effective solutions to problems.
Emotion Regulation,,,,,"The ability to recognize, understand, and manage emotional responses in an adaptive and contextually appropriate manner"
Emotion Regulation,Emotional Awareness,,,,The ability to recognize and identify emotions in oneself and others
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,,,The ability to identify and understand one's own emotional states and their triggers
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Emotional Recognition,,The ability to accurately identify specific emotions as they occur in oneself
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Emotional Recognition,Primary Emotion Recognition,"The ability to identify basic emotions such as happiness, sadness, anger, fear"
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Emotional Recognition,Complex Emotion Recognition,"The ability to identify and differentiate more nuanced emotional states such as disappointment, pride, guilt"
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Trigger Identification,,"The ability to recognize and understand specific events, thoughts, or situations that prompt emotional responses"
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Trigger Identification,External Trigger Recognition,The ability to identify environmental or situational factors that trigger emotional responses
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Trigger Identification,Internal Trigger Recognition,"The ability to identify thoughts, memories, or physiological states that trigger emotional responses"
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,,,The ability to recognize and understand others' emotional states and their social implications
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Empathetic Recognition,,The ability to accurately identify and understand emotions in others through their expressions and behaviors
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Empathetic Recognition,Verbal Cue Recognition,The ability to identify emotions through others' spoken words and tone
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Empathetic Recognition,Non-verbal Cue Recognition,"The ability to identify emotions through others' facial expressions, gestures, and body language"
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Contextual Understanding,,The ability to understand how social context and relationships influence emotional expressions and responses in others
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Contextual Understanding,Relationship Context,The ability to understand how different relationship dynamics affect emotional expressions
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Contextual Understanding,Environmental Context,The ability to understand how different settings and situations influence emotional expressions
Emotion Regulation,Emotional Expression,,,,The ability to express emotions appropriately and effectively in different contexts
Emotion Regulation,Emotional Expression,Verbal Expression,,,The ability to produce and articulate language to communicate thoughts and ideas.
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,,The ability to communicate emotions through words and language
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,Basic Emotion Vocabulary,The ability to use precise and varied language to describe emotional experiences
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,Complex Emotion Vocabulary,The ability to use words for fundamental emotions and feelings
Emotion Regulation,Emotional Expression,Verbal Expression,Narrative Expression,,The ability to use sophisticated language for nuanced emotional experiences
Emotion Regulation,Emotional Expression,Verbal Expression,Narrative Expression,Sequential Description,The ability to communicate about emotional experiences in a coherent and meaningful way
Emotion Regulation,Emotional Expression,Verbal Expression,Narrative Expression,Contextual Description,"The ability to describe emotional experiences in a logical, time-ordered manner"
Emotion Regulation,Emotional Expression,Non-verbal Expression,,,The ability to explain the circumstances and factors surrounding emotional experiences
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Expressiveness,,"The ability to convey emotions through facial expressions, body language, and tone of voice"
Emotion Regulation,Emotional Expression,Non-verbal Expression,Body Language Control,,The ability to convey emotions through appropriate facial expressions
Emotion Regulation,Emotional Expression,Non-verbal Expression,Vocal Expression,,The ability to use appropriate posture and gestures to convey emotional states
Emotion Regulation,Emotional Expression,Expression Appropriateness,,,The ability to modulate voice tone and pitch to convey emotional meaning
Emotion Regulation,Emotional Expression,Expression Appropriateness,Cultural Awareness,,The ability to adjust emotional expression according to social context and cultural norms
Emotion Regulation,Emotional Expression,Expression Appropriateness,Situational Adjustment,,The ability to understand and adapt emotional expressions to cultural expectations and norms
Emotion Regulation,Emotional Control,,,,The ability to modify emotional expressions based on specific social contexts and settings
Emotion Regulation,Emotional Control,Response Inhibition,,,The ability to suppress automatic or prepotent responses.
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,,The ability to modulate and manage emotional responses in accordance with situational demands
Emotion Regulation,Emotional Control,Response Inhibition,Response Delay,,The ability to suppress or moderate immediate emotional reactions when necessary
Emotion Regulation,Emotional Control,Emotional Modulation,,,The ability to resist immediate emotional urges and reactions
Emotion Regulation,Emotional Control,Emotional Modulation,Intensity Management,,The ability to pause and consider consequences before acting on emotional impulses
Emotion Regulation,Emotional Control,Emotional Modulation,Duration Control,,The ability to adjust the intensity and duration of emotional responses
Emotion Regulation,Emotional Recovery,,,,The ability to control the strength of emotional responses
Emotion Regulation,Emotional Recovery,Self-Soothing,,,The ability to manage how long emotional responses last
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,,The ability to return to a balanced emotional state after experiencing intense emotions
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,Physical Relaxation,The ability to use internal strategies to calm oneself and reduce emotional intensity
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,Mental Relaxation,The ability to use specific methods like deep breathing or mindfulness to reduce emotional arousal
Emotion Regulation,Emotional Recovery,Self-Soothing,Self-Directed Coping,,The ability to use body-based techniques for emotional regulation
Emotion Regulation,Emotional Recovery,Self-Soothing,Self-Directed Coping,Active Coping,The ability to use cognitive techniques for emotional regulation
Emotion Regulation,Emotional Recovery,Self-Soothing,Self-Directed Coping,Reflective Coping,The ability to implement personal coping strategies to manage emotional states
Emotion Regulation,Emotional Recovery,Support Seeking,,,The ability to engage in purposeful activities to manage emotions
Emotion Regulation,Emotional Recovery,Support Seeking,Help Recognition,,The ability to use introspection and self-reflection to process emotions
Emotion Regulation,Emotional Recovery,Support Seeking,Support Utilization,,The ability to identify when and how to seek external support for emotional regulation
Emotion Regulation,Emotional Flexibility,,,,The ability to recognize when external support is needed for emotional regulation
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,,,The ability to effectively access and use available support systems
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,Perspective Shifting,,The ability to adapt emotional responses to changing circumstances and shift between different emotional states
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,Adaptive Thinking,,The ability to modify strategies and approaches based on feedback or changing conditions.
Emotion Regulation,Emotional Flexibility,Emotional Transitions,,,The ability to reframe situations and adjust emotional responses based on new perspectives
Emotion Regulation,Emotional Flexibility,Emotional Transitions,State Flexibility,,The ability to consider alternative viewpoints and interpretations of emotional situations
Emotion Regulation,Emotional Flexibility,Emotional Transitions,Transition Management,,The ability to modify thoughts and beliefs to support healthy emotional responses
Social Interaction,,,,,The ability to move between different emotional states smoothly and appropriately
Social Interaction,Social Communication,,,,The ability to shift between different emotional states as needed
Social Interaction,Social Communication,Verbal Social Communication,,,The ability to handle emotional state changes in a controlled and adaptive manner
Social Interaction,Social Communication,Verbal Social Communication,Conversational Flow,,"The ability to engage, respond to, and maintain relationships with others, encompassing both verbal and non-verbal aspects of social behavior and understanding"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Flow,Turn-Taking Skills,"The ability to send and receive social messages through verbal and non-verbal means, including facial expressions, body language, and tone of voice"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Flow,Topic Management,"The ability to use and understand spoken language in social contexts, including conversation skills and appropriate verbal responses"
Social Interaction,Social Communication,Verbal Social Communication,Social Language Use,,"The ability to maintain back-and-forth dialogue, including turn-taking and topic maintenance in conversations"
Social Interaction,Social Communication,Verbal Social Communication,Social Language Use,Register Adaptation,The ability to appropriately alternate between speaking and listening roles in conversation
Social Interaction,Social Communication,Verbal Social Communication,Social Language Use,Social Humor,"The ability to introduce, maintain, and transition between conversation topics appropriately"
Social Interaction,Social Communication,Non-verbal Social Communication,,,"The ability to use appropriate language for different social situations, including politeness, humor, and formal versus informal speech"
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Use,,The ability to adjust language formality and tone according to social context
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Use,Expression Intensity,The ability to understand and use humor appropriately in social situations
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Use,Expression Timing,"The ability to use and understand non-verbal cues such as facial expressions, gestures, body language, and spatial awareness in social interactions"
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Use,,The ability to produce and modulate appropriate facial expressions in social interactions
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Use,Gesture Appropriateness,The ability to adjust the intensity of facial expressions according to social context
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Use,Postural Communication,The ability to produce facial expressions at appropriate moments in social interactions
Social Interaction,Social Communication,Non-verbal Social Communication,Personal Space Management,,"The ability to use appropriate posture, gestures, and physical orientation during social interactions"
Social Interaction,Social Communication,Non-verbal Social Communication,Personal Space Management,Proxemic Awareness,The ability to use culturally and socially appropriate gestures
Social Interaction,Social Communication,Non-verbal Social Communication,Personal Space Management,Physical Boundary Maintenance,The ability to convey attention and engagement through body posture
Social Interaction,Social Understanding,,,,The ability to maintain appropriate physical distance and positioning during social interactions
Social Interaction,Social Understanding,Emotional Recognition,,,The ability to accurately identify specific emotions as they occur in oneself
Social Interaction,Social Understanding,Emotional Recognition,Facial Emotion Recognition,,The ability to recognize and respect different levels of personal space requirements in various social contexts
Social Interaction,Social Understanding,Emotional Recognition,Vocal Emotion Recognition,,The ability to maintain appropriate physical boundaries during movement and interaction
Social Interaction,Social Understanding,Emotional Recognition,Body Language Emotion Recognition,,"The ability to interpret and comprehend social situations, including understanding others' emotions, intentions, and social norms"
Social Interaction,Social Understanding,Social Context Understanding,,,"The ability to identify and understand emotions in others through facial expressions, vocal tones, and body language"
Social Interaction,Social Understanding,Social Context Understanding,Social Rule Understanding,,The ability to identify and interpret emotional expressions in faces
Social Interaction,Social Understanding,Social Context Understanding,Social Rule Understanding,Explicit Rule Comprehension,The ability to identify and interpret emotional cues in voice tone and speech patterns
Social Interaction,Social Understanding,Social Context Understanding,Social Rule Understanding,Implicit Rule Recognition,The ability to identify and interpret emotional states from body posture and gestures
Social Interaction,Social Understanding,Social Context Understanding,Cultural Context Understanding,,"The ability to understand and navigate different social situations, including awareness of social norms and appropriate behavior in various contexts"
Social Interaction,Social Understanding,Perspective Taking,,,The ability to comprehend and follow explicit and implicit social rules in different settings
Social Interaction,Social Understanding,Perspective Taking,Cognitive Perspective Taking,,The ability to understand and follow clearly stated social rules
Social Interaction,Social Understanding,Perspective Taking,Cognitive Perspective Taking,Belief Understanding,The ability to recognize and follow unspoken social norms and expectations
Social Interaction,Social Understanding,Perspective Taking,Cognitive Perspective Taking,Intention Recognition,The ability to recognize and adapt to different cultural norms and expectations in social situations
Social Interaction,Social Understanding,Perspective Taking,Emotional Perspective Taking,,"The ability to understand and consider others' thoughts, feelings, and viewpoints, including theory of mind"
Social Interaction,Social Understanding,Perspective Taking,Emotional Perspective Taking,Emotional Empathy,The ability to understand and predict others' thoughts and beliefs
Social Interaction,Social Understanding,Perspective Taking,Emotional Perspective Taking,Emotional Impact Understanding,The ability to recognize that others may hold different beliefs than oneself
Social Interaction,Social Relationships,,,,The ability to understand others' motivations and goals
Social Interaction,Social Relationships,Peer Relationships,,,The ability to understand and empathize with others' emotional states and experiences
Social Interaction,Social Relationships,Peer Relationships,Friendship Formation,,The ability to share in and respond to others' emotional experiences
Social Interaction,Social Relationships,Peer Relationships,Friendship Formation,Initial Contact Skills,The ability to predict how actions might affect others' emotions
Social Interaction,Social Relationships,Peer Relationships,Friendship Formation,Relationship Building,"The ability to form and maintain relationships with others, including peers, family members, and authority figures"
Social Interaction,Social Relationships,Peer Relationships,Friendship Maintenance,,"The ability to form and maintain age-appropriate relationships with peers, including friendships and group interactions"
Social Interaction,Social Relationships,Peer Relationships,Friendship Maintenance,Conflict Resolution,The ability to develop and establish new friendships
Social Interaction,Social Relationships,Peer Relationships,Friendship Maintenance,Support Exchange,The ability to appropriately initiate first interactions with potential friends
Social Interaction,Social Relationships,Family Relationships,,,The ability to develop initial acquaintances into meaningful friendships
Social Interaction,Social Relationships,Family Relationships,Family Role Understanding,,The ability to sustain and nurture existing friendships over time
Social Interaction,Social Relationships,Family Relationships,Family Boundary Recognition,,The ability to address and resolve disagreements or problems within friendships
Social Interaction,Social Relationships,Authority Relationships,,,The ability to provide and receive emotional and social support within friendships
Social Interaction,Social Relationships,Authority Relationships,Authority Recognition,,"The ability to maintain appropriate relationships with family members, including understanding and respecting family roles and boundaries"
Social Interaction,Social Relationships,Authority Relationships,Authority Interaction,,The ability to understand and adapt to different family roles and responsibilities
Social Interaction,Social Initiative,,,,The ability to understand and respect appropriate boundaries within family relationships
Social Interaction,Social Initiative,Social Approach,,,"The ability to interact appropriately with authority figures, including understanding hierarchical relationships and showing appropriate respect"
Social Interaction,Social Initiative,Social Approach,Social Confidence,,The ability to identify and understand different types of authority figures and their roles
Social Interaction,Social Initiative,Social Approach,Social Timing,,The ability to engage appropriately with authority figures while maintaining proper boundaries
Social Interaction,Social Initiative,Group Participation,,,"The tendency to initiate and engage in social interactions, including approaching others and joining group activities"
Social Interaction,Social Initiative,Group Participation,Group Entry Skills,,The tendency to initiate contact and engage with others in social situations
Social Interaction,Social Initiative,Group Participation,Group Engagement,,The level of comfort and self-assurance in initiating social interactions
Communication and Language,,,,,The ability to recognize and act upon appropriate opportunities for social interaction
Communication and Language,Receptive Language,,,,The ability to join and actively participate in group activities and social situations
Communication and Language,Receptive Language,Auditory Comprehension,,,The ability to understand and process spoken language.
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,,The ability to appropriately join ongoing group activities or conversations
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,The ability to maintain active involvement and contribution in group activities
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Syllable Processing,"The ability to understand, express, and exchange information through various means, including verbal and non-verbal methods."
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,,"The ability to understand and process spoken, written, or signed language and other forms of communication."
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Vocabulary Depth,"The ability to understand and process spoken language, including vocabulary, grammar, and complex instructions."
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Semantic Relationships,The ability to recognize and manipulate speech sounds in spoken language.
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,,The ability to identify and manipulate individual speech sounds (phonemes) in words.
Communication and Language,Receptive Language,Reading Comprehension,,,The ability to understand and extract meaning from written text.
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,,The ability to recognize and manipulate syllables within words.
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,Sight Word Recognition,The ability to comprehend word meanings and relationships between words in spoken language.
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,Decoding Skills,The ability to understand multiple meanings and nuanced aspects of words.
Communication and Language,Receptive Language,Reading Comprehension,Text Analysis,,The ability to understand connections and associations between different words and concepts.
Communication and Language,Receptive Language,Reading Comprehension,Critical Reading,,The ability to understand grammar rules and sentence structure in spoken language.
Communication and Language,Receptive Language,Symbol and Sign Comprehension,,,"The ability to understand and extract meaning from written text, including words, sentences, and passages."
Communication and Language,Expressive Language,,,,The ability to identify and decode written words accurately and efficiently.
Communication and Language,Expressive Language,Verbal Expression,,,The ability to produce and articulate language to communicate thoughts and ideas.
Communication and Language,Expressive Language,Verbal Expression,Word Finding,,The ability to instantly recognize common words without decoding.
Communication and Language,Expressive Language,Verbal Expression,Grammatical Expression,,The ability to apply letter-sound relationships to read unfamiliar words.
Communication and Language,Expressive Language,Verbal Expression,Speech Fluency,,The ability to understand relationships between ideas and extract main themes from written text.
Communication and Language,Expressive Language,Written Expression,,,The ability to communicate thoughts and ideas through writing.
Communication and Language,Expressive Language,Written Expression,Spelling and Word Formation,,"The ability to analyze, evaluate, and make inferences from written text."
Communication and Language,Expressive Language,Written Expression,Written Organization,,"The ability to understand and interpret visual symbols, signs, and alternative communication systems."
Communication and Language,Expressive Language,Written Expression,Writing Mechanics,,"The ability to produce and convey thoughts, needs, and ideas through spoken, written, or signed language."
Communication and Language,Expressive Language,Alternative Expression,,,"The ability to produce spoken language, including appropriate vocabulary, grammar, and sentence structure."
Communication and Language,Pragmatic Communication,,,,The ability to retrieve and produce appropriate words efficiently during speech.
Communication and Language,Pragmatic Communication,Social Context Understanding,,,"The ability to identify and understand emotions in others through facial expressions, vocal tones, and body language"
Communication and Language,Pragmatic Communication,Social Context Understanding,Situational Appropriateness,,The ability to use correct grammar and sentence structure in spoken language.
Communication and Language,Pragmatic Communication,Social Context Understanding,Audience Awareness,,"The ability to produce smooth, continuous speech without excessive hesitations or disruptions."
Communication and Language,Pragmatic Communication,Conversation Skills,,,"The ability to communicate thoughts and ideas through written text, including spelling, grammar, and composition."
Communication and Language,Pragmatic Communication,Conversation Skills,Turn-Taking,,The ability to spell words correctly and form legible written text.
Communication and Language,Pragmatic Communication,Conversation Skills,Topic Management,,"The ability to use and understand spoken language in social contexts, including conversation skills and appropriate verbal responses"
Communication and Language,Pragmatic Communication,Conversation Skills,Response Adequacy,,The ability to structure and organize written content coherently.
Communication and Language,Pragmatic Communication,Narrative Skills,,,"The ability to use proper punctuation, capitalization, and other writing conventions."
Communication and Language,Pragmatic Communication,Narrative Skills,Story Structure,,"The ability to communicate using sign language, augmentative communication systems, or other alternative methods."
Communication and Language,Pragmatic Communication,Narrative Skills,Detail Integration,,The ability to use language appropriately in social contexts and understand the social rules of communication.
Communication and Language,Non-verbal Communication,,,,The ability to recognize and adapt communication style based on social situations and audience.
Communication and Language,Non-verbal Communication,Gesture Use and Understanding,,,The ability to adjust communication style and content according to different social settings.
Communication and Language,Non-verbal Communication,Gesture Use and Understanding,Symbolic Gestures,,The ability to recognize and respond to the needs and characteristics of different communication partners.
Communication and Language,Non-verbal Communication,Gesture Use and Understanding,Body Language Interpretation,,"The ability to engage in reciprocal communication, including turn-taking, topic maintenance, and appropriate responses."
Communication and Language,Non-verbal Communication,Facial Expression Recognition,,,The ability to alternate between speaking and listening roles in conversation.
Communication and Language,Non-verbal Communication,Paralinguistic Features,,,"The ability to maintain, change, and elaborate on conversation topics appropriately."
Communication and Language,Non-verbal Communication,Paralinguistic Features,Prosody Comprehension,,The ability to provide relevant and appropriate responses in conversation.
Communication and Language,Non-verbal Communication,Paralinguistic Features,Voice Modulation,,"The ability to tell stories, relay events, and share experiences in a coherent and organized manner."
Behavioral Control,,,,,The ability to organize and present narrative elements in a logical sequence.
Behavioral Control,Impulse Control,,,,The ability to modulate and manage emotional responses in accordance with situational demands
Behavioral Control,Impulse Control,Delay Gratification,,,The ability to include and connect relevant details in storytelling.
Behavioral Control,Impulse Control,Delay Gratification,Reward Evaluation,,"The ability to understand and use gestures, facial expressions, body language, and other non-verbal cues."
Behavioral Control,Impulse Control,Delay Gratification,Reward Evaluation,Magnitude Assessment,The ability to produce and interpret meaningful gestures and body movements in communication.
Behavioral Control,Impulse Control,Delay Gratification,Reward Evaluation,Time-Value Analysis,The ability to use and understand conventional gestures that represent specific meanings.
Behavioral Control,Impulse Control,Delay Gratification,Temporal Persistence,,"The ability to understand and respond to posture, proximity, and other body language cues."
Behavioral Control,Impulse Control,Delay Gratification,Temporal Persistence,Sustained Willpower,The ability to interpret and respond to facial expressions and emotional cues in others.
Behavioral Control,Impulse Control,Delay Gratification,Temporal Persistence,Distress Tolerance,"The ability to understand and use tone of voice, pitch, volume, and timing in communication."
Behavioral Control,Impulse Control,Action Restraint,,,The ability to understand emotional and linguistic meaning conveyed through voice tone and inflection.
Behavioral Control,Impulse Control,Action Restraint,Stimulus Resistance,,"The ability to control and adjust voice volume, pitch, and speed appropriately."
Behavioral Control,Impulse Control,Action Restraint,Stimulus Resistance,Impulse Recognition,"The ability to regulate and manage one's behavior in accordance with situational demands, social norms, and personal goals"
Behavioral Control,Impulse Control,Action Restraint,Stimulus Resistance,Active Resistance,"The ability to resist or delay immediate urges, desires, and impulses in favor of more appropriate or goal-directed behavior"
Behavioral Control,Impulse Control,Action Restraint,Response Preparation Control,,"The ability to postpone immediate rewards in favor of later, more valuable outcomes"
Behavioral Control,Impulse Control,Action Restraint,Response Preparation Control,Response Anticipation,The ability to assess and compare the value of immediate versus delayed rewards
Behavioral Control,Impulse Control,Action Restraint,Response Preparation Control,Preventive Control,The ability to evaluate the size or importance of different rewards
Behavioral Control,Response Inhibition,,,,The ability to suppress automatic or prepotent responses.
Behavioral Control,Response Inhibition,Motor Inhibition,,,The ability to understand how time affects reward value
Behavioral Control,Response Inhibition,Motor Inhibition,Gross Motor Control,,The ability to maintain goal-directed behavior over time despite the presence of immediate reward options
Behavioral Control,Response Inhibition,Motor Inhibition,Gross Motor Control,Postural Control,The ability to maintain self-control over extended periods
Behavioral Control,Response Inhibition,Motor Inhibition,Gross Motor Control,Movement Cessation,The ability to persist despite discomfort from delaying gratification
Behavioral Control,Response Inhibition,Motor Inhibition,Fine Motor Control,,"The ability to withhold or prevent an action before it begins, particularly in response to tempting or triggering stimuli"
