level_1,level_2,level_3,level_4,level_5,level_6,description
Cognitive Function,Executive Function,Problem Solving,Analytical Thinking,,,Using logic and reasoning to identify the strengths and weaknesses of different approaches.
Cognitive Function,Executive Function,Problem Solving,Analytical Thinking,Critical Evaluation,,The ability to assess the validity and relevance of information.
Cognitive Function,Executive Function,Problem Solving,Creative Problem Solving,,,The process of finding novel solutions to complex problems.
Cognitive Function,Executive Function,Problem Solving,Creative Problem Solving,Divergent Thinking,,Thinking that explores multiple possible solutions.
Cognitive Function,Executive Function,Inhibitory Control,,,,"The ability to inhibit or control impulses and responses, and to perform an action when given a signal."
Cognitive Function,Executive Function,Inhibitory Control,Impulse Control,,,Resisting sudden urges to behave inappropriately.
Cognitive Function,Executive Function,Inhibitory Control,Impulse Control,Delay of Gratification,,The ability to resist the temptation for an immediate reward and wait for a later reward.
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,,,The capacity to suppress inappropriate or unwanted actions.
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,Conflict Resolution,,The ability to suppress responses that are inappropriate within a context while activating those that are appropriate.
Cognitive Function,Language Processing,,,,,"The ability to assign meaning to words and language, including understanding spoken, written, or signed communication."
Cognitive Function,Language Processing,Syntax,,,,The arrangement of words and phrases to create well-formed sentences in a language.
Cognitive Function,Language Processing,Syntax,Morphology,,,The study of the form and structure of words in a language.
Cognitive Function,Language Processing,Syntax,Grammar,,,The rules that govern the structure of sentences in a language.
Cognitive Function,Language Processing,Syntax,Grammar,Syntax Errors,,Incorrect arrangements of words that result in poorly formed sentences.
Cognitive Function,Visuospatial Skills,,,,,The capacity to identify visual and spatial relationships among objects.
Cognitive Function,Visuospatial Skills,Spatial Perception,,,,"The ability to perceive and understand the spatial relationship between objects, including the orientation and position of the body in space."
Cognitive Function,Visuospatial Skills,Spatial Perception,Depth Perception,,,The ability to perceive the world in three dimensions and to judge the distance of objects.
Cognitive Function,Visuospatial Skills,Spatial Perception,Directional Awareness,,,"The ability to understand and utilize concepts like left, right, up, and down."
Cognitive Function,Visuospatial Skills,Spatial Perception,Directional Awareness,Mental Rotation,,The ability to rotate mental representations of two-dimensional and three-dimensional objects.
Cognitive Function,Processing Speed,,,,,"The pace at which you can take in information, make sense of it, and begin to respond."
Cognitive Function,Processing Speed,Perceptual Speed,,,,The ability to quickly and accurately compare or process visual information.
Cognitive Function,Processing Speed,Perceptual Speed,Comparison Speed,,,How rapidly one can perceive and compare different visual elements.
Cognitive Function,Processing Speed,Perceptual Speed,Inspection Speed,,,The speed of processing simple visual stimuli.
Cognitive Function,Processing Speed,Perceptual Speed,Inspection Speed,Visual Search,,The ability to find a visual stimulus among a series of other distractions.
Emotion Regulation,,,,,,"The process of monitoring, evaluating, and modulating one's emotional reactions to achieve a goal or meet situational demands."
Emotion Regulation,Emotional Awareness,,,,,The ability to recognize and understand one's own emotions as well as the emotions of others.
Emotion Regulation,Emotional Awareness,Self-Awareness,,,,The capacity to recognize and understand one's own emotions.
Emotion Regulation,Emotional Awareness,Self-Awareness,Emotional Insight,,,The capacity to dissect and gain deeper understanding of the underlying causes of one's emotions.
Emotion Regulation,Emotional Awareness,Self-Awareness,Emotional Insight,Emotional Pattern Recognition,,Ability to identify patterns in one's emotional responses over time.
Emotion Regulation,Emotional Awareness,Self-Awareness,Emotional Insight,Emotional Cause Analysis,,Assessment of underlying factors contributing to emotional experiences.
Emotion Regulation,Emotional Awareness,Self-Awareness,Emotion Differentiation,,,"The ability to distinguish between similar emotional states, identifying nuances."
Emotion Regulation,Emotional Awareness,Self-Awareness,Emotion Differentiation,Subtle Emotional Cues,,Recognition of subtle differences in emotional experiences.
Emotion Regulation,Emotional Awareness,Self-Awareness,Emotion Differentiation,Emotional Mixtures,,Identification of complex emotional states that involve multiple basic emotions.
Emotion Regulation,Emotional Awareness,Social Awareness,,,,The capacity to recognize and understand the emotions of others.
Emotion Regulation,Emotional Awareness,Social Awareness,Empathy,,,The ability to understand and share the feelings of others.
Emotion Regulation,Emotional Awareness,Social Awareness,Empathy,Emotional Synchrony,,Tendency to align emotionally with others.
Emotion Regulation,Emotional Awareness,Social Awareness,Empathy,Affective Empathy,,Ability to respond emotionally to another's mental states.
Emotion Regulation,Emotional Control,,,,,The capacity to regulate the intensity and duration of emotional responses.
Emotion Regulation,Emotional Control,Inhibitory Control,,,,"The ability to inhibit or control impulses and responses, and to perform an action when given a signal."
Emotion Regulation,Emotional Control,Inhibitory Control,Cognitive Inhibition,,,The ability to inhibit dominant or automatic emotional responses.
Emotion Regulation,Emotional Control,Inhibitory Control,Impulse Suppression,,,The capacity to block out distracting emotions to maintain focus and control.
Emotion Regulation,Emotional Modulation,,,,,The skill of suppressing urges to act on intense emotions immediately.
Emotion Regulation,Emotional Modulation,Downregulation Strategies,,,,The ability to adjust emotional responses to a desirable level.
Emotion Regulation,Emotional Modulation,Downregulation Strategies,Controlled Disengagement,,,Techniques used to decrease negative emotional intensity.
Emotion Regulation,Emotional Modulation,Upregulation Strategies,,,,Strategic withdrawal of attention from negative stimuli.
Emotion Regulation,Emotional Modulation,Upregulation Strategies,Energizing Emotional States,,,Techniques used to increase emotional responses when necessary.
Social Interaction,,,,,,Methods to amplify feelings of motivation and engagement.
Social Interaction,Interpersonal Skills,,,,,
Social Interaction,Interpersonal Skills,Verbal Communication,,,,"The abilities required to effectively communicate, interact, and work with individuals and groups."
Social Interaction,Interpersonal Skills,Verbal Communication,Articulation,,,The ability to convey information and ideas using spoken words effectively.
Social Interaction,Interpersonal Skills,Verbal Communication,Active Listening,,,The clarity of speech sounds and pronunciation in spoken communication.
Social Interaction,Interpersonal Skills,Verbal Communication,Active Listening,Reflective Listening,,"The ability to fully concentrate, understand, respond, and remember what is being said."
Social Interaction,Interpersonal Skills,Verbal Communication,Active Listening,Clarifying Questions,,Listening that involves understanding the speaker's feelings and reflecting it back to them for clarity.
Social Interaction,Interpersonal Skills,Nonverbal Communication,,,,The use of specific questions to ensure understanding of a message.
Social Interaction,Interpersonal Skills,Nonverbal Communication,Facial Expressions,,,"The ability to use body language, facial expressions, and gestures to communicate effectively."
Social Interaction,Interpersonal Skills,Nonverbal Communication,Facial Expressions,Microexpressions,,The use of facial movements to convey emotions and intentions.
Social Interaction,Interpersonal Skills,Nonverbal Communication,Gestures,,,"Brief, involuntary facial expressions that reveal true emotions."
Social Interaction,Interpersonal Skills,Nonverbal Communication,Gestures,Cultural Gestures,,The use of hand and body movements to express ideas or meanings.
Social Interaction,Empathy,,,,,The ability to understand and share the feelings of others.
Social Interaction,Empathy,Cognitive Empathy,,,,Gestures that have specific meanings within different cultural contexts.
Social Interaction,Empathy,Cognitive Empathy,Perspective Taking,,,The capacity to understand and share the feelings of another individual.
Social Interaction,Empathy,Cognitive Empathy,Perspective Taking,Emotional Decentering,,The ability to intellectually identify and understand another person's thoughts and feelings.
Social Interaction,Empathy,Emotional Empathy,,,,The ability to see things from another person’s viewpoint.
Social Interaction,Empathy,Emotional Empathy,Affective Resonance,,,The ability to shift focus away from one's own emotion to understand another's perspective.
Social Interaction,Empathy,Emotional Empathy,Affective Resonance,Empathic Concern,,"The capacity to physically feel what another person feels, as though their emotions were contagious."
Social Interaction,Social Cognition,,,,,The ability to resonate with and share the emotions of others.
Social Interaction,Social Cognition,Theory of Mind,,,,Feelings of sympathy and concern for others in response to their suffering or needs.
Social Interaction,Social Cognition,Theory of Mind,False-Belief Understanding,,,"The processes involved in understanding, interpreting, and responding to the behaviors and intentions of others."
Social Interaction,Social Cognition,Theory of Mind,False-Belief Understanding,Second-Order False Belief,,The ability to attribute mental states to oneself and others and understand that others have thoughts and feelings that may differ from one's own.
Social Interaction,Social Cognition,Attributional Style,,,,The comprehension that others can hold beliefs about the world that are incorrect.
Social Interaction,Social Cognition,Attributional Style,Hostile Attribution Bias,,,Understanding that someone can have a false belief about someone else's belief or perspective.
Social Interaction,Social Cognition,Attributional Style,Hostile Attribution Bias,Defensive Attribution,,The tendency by which people explain the causes of behavior and events as external or internal.
Social Interaction,Social Awareness,,,,,The capacity to recognize and understand the emotions of others.
Social Interaction,Social Awareness,Situational Awareness,,,,The tendency to interpret others’ behaviors as having hostile intent.
Social Interaction,Social Awareness,Situational Awareness,Risk Awareness,,,The tendency to attribute responsibility to others for events that are threatening to oneself.
Social Interaction,Social Awareness,Situational Awareness,Risk Awareness,Benefit-Risk Analysis,,The ability to perceive and understand the social context and cues in a given environment.
Social Interaction,Social Awareness,Cultural Awareness,,,,The ability to understand and immediately interpret what is happening around oneself in a given context.
Social Interaction,Social Awareness,Cultural Awareness,Cultural Sensitivity,,,The ability to identify potential dangers or hazards in a situation.
Social Interaction,Social Awareness,Cultural Awareness,Cultural Sensitivity,Intercultural Competence,,Evaluating the positive and negative aspects of a situation to determine the best course of action.
Social Interaction,Relationship Building,,,,,The recognition and understanding of the differences and similarities between cultures.
Social Interaction,Relationship Building,Trust Building,,,,The ability to be aware of and respect cultural differences in interactions.
Social Interaction,Relationship Building,Trust Building,Reliability,,,The ability to effectively and appropriately interact in various cultural contexts.
Social Interaction,Relationship Building,Trust Building,Reliability,Transparency,,The capability to form and maintain positive and beneficial relationships with others.
Social Interaction,Relationship Building,Networking Skills,,,,The ability to create and maintain trustful relationships over time.
Social Interaction,Relationship Building,Networking Skills,Social Capital Development,,,The quality of being dependable and consistent in actions and behaviors.
Social Interaction,Relationship Building,Networking Skills,Social Capital Development,Reciprocity,,The practice of being open and honest in one's actions and communication.
Social Interaction,Conflict Resolution,,,,,The ability to suppress responses that are inappropriate within a context while activating those that are appropriate.
Social Interaction,Conflict Resolution,Negotiation Skills,,,,The ability to build contacts and gain access to opportunities or information in a professional context.
Social Interaction,Conflict Resolution,Negotiation Skills,Win-Win Strategy Development,,,The process of creating networks of relationships and resources for social support and collaboration.
Social Interaction,Conflict Resolution,Negotiation Skills,Win-Win Strategy Development,Interest-Based Negotiation,,The mutual exchange of resources and services for mutual benefit.
Social Interaction,Conflict Resolution,Mediation Skills,,,,The ability to find peaceful solutions to disagreements among individuals or groups.
Social Interaction,Conflict Resolution,Mediation Skills,Impartiality,,,The capability to discuss and reach mutually beneficial agreements.
Social Interaction,Conflict Resolution,Mediation Skills,Impartiality,Conflict Dynamics,,The ability to create solutions where all parties benefit and are satisfied with the outcome.
Communication and Language,,,,,,Focusing on the underlying interests of the parties involved rather than their initial positions.
Communication and Language,Verbal Communication,,,,,"The abilities required to effectively communicate, interact, and work with individuals and groups."
Communication and Language,Verbal Communication,Speech Production,,,,The ability to facilitate and guide a dialogue to resolve conflicts between parties.
Communication and Language,Verbal Communication,Speech Production,Phonetic Skills,,,The ability to remain neutral and unbiased when facilitating conflict resolution discussions.
Communication and Language,Verbal Communication,Speech Production,Prosody,,,Understanding and navigating the underlying dynamics and power structures within a conflict.
Communication and Language,Verbal Communication,Speech Production,Prosody,Varied Intonation,,"The ability to understand and express thoughts, feelings, and information through verbal and non-verbal methods, involving listening, speaking, reading, and writing."
Communication and Language,Verbal Communication,Speech Production,Prosody,Varied Intonation,Pitch Range Variation,The use of spoken language to convey information and express thoughts and emotions.
Communication and Language,Verbal Communication,Speech Production,Prosody,Stress Patterning,,The physical ability to produce sounds that form words.
Communication and Language,Verbal Communication,Verbal Fluency,,,,The ability to produce distinct sounds correctly and consistently.
Communication and Language,Verbal Communication,Verbal Fluency,Spontaneous Fluency,,,"The rhythm, stress, and intonation of speech."
Communication and Language,Verbal Communication,Verbal Fluency,Spontaneous Fluency,Conversational Fluency,,Ability to use different pitch patterns to convey meaning or emotion.
Communication and Language,Verbal Communication,Verbal Fluency,Cued Fluency,,,The ability to alter the pitch of speech across a wide range to convey different meanings.
Communication and Language,Verbal Communication,Verbal Fluency,Cued Fluency,Category Fluency,,Using varying levels of emphasis on syllables to distinguish meaning.
Communication and Language,Verbal Communication,Verbal Fluency,Cued Fluency,Letter Fluency,,"The ability to generate words easily, often under specific conditions."
Communication and Language,Verbal Communication,Vocabulary,,,,The ability to generate words without external prompts or cues.
Communication and Language,Verbal Communication,Vocabulary,Receptive Vocabulary,,,The ability to engage in spontaneous and fluid conversation in real-time.
Communication and Language,Verbal Communication,Vocabulary,Expressive Vocabulary,,,The ability to generate words when provided with a specific prompt or cue.
Communication and Language,Non-Verbal Communication,,,,,Ability to generate words belonging to a specific category under a time constraint.
Communication and Language,Non-Verbal Communication,Gestures,,,,"Brief, involuntary facial expressions that reveal true emotions."
Communication and Language,Non-Verbal Communication,Gestures,Symbolic Gestures,,,Ability to produce words that begin with a specific letter within a time limit.
Communication and Language,Non-Verbal Communication,Gestures,Descriptive Gestures,,,"The range of words known and understood, including their meanings."
Communication and Language,Non-Verbal Communication,Gestures,Descriptive Gestures,Iconic Gestures,,The words that are understood when heard or read.
Communication and Language,Non-Verbal Communication,Gestures,Descriptive Gestures,Metaphoric Gestures,,The words that are used in speaking or writing.
Communication and Language,Non-Verbal Communication,Facial Expressions,,,,"The ability to use body language, facial expressions, and gestures to communicate effectively."
Communication and Language,Non-Verbal Communication,Facial Expressions,Emotional Expressions,,,"Conveying messages without the use of words, including gestures, facial expressions, and body language."
Communication and Language,Non-Verbal Communication,Facial Expressions,Emotional Expressions,Basic Emotions,,The use of movements of the body or limbs to express or emphasize ideas or emotions.
Communication and Language,Non-Verbal Communication,Facial Expressions,Emotional Expressions,Complex Emotions,,"Gestures that have specific meanings within a culture, like thumbs up."
Communication and Language,Non-Verbal Communication,Body Language,,,,"Gestures used to describe objects, actions, or concepts."
Communication and Language,Non-Verbal Communication,Body Language,Postural Communication,,,Gestures that represent concrete actions or objects.
Communication and Language,Non-Verbal Communication,Body Language,Proxemic Communication,,,Gestures that represent abstract ideas or concepts.
Communication and Language,Eye Contact,,,,,The use of facial movements to convey emotions or reactions.
Communication and Language,Eye Contact,Regulatory Eye Contact,,,,Facial movements that specifically convey emotions like happiness or anger.
Communication and Language,Eye Contact,Expressive Eye Contact,,,,"Expressions conveying fundamental emotions such as surprise, disgust, etc."
Behavioral Control,,,,,,Expressions conveying emotions like pride or embarrassment.
Behavioral Control,Impulse Control,,,,,Resisting sudden urges to behave inappropriately.
Behavioral Control,Impulse Control,Delay of Gratification,,,,The ability to resist the temptation for an immediate reward and wait for a later reward.
Behavioral Control,Impulse Control,Delay of Gratification,Temporal Discounting,,,"The use of physical behavior, expressions, and mannerisms to communicate non-verbally with others."
Behavioral Control,Self-Monitoring,,,,,Using body posture to convey feelings or attitudes.
Behavioral Control,Self-Monitoring,Self-Reflection,,,,"The use of personal and interpersonal spatial behaviors, including space and distance."
Behavioral Control,Self-Monitoring,Self-Reflection,Metacognition,,,The act of looking directly into another person's eyes as a means of communication.
Behavioral Control,Self-Monitoring,Self-Reflection,Insight,,,Eye contact used to regulate the flow of conversation.
Behavioral Control,Emotional Regulation,,,,,Eye contact that conveys emotions or reactions.
Behavioral Control,Emotional Regulation,Emotional Awareness,,,,The ability to recognize and understand one's own emotions as well as the emotions of others.
Behavioral Control,Emotional Regulation,Emotional Awareness,Emotional Literacy,,,"Behavioral Control refers to the ability to manage one's actions, emotions, and thoughts in a flexible yet goal-oriented manner. It involves regulating behavior to adapt to various demands and circumstances in a socially acceptable way."
Behavioral Control,Emotional Regulation,Emotional Awareness,Empathy,,,The ability to understand and share the feelings of others.
Behavioral Control,Flexibility,,,,,"Impulse Control refers to the ability to resist or delay an impulse, drive, or temptation to act."
Behavioral Control,Flexibility,Cognitive Flexibility,,,,Delay of Gratification refers to the ability to resist the temptation for an immediate reward and wait for a later reward.
Behavioral Control,Flexibility,Cognitive Flexibility,Task Switching,,,"Temporal Discounting involves evaluating and making decisions about rewards that are available at different time points, weighing immediate versus delayed gratification."
Behavioral Control,Flexibility,Cognitive Flexibility,Set Shifting,,,Self-Monitoring refers to the ability to observe one's own behavior and adapt it to the demands of the situation.
Physical Health and Activity,,,,,,Self-Reflection involves the capacity to think about one's actions and the impact they have on oneself and others.
Physical Health and Activity,Physical Fitness,,,,,Metacognition is the awareness and understanding of one's own thought processes.
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,,,,"Insight involves recognizing and understanding one's own behaviors, emotions, and thought patterns."
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Aerobic Capacity,,,Emotional Regulation is the ability to manage and respond to an emotional experience with a range of emotions in a socially acceptable way.
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Aerobic Capacity,VO2 Max,,Emotional Awareness is the ability to recognize and understand one's own emotions and those of others.
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Aerobic Capacity,Lactate Threshold,,Emotional Literacy involves the ability to effectively express and manage one's emotions.
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Aerobic Capacity,Lactate Threshold,Lactate Clearance Rate,Empathy is the capacity to understand or feel what another person is experiencing from within their frame of reference.
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Aerobic Capacity,Lactate Threshold,Onset of Blood Lactate Accumulation (OBLA),"Flexibility is the capacity to adapt behaviors in response to changes in the environment, new information, or unexpected obstacles."
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Anaerobic Capacity,,,Cognitive Flexibility is the mental ability to switch between thinking about different concepts and to think about multiple concepts simultaneously.
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Anaerobic Capacity,Anaerobic Power,,Task Switching is the ability to shift attention between different tasks or mental processes effectively.
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Anaerobic Capacity,Anaerobic Power,Peak Power Output,Set Shifting involves the ability to shift focus from one task to another with ease.
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Anaerobic Capacity,Anaerobic Endurance,,"This dimension encompasses the overall physical health and activity levels of an individual, including aspects related to physical fitness, nutrition, sleep, and overall physical wellness."
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Anaerobic Capacity,Anaerobic Endurance,Time to Exhaustion,"The ability to perform aspects of sports, occupations, and daily activities without undue fatigue."
Physical Health and Activity,Physical Fitness,Muscular Strength and Endurance,,,,The efficiency with which the body delivers oxygen and nutrients to its muscles during prolonged physical activity.
Physical Health and Activity,Physical Fitness,Muscular Strength and Endurance,Isometric Strength,,,The maximum amount of oxygen the body can utilize during intense exercise.
Physical Health and Activity,Physical Fitness,Muscular Strength and Endurance,Isometric Strength,Grip Strength,,"Maximum volume of oxygen the body can consume during intense exercise, indicative of cardiovascular fitness."
Physical Health and Activity,Physical Fitness,Muscular Strength and Endurance,Isometric Strength,Grip Strength,Grip Endurance,The intensity of exercise at which lactate begins to accumulate in the blood.
Physical Health and Activity,Physical Fitness,Muscular Strength and Endurance,Dynamic Strength,,,"The rate at which lactate is removed from the bloodstream post-exercise, indicating recovery efficiency."
Physical Health and Activity,Physical Fitness,Muscular Strength and Endurance,Dynamic Strength,Explosive Strength,,"The point during increasing exercise intensity where lactate exponentially increases, often signaling fatigue threshold."
Physical Health and Activity,Physical Fitness,Muscular Strength and Endurance,Dynamic Strength,Explosive Strength,Rate of Force Development,The ability to exert short-term bursts of energy without relying on oxygen intake.
Physical Health and Activity,Physical Fitness,Flexibility,,,,"Impulse Control refers to the ability to resist or delay an impulse, drive, or temptation to act."
Physical Health and Activity,Physical Fitness,Flexibility,Static Flexibility,,,"Maximum power exerted during short, high-intensity efforts."
Physical Health and Activity,Physical Fitness,Flexibility,Static Flexibility,Passive Flexibility,,The highest power output achieved during short maximal effort tests.
Physical Health and Activity,Physical Fitness,Flexibility,Static Flexibility,Passive Flexibility,Joint Range of Motion Assessment,The capacity to sustain high-intensity efforts over a short duration.
Physical Health and Activity,Physical Fitness,Flexibility,Dynamic Flexibility,,,Duration a person can maintain a high-intensity effort before fatigue sets in.
Physical Health and Activity,Physical Fitness,Flexibility,Dynamic Flexibility,Active Flexibility,,The ability of muscles to perform continuously without fatigue and the force a muscle can produce in a single effort.
Physical Health and Activity,Physical Fitness,Flexibility,Dynamic Flexibility,Active Flexibility,Dynamic Stretching Efficiency,The ability of a muscle to sustain a contraction without changing its length.
Physical Health and Activity,Physical Fitness,Body Composition,,,,The force applied by the hand to grasp or hold onto objects.
Physical Health and Activity,Physical Fitness,Body Composition,Lean Mass Percentage,,,The ability to sustain grip force over a prolonged period without fatigue.
Physical Health and Activity,Physical Fitness,Body Composition,Lean Mass Percentage,Muscle Mass,,"The ability to exert force while moving, such as lifting or throwing."
Physical Health and Activity,Physical Fitness,Body Composition,Lean Mass Percentage,Muscle Mass,Skeletal Muscle Mass,The ability to exert maximum force in minimal time.
Physical Health and Activity,Physical Fitness,Body Composition,Fat Mass Percentage,,,"The speed at which force is generated, important for explosive movements."
Physical Health and Activity,Physical Fitness,Body Composition,Fat Mass Percentage,Visceral Fat,,"The range of motion available at a joint, important for overall functional movement."
Physical Health and Activity,Physical Fitness,Body Composition,Fat Mass Percentage,Visceral Fat,Body Fat Distribution Patterns,The ability to hold an extended position at one end or point in a joint’s range of motion.
Physical Health and Activity,Nutrition,,,,,Flexibility when an external force or support is used to achieve the stretch.
Physical Health and Activity,Nutrition,Macronutrient Balance,,,,Evaluating the degrees of movement available at a joint when assisted by external force.
Physical Health and Activity,Nutrition,Macronutrient Balance,Carbohydrate Intake,,,The ability to perform dynamic movements within the full range of a joint's motion.
Physical Health and Activity,Nutrition,Macronutrient Balance,Carbohydrate Intake,Glycemic Load,,"Flexibility achieved through muscle action, without external support or force."
Physical Health and Activity,Nutrition,Macronutrient Balance,Carbohydrate Intake,Glycemic Load,Postprandial Glucose Response,The effectiveness of active stretching movements in improving flexibility and reducing injury risk during activities.
Physical Health and Activity,Nutrition,Macronutrient Balance,Protein Intake,,,"The relative amount of muscle, fat, bone, and other vital parts of the body."
Physical Health and Activity,Nutrition,Macronutrient Balance,Protein Intake,Essential Amino Acids,,"The proportion of body mass that is lean tissue, including muscle, bone, and organs."
Physical Health and Activity,Nutrition,Macronutrient Balance,Protein Intake,Essential Amino Acids,Amino Acid Profile,The total weight of muscles in the body.
Physical Health and Activity,Nutrition,Micronutrient Sufficiency,,,,"The portion of muscle mass attached to the skeleton, involved in movement and posture."
Physical Health and Activity,Nutrition,Micronutrient Sufficiency,Vitamin Sufficiency,,,The proportion of body mass that is fat tissue.
Physical Health and Activity,Nutrition,Micronutrient Sufficiency,Vitamin Sufficiency,Vitamin D Levels,,Fat stored in the abdominal cavity linked to higher health risks.
Physical Health and Activity,Nutrition,Micronutrient Sufficiency,Vitamin Sufficiency,Vitamin D Levels,Vitamin D Metabolism,"Patterns in how body fat is distributed, affecting health in different ways."
Physical Health and Activity,Nutrition,Micronutrient Sufficiency,Mineral Sufficiency,,,"The intake of food, considered in relation to the body’s dietary needs."
Physical Health and Activity,Nutrition,Micronutrient Sufficiency,Mineral Sufficiency,Iron Levels,,"The proportion and intake levels of carbohydrates, proteins, and fats in a diet."
Physical Health and Activity,Nutrition,Micronutrient Sufficiency,Mineral Sufficiency,Iron Levels,Ferritin Concentration,The amount and quality of carbohydrates consumed to provide energy.
Physical Health and Activity,Nutrition,Hydration,,,,Measure of how much a carbohydrate-containing food raises blood glucose levels.
Physical Health and Activity,Nutrition,Hydration,Water Consumption,,,"The blood glucose level change after consuming a carbohydrate-rich meal, important for managing energy and insulin levels."
Physical Health and Activity,Nutrition,Hydration,Water Consumption,Hydration Assessment,,"The amount of protein consumed critical for growth, repair, and immunity."
Physical Health and Activity,Nutrition,Electrolyte Balance,,,,Amino acids that must be consumed in the diet as the body cannot synthesize them.
Physical Health and Activity,Nutrition,Electrolyte Balance,Sodium Balance,,,"The composition of essential amino acids in a protein source, contributing to dietary quality."
Physical Health and Activity,Nutrition,Electrolyte Balance,Sodium Balance,Hyponatremia Risk,,The presence of essential vitamins and minerals in the diet to support body functions.
Physical Health and Activity,Dietary Habits,,,,,The adequate presence of essential vitamins needed for cellular processes.
Physical Health and Activity,Dietary Habits,Meal Frequency,,,,"The concentration of Vitamin D in the blood, essential for bone health."
Physical Health and Activity,Dietary Habits,Meal Frequency,Intermittent Fasting,,,"The conversion processes of Vitamin D into its active forms within the body, necessary for its functions."
Physical Health and Activity,Dietary Habits,Meal Frequency,Intermittent Fasting,Fasting Window Duration,,The adequate presence of essential minerals supporting physiological functions.
Physical Health and Activity,Dietary Habits,Dietary Variety,,,,"The concentration of iron in the body, crucial for oxygen transport in the blood."
Physical Health and Activity,Dietary Habits,Dietary Variety,Diverse Food Sources,,,"The amount of ferritin, reflecting stored iron within the body, important for diagnosing deficiencies."
Physical Health and Activity,Dietary Habits,Dietary Variety,Diverse Food Sources,Nutrient Diversity Index,,The maintenance of adequate fluid balance to support physiological functions.
Attention and Perception,,,,,,The intake of water to meet daily hydration needs.
Attention and Perception,Sustained Attention,,,,,Methods and measures used to determine an individual's hydration status beyond water intake.
Attention and Perception,Sustained Attention,Vigilance,,,,The balance of salts and minerals in the body that affects hydration and function.
Attention and Perception,Sustained Attention,Vigilance,Alertness,,,The regulation of sodium levels important for fluid balance and nerve function.
Attention and Perception,Sustained Attention,Vigilance,Alertness,Rapid Detection,,"The potential for low sodium levels in the blood due to imbalances in intake or loss, relevant to endurance sports."
Attention and Perception,Sustained Attention,Vigilance,Alertness,Sustained Alertness,,Patterns and preferences in food consumption that affect overall health.
Attention and Perception,Sustained Attention,Vigilance,Endurance,,,The number and timing of meals consumed in a day.
Attention and Perception,Sustained Attention,Vigilance,Endurance,Task Persistence,,Eating pattern that cycles between periods of fasting and eating.
Attention and Perception,Sustained Attention,Vigilance,Endurance,Fatigue Management,,"The length of time spent fasting in an intermittent fasting cycle, influencing metabolic effects."
Attention and Perception,Sustained Attention,Concentration,,,,The range of different foods consumed within a diet.
