level_0,level_1,level_2,level_3,level_4,level_5,description
Cognitive Function,Memory,Working Memory,Episodic Buffer,Integration,Cross-Modal Integration,The ability to combine information from different sensory modalities.
Cognitive Function,Attention,,,,The ability to focus on specific stimuli or tasks while managing distractions.,
Cognitive Function,Attention,Sustained Attention,,,The capacity to maintain consistent focus over time.,
Cognitive Function,Attention,Sustained Attention,Cognitive Endurance,,The ability to keep attention over long periods without losing focus.,
Cognitive Function,Attention,Sustained Attention,Cognitive Endurance,Auditory Vigilance,Maintaining focus on auditory stimuli over prolonged periods.,
Cognitive Function,Attention,Selective Attention,,,The ability to focus on relevant stimuli while ignoring irrelevant information.,
Cognitive Function,Attention,Selective Attention,Auditory Selective Attention,,Focusing on specific sounds while ignoring others.,
Cognitive Function,Attention,Selective Attention,Auditory Selective Attention,Speech-In-Noise Differentiation,The ability to discern speech from background noise.,
Cognitive Function,Attention,Selective Attention,Visual Selective Attention,,Focusing on specific visual stimuli while ignoring others.,
Cognitive Function,Attention,Selective Attention,Visual Selective Attention,Color-Cue Attention,Focusing on specific colors in a visual field.,
Cognitive Function,Attention,Divided Attention,,,The capacity to process two or more responses or stimuli simultaneously.,
Cognitive Function,Attention,Divided Attention,Multitasking,,Performing multiple cognitive tasks at the same time.,
Cognitive Function,Attention,Divided Attention,Multitasking,Simultaneous Processing,The ability to handle different tasks or processes at the same time.,
Cognitive Function,Executive Functioning,,,,"High-level cognitive processes that help in planning, decision-making, problem-solving, and regulating thoughts and actions.",
Cognitive Function,Executive Functioning,Inhibition Control,,,The ability to suppress impulsive responses and resist distractions.,
Cognitive Function,Executive Functioning,Inhibition Control,Response Inhibition,,Suppressing inappropriate or unwanted behaviors.,
Cognitive Function,Executive Functioning,Inhibition Control,Response Inhibition,Emotional Inhibition,The ability to control or modify emotional responses.,
Cognitive Function,Executive Functioning,Cognitive Flexibility,,,The capacity to switch between thinking about different concepts or to think about multiple concepts simultaneously.,
Cognitive Function,Executive Functioning,Cognitive Flexibility,Set Shifting,,Alternating between different thoughts or actions according to the demands of the situation.,
Cognitive Function,Executive Functioning,Cognitive Flexibility,Set Shifting,Task Reconfiguration,Adjusting mental processes to respond to a new task rapidly.,
Cognitive Function,Executive Functioning,Planning,,,The ability to create a roadmap to reach a goal or complete a task efficiently.,
Cognitive Function,Executive Functioning,Planning,Goal Setting,,Establishing objectives and determining steps to achieve them.,
Cognitive Function,Executive Functioning,Planning,Goal Setting,Milestone Mapping,Identifying key stages or checkpoints towards achieving a goal.,
Cognitive Function,Executive Functioning,Problem-Solving,,,The ability to find solutions to complex or difficult issues.,
Cognitive Function,Executive Functioning,Problem-Solving,Strategic Thinking,,Devising a plan to solve problems efficiently.,
Cognitive Function,Executive Functioning,Problem-Solving,Strategic Thinking,Analytical Reasoning,Breaking down complex information into components to solve problems.,
Cognitive Function,Perception,,,,The ability to interpret and organize sensory information.,
Cognitive Function,Perception,Visual Perception,,,The ability to interpret information from visible light reaching the eye.,
Cognitive Function,Perception,Visual Perception,Depth Perception,,The ability to perceive the world in three dimensions.,
Cognitive Function,Perception,Visual Perception,Depth Perception,Stereopsis,Perceiving depth by integrating visual information from both eyes.,
Cognitive Function,Perception,Auditory Perception,,,"The ability to identify, interpret, and attach meaning to sound stimuli.",
Cognitive Function,Perception,Auditory Perception,Sound Localization,,The ability to identify the source or location of a sound in space.,
Cognitive Function,Perception,Auditory Perception,Sound Localization,Binaural Perception,Using auditory input from both ears to locate sound sources.,
Cognitive Function,Perception,Tactile Perception,,,The ability to interpret information through touch.,
Cognitive Function,Perception,Tactile Perception,Texture Discrimination,,Differentiating between the feel of various surfaces.,
Cognitive Function,Perception,Tactile Perception,Texture Discrimination,Surface Roughness Perception,The ability to distinguish between smooth and rough textures.,
Cognitive Function,Language Processing,,,,"The ability to comprehend and produce language forms, including speaking, reading, and writing.",
Cognitive Function,Language Processing,Receptive Language,,,The ability to understand and process spoken and written language.,
Cognitive Function,Language Processing,Receptive Language,Listening Comprehension,,Understanding and interpreting spoken language.,
Cognitive Function,Language Processing,Receptive Language,Listening Comprehension,Inferential Listening,Understanding implicit meaning and nuances in spoken content.,
Cognitive Function,Language Processing,Expressive Language,,,The ability to produce and articulate thoughts verbally or in writing.,
Cognitive Function,Language Processing,Expressive Language,Narrative Skills,,The ability to tell stories and describe events.,
Cognitive Function,Language Processing,Expressive Language,Narrative Skills,Story Structuring,Organizing words and ideas into coherent and engaging narratives.,
Cognitive Function,Language Processing,Phonological Processing,,,The ability to recognize and manipulate sounds in speech.,
Cognitive Function,Language Processing,Phonological Processing,Phonological Awareness,,Recognizing and working with sounds in spoken language.,
Cognitive Function,Language Processing,Phonological Processing,Phonological Awareness,Rhyme Generation,Creating words that rhyme in a given context.,
Cognitive Function,Visual-Spatial Skills,,,,"The ability to comprehend visual and spatial relationships, such as understanding maps, graphs, and complex shapes.",
Cognitive Function,Visual-Spatial Skills,Spatial Orientation,,,The ability to understand and operate in a space in relation to other objects.,
Cognitive Function,Visual-Spatial Skills,Spatial Orientation,Directional Sense,,Understanding of and ability to navigate using directions.,
Cognitive Function,Visual-Spatial Skills,Spatial Orientation,Directional Sense,Cardinal Directions,Understanding and using the points of a compass for navigation.,
Cognitive Function,Visual-Spatial Skills,Visual-Motor Integration,,,The ability to coordinate visual perceptual skills with motor skills.,
Cognitive Function,Visual-Spatial Skills,Visual-Motor Integration,Hand-Eye Coordination,,The ability to synchronize visual input with motor actions.,
Cognitive Function,Visual-Spatial Skills,Visual-Motor Integration,Hand-Eye Coordination,Fine Motor Precision,The accuracy and delicacy of manual tasks requiring careful coordination between vision and touch.,
Emotion Regulation,,,,,The ability to effectively manage and respond to an emotional experience.,
Emotion Regulation,Emotional Awareness,,,,Understanding and recognizing one's own emotions.,
Emotion Regulation,Emotional Awareness,Emotional Self-Monitoring,,,The ability to continuously evaluate one's emotional state.,
Emotion Regulation,Emotional Awareness,Emotional Self-Monitoring,Real-Time Emotional Tracking,,Monitoring and identifying emotions as they occur in real-time.,
Emotion Regulation,Emotional Awareness,Emotional Self-Monitoring,Real-Time Emotional Tracking,Mindful Emotional Recognition,Using mindfulness techniques to remain aware of emotions as they arise.,
Emotion Regulation,Emotional Awareness,Emotional Self-Monitoring,Real-Time Emotional Tracking,Emotion Logging,Documenting emotional states and changes over time for better awareness.,
Emotion Regulation,Emotional Awareness,Emotional Self-Monitoring,Retrospective Emotional Evaluation,,Assessing emotional responses after the fact to understand emotional patterns.,
Emotion Regulation,Emotional Awareness,Emotional Self-Monitoring,Retrospective Emotional Evaluation,Narrative Review,Reflecting on past emotional experiences to understand emotional trends.,
Emotion Regulation,Emotional Awareness,Emotional Self-Monitoring,Retrospective Emotional Evaluation,Comparative Emotional Analysis,Contrasting current and previous emotional experiences to derive insights.,
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,,,Recognizing and interpreting bodily signals related to emotional states.,
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Bodily Sensation Identification,,Identifying physical sensations associated with different emotions.,
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Bodily Sensation Identification,Localized Sensation Mapping,Pinpointing specific physical locations associated with emotional sensations.,
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Bodily Sensation Identification,Intensity and Duration Tracking,Observing the strength and length of bodily sensations related to emotions.,
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Emotional-Bodily Synchrony,,Understanding the relationship between bodily sensations and emotional states.,
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Emotional-Bodily Synchrony,Temporal Synchronization,Timing and predicting bodily responses to emotional stimuli.,
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Emotional-Bodily Synchrony,Emotional-Corporal Feedback Loops,Recognizing feedback between emotions and bodily changes.,
Emotion Regulation,Emotional Expression,,,,The ability to express emotions appropriately.,
Emotion Regulation,Emotional Expression,Verbal Expression,,,Articulating emotions through words.,
Emotion Regulation,Emotional Expression,Verbal Expression,Emotionally Descriptive Language,,Using detailed and precise language to describe emotions.,
Emotion Regulation,Emotional Expression,Verbal Expression,Emotionally Descriptive Language,Emotion Vocabulary Expansion,Building a broader set of words for emotional expressions.,
Emotion Regulation,Emotional Expression,Verbal Expression,Emotionally Descriptive Language,Contextual Language Usage,Adapting emotional language to suit different social scenarios.,
Emotion Regulation,Emotional Expression,Verbal Expression,Emotionally Expressive Storytelling,,Conveying emotions through narrative and stories.,
Emotion Regulation,Emotional Expression,Verbal Expression,Emotionally Expressive Storytelling,Emotional Narration Techniques,Using storytelling methods to effectively communicate emotions.,
Emotion Regulation,Emotional Expression,Verbal Expression,Emotionally Expressive Storytelling,Emotional Engagement Strategies,Techniques to captivate an audience with emotional stories.,
Emotion Regulation,Emotional Expression,Non-Verbal Expression,,,"Conveying emotions through body language, facial expressions, and gestures.",
Emotion Regulation,Emotional Expression,Non-Verbal Expression,Facial Expression Recognition,,Understanding and using facial expressions to convey emotions.,
Emotion Regulation,Emotional Expression,Non-Verbal Expression,Facial Expression Recognition,Micro-Expressions Analysis,"Detecting and interpreting brief, involuntary facial expressions.",
Emotion Regulation,Emotional Expression,Non-Verbal Expression,Facial Expression Recognition,Macro-Expressions Differentiation,Distinguishing between overt facial expressions for different emotions.,
Emotion Regulation,Emotional Expression,Non-Verbal Expression,Gestural Emotional Communication,,Using gestures to express emotions.,
Emotion Regulation,Emotional Expression,Non-Verbal Expression,Gestural Emotional Communication,Cultural Nuance in Gestures,Understanding cultural differences in gestural emotion expression.,
Emotion Regulation,Emotional Expression,Non-Verbal Expression,Gestural Emotional Communication,Gesture Recognition Training,Improving skills in identifying emotional gestures.,
Emotion Regulation,Emotional Understanding of Others,,,,The ability to empathize and understand emotions in others.,
Emotion Regulation,Emotional Understanding of Others,Cognitive Empathy,,,Understanding the perspective and emotions of others.,
Emotion Regulation,Emotional Understanding of Others,Cognitive Empathy,Perspective Taking,,The ability to adopt the viewpoint of another person.,
Emotion Regulation,Emotional Understanding of Others,Cognitive Empathy,Perspective Taking,Role-Playing Exercises,Participating in activities that promote understanding others' perspectives.,
Emotion Regulation,Emotional Understanding of Others,Cognitive Empathy,Perspective Taking,Analytical Perspective Shifts,Methodically changing viewpoints to enhance empathy.,
Emotion Regulation,Emotional Understanding of Others,Cognitive Empathy,Theory of Mind,,Understanding that others have thoughts and emotions different from one's own.,
Emotion Regulation,Emotional Understanding of Others,Cognitive Empathy,Theory of Mind,Mind-Reading Exercises,Practice in guessing others' emotions and thoughts.,
Emotion Regulation,Emotional Understanding of Others,Cognitive Empathy,Theory of Mind,Social Scenario Analysis,Studying various social situations to predict emotional responses.,
Emotion Regulation,Emotional Understanding of Others,Affective Empathy,,,Sharing and responding to the emotional experiences of others.,
Emotion Regulation,Emotional Understanding of Others,Affective Empathy,Emotional Matching,,Feeling emotions that are similar to those of another person.,
Emotion Regulation,Emotional Understanding of Others,Affective Empathy,Emotional Matching,Emotional Synchrony Development,Practicing aligning one's emotional state with others.,
Emotion Regulation,Emotional Understanding of Others,Affective Empathy,Emotional Matching,Sympathetic Engagement,Engaging in activities that nurture emotional alignment.,
Emotion Regulation,Emotional Understanding of Others,Affective Empathy,Compassionate Response,,Acting on feelings of care and concern for another's emotional state.,
Emotion Regulation,Emotional Understanding of Others,Affective Empathy,Compassionate Response,Compassion Training Programs,Participating in structured programs to enhance compassion.,
Emotion Regulation,Emotional Understanding of Others,Affective Empathy,Compassionate Response,Proactive Emotional Support,Offering emotional help and support instinctively.,
Emotion Regulation,Emotional Control,,,,The ability to regulate intense emotions and impulses.,
Emotion Regulation,Emotional Control,Impulse Control,,,Managing immediate emotional and behavioral reactions.,
Emotion Regulation,Emotional Control,Impulse Control,Delay of Gratification,,The ability to wait in order to obtain something more rewarding later.,
Emotion Regulation,Emotional Control,Impulse Control,Delay of Gratification,Patience Building Exercises,Activities designed to enhance one's ability to wait.,
Emotion Regulation,Emotional Control,Impulse Control,Delay of Gratification,Deferred Reward Strategies,Techniques to manage desires for immediate rewards.,
Emotion Regulation,Emotional Control,Impulse Control,Impulse Delay Techniques,,Strategies to delay immediate emotional or behavioral reactions.,
Emotion Regulation,Emotional Control,Impulse Control,Impulse Delay Techniques,Breathing Techniques,Using breath control to manage impulses.,
Emotion Regulation,Emotional Control,Impulse Control,Impulse Delay Techniques,Cognitive Reappraisal,Reframing thoughts to alter emotional responses.,
Emotion Regulation,Emotional Control,Distress Tolerance,,,Enduring emotional discomfort effectively.,
Emotion Regulation,Emotional Control,Distress Tolerance,Emotional Resilience,,The capacity to recover quickly from emotional difficulties.,
Emotion Regulation,Emotional Control,Distress Tolerance,Emotional Resilience,Resilience Strengthening Exercises,Activities aimed at boosting emotional resilience.,
Emotion Regulation,Emotional Control,Distress Tolerance,Emotional Resilience,Stress Recovery Methods,Techniques to facilitate recovery from stress.,
Emotion Regulation,Emotional Control,Distress Tolerance,Coping with Emotional Stress,,Techniques to manage emotional stress and discomfort.,
Emotion Regulation,Emotional Control,Distress Tolerance,Coping with Emotional Stress,Mindfulness-Based Stress Reduction,Using mindfulness practices to alleviate stress.,
Emotion Regulation,Emotional Control,Distress Tolerance,Coping with Emotional Stress,Problem-Solving Therapy,Engaging in therapy to address emotional stressors.,
Emotion Regulation,Emotional Reflectivity,,,,The capacity to reflect on one's emotions and emotional reactions.,
Emotion Regulation,Emotional Reflectivity,Emotional Insight,,,Understanding the origins and implications of one's emotional responses.,
Emotion Regulation,Emotional Reflectivity,Emotional Insight,Root Cause Analysis,,Identifying underlying causes of emotional reactions.,
Emotion Regulation,Emotional Reflectivity,Emotional Insight,Root Cause Analysis,Trigger Mapping,Identifying specific causes that prompt emotional responses.,
Emotion Regulation,Emotional Reflectivity,Emotional Insight,Root Cause Analysis,Pattern Recognition,Identifying recurring emotional triggers and behaviors.,
Emotion Regulation,Emotional Reflectivity,Emotional Insight,Predictive Emotional Understanding,,Anticipating emotional reactions based on past experiences.,
Emotion Regulation,Emotional Reflectivity,Emotional Insight,Predictive Emotional Understanding,Emotional Forecasting,Predicting future emotional states based on historical data.,
Emotion Regulation,Emotional Reflectivity,Emotional Insight,Predictive Emotional Understanding,Scenario Planning,Preparing for potential emotional reactions in various scenarios.,
Emotion Regulation,Emotional Reflectivity,Emotion-Focused Coping,,,Strategies to deal with emotional stress and difficulties.,
Emotion Regulation,Emotional Reflectivity,Emotion-Focused Coping,Adaptive Coping Strategies,,Use of flexible and positive approaches to handle emotional challenges.,
Emotion Regulation,Emotional Reflectivity,Emotion-Focused Coping,Adaptive Coping Strategies,Cognitive Behavioral Adjustments,Techniques to change thought patterns influencing emotions.,
Emotion Regulation,Emotional Reflectivity,Emotion-Focused Coping,Adaptive Coping Strategies,Emotion Regulation Skill Building,Developing skills to enhance emotion regulation.,
Emotion Regulation,Emotional Reflectivity,Emotion-Focused Coping,Maladaptive Coping Recognition,,Identifying and avoiding unhelpful coping methods.,
Emotion Regulation,Emotional Reflectivity,Emotion-Focused Coping,Maladaptive Coping Recognition,Negative Pattern Identification,Spotting detrimental coping behaviors.,
Emotion Regulation,Emotional Reflectivity,Emotion-Focused Coping,Maladaptive Coping Recognition,Behavioral Modification Techniques,Methods to change counterproductive coping tactics.,
Social Interaction,,,,,"Social Interaction refers to the ways in which individuals engage and communicate with others in society, including understanding social cues, forming relationships, and collaborating in group settings.",
Social Interaction,Social Understanding,,,,"The ability to perceive, interpret, and predict social cues, norms, and behaviors in various contexts.",
Social Interaction,Social Understanding,Theory of Mind,,,Understanding that others have thoughts and emotions different from one's own.,
Social Interaction,Social Understanding,Theory of Mind,First-Order Theory of Mind,,"The capacity to understand others' thoughts, beliefs, and emotions.",
Social Interaction,Social Understanding,Theory of Mind,First-Order Theory of Mind,False-Belief Understanding,"Understanding that others have beliefs, desires, and intentions that are different from one's own.",
Social Interaction,Social Understanding,Theory of Mind,First-Order Theory of Mind,False-Belief Understanding,Advanced False Belief Tasks,Recognizing that others can hold beliefs that are untrue or different from reality.
Social Interaction,Social Understanding,Theory of Mind,First-Order Theory of Mind,Desire-Emotion Link,Understanding complex scenarios involving multiple false beliefs.,
Social Interaction,Social Understanding,Theory of Mind,First-Order Theory of Mind,Desire-Emotion Link,Emotion Regulation in Desire Contexts,Understanding how desires influence emotions in oneself and others.
Social Interaction,Social Understanding,Theory of Mind,Second-Order Theory of Mind,,Managing emotions that arise from personal desires.,
Social Interaction,Social Understanding,Theory of Mind,Second-Order Theory of Mind,Complex Social Inference,The ability to understand what one person thinks about another person's thoughts.,
Social Interaction,Social Understanding,Theory of Mind,Second-Order Theory of Mind,Complex Social Inference,Meta-Representation Skills,Making inferences about multiple interacting mental states.
Social Interaction,Social Understanding,Theory of Mind,Second-Order Theory of Mind,Perspective-Taking Flexibility,Representing and reflecting on others' mental representations.,
Social Interaction,Social Understanding,Theory of Mind,Second-Order Theory of Mind,Perspective-Taking Flexibility,Dynamic Role Empathy,Adjusting one's perspective-taking in dynamic social scenarios.
Social Interaction,Social Understanding,Social Perception,,,Adapting empathy to changing social roles and relationships.,
Social Interaction,Social Understanding,Social Perception,Facial Expression Recognition,,Understanding and using facial expressions to convey emotions.,
Social Interaction,Social Understanding,Social Perception,Facial Expression Recognition,Micro-Expression Analysis,"The ability to accurately decode and interpret social cues, such as body language and facial expressions.",
Social Interaction,Social Understanding,Social Perception,Facial Expression Recognition,Micro-Expression Analysis,Rapid Recognition Training,The skill of identifying and interpreting emotions in others based on facial expressions.
Social Interaction,Social Understanding,Social Perception,Facial Expression Recognition,Emotion-Context Matching,Detecting and interpreting subtle facial expressions that occur briefly.,
Social Interaction,Social Understanding,Social Perception,Facial Expression Recognition,Emotion-Context Matching,Contextual Emotion Decoding,Training to improve the speed and accuracy of micro-expression recognition.
Social Interaction,Social Understanding,Social Perception,Body Language Interpretation,,Relating facial expressions to contextual emotional scenarios.,
Social Interaction,Social Understanding,Social Perception,Body Language Interpretation,Gesture-Decoding,Decoding emotions based on situational and environmental contexts.,
Social Interaction,Social Understanding,Social Perception,Body Language Interpretation,Gesture-Decoding,Cultural Gesture Awareness,Understanding and interpreting non-verbal cues conveyed through body movements and posture.
Social Interaction,Social Understanding,Social Perception,Body Language Interpretation,Posture Analysis,Interpreting the meaning of specific gestures within communication.,
Social Interaction,Social Understanding,Social Perception,Body Language Interpretation,Posture Analysis,Postural Emotion Calibration,Understanding gestures specific to different cultural contexts.
Social Interaction,Relationship Building,,,,Understanding emotional states and intentions from posture.,
Social Interaction,Relationship Building,Empathy Development,,,Calibrating emotional interpretation based on typical posture norms.,
Social Interaction,Relationship Building,Empathy Development,Cognitive Empathy,,Understanding the perspective and emotions of others.,
Social Interaction,Relationship Building,Empathy Development,Cognitive Empathy,Perspective Integration,The capacity to form and maintain healthy and meaningful relationships with others.,
Social Interaction,Relationship Building,Empathy Development,Cognitive Empathy,Perspective Integration,Interactive Perspective-Taking,The ability to understand and share the feelings of others.
Social Interaction,Relationship Building,Empathy Development,Cognitive Empathy,Empathetic Judgement,The capacity to understand another's perspective or mental state.,
Social Interaction,Relationship Building,Empathy Development,Cognitive Empathy,Empathetic Judgement,Judgement Empathy Balance,Synthesizing different viewpoints into a coherent understanding.
Social Interaction,Relationship Building,Empathy Development,Affective Empathy,,Sharing and responding to the emotional experiences of others.,
Social Interaction,Relationship Building,Empathy Development,Affective Empathy,Emotional Resonance,Engaging in discussions that promote mutual understanding and integration.,
Social Interaction,Relationship Building,Empathy Development,Affective Empathy,Emotional Resonance,Synchrony in Emotional Responses,Evaluating situations from an empathic perspective.
Social Interaction,Relationship Building,Empathy Development,Affective Empathy,Empathetic Concern,Balancing objective judgement with empathetic understanding.,
Social Interaction,Relationship Building,Empathy Development,Affective Empathy,Empathetic Concern,Compassionate Action,The ability to respond with an appropriate emotion to another's mental states.
Social Interaction,Relationship Building,Trust Establishment,,,Feeling and sharing emotions in-sync with others.,
Social Interaction,Relationship Building,Trust Establishment,Reliability Perception,,Achieving emotional synchrony with others during interactions.,
Social Interaction,Relationship Building,Trust Establishment,Reliability Perception,Consistency Evaluation,Experiencing and expressing concern for others' well-being.,
Social Interaction,Relationship Building,Trust Establishment,Reliability Perception,Consistency Evaluation,Temporal Consistency Analysis,Acting to support and comfort others driven by empathy.
Social Interaction,Relationship Building,Trust Establishment,Reliability Perception,Integrity Recognition,The process of building and maintaining trust in interpersonal relationships.,
Social Interaction,Relationship Building,Trust Establishment,Reliability Perception,Integrity Recognition,Values and Integrity Alignment,Assessing and recognizing the dependability of others.
Social Interaction,Relationship Building,Trust Establishment,Emotional Bonding,,Judging others based on consistent behavior over time.,
Social Interaction,Relationship Building,Trust Establishment,Emotional Bonding,Attachment Security,Analyzing behavior consistency across time periods.,
Social Interaction,Relationship Building,Trust Establishment,Emotional Bonding,Attachment Security,Secure Attachment Behaviors,Identifying honesty and adherence to moral principles.
Social Interaction,Relationship Building,Trust Establishment,Emotional Bonding,Interpersonal Warmth,Aligning personal values with perceptions of integrity in others.,
Social Interaction,Relationship Building,Trust Establishment,Emotional Bonding,Interpersonal Warmth,Warmth Expression Techniques,Creating a shared sense of connection and attachment with others.
Social Interaction,Collaboration,,,,Feeling secure and confident in close relationships.,
Social Interaction,Collaboration,Teamwork,,,Demonstrating behaviors associated with secure attachments.,
Social Interaction,Collaboration,Teamwork,Role Identification,,Exhibiting kindness and warmth in social interactions.,
Social Interaction,Collaboration,Teamwork,Role Identification,Role Adaptability,Techniques for expressing warmth and kindness effectively.,
Social Interaction,Collaboration,Teamwork,Role Identification,Role Adaptability,Cross-Functional Role Training,The skill of working effectively and cooperatively with others to achieve common goals.
Social Interaction,Collaboration,Teamwork,Role Identification,Role Competency,The ability to work constructively within a group to achieve shared objectives.,
Social Interaction,Collaboration,Teamwork,Role Identification,Role Competency,Competency Enhancement,Understanding and fulfilling one's role within a team setting.
Social Interaction,Collaboration,Teamwork,Goal Alignment,,Adjusting to different roles and responsibilities as needed.,
Social Interaction,Collaboration,Teamwork,Goal Alignment,Objective Clarification,Training to perform various roles within a team.,
Social Interaction,Collaboration,Teamwork,Goal Alignment,Objective Clarification,Goal Clarity Workshops,Demonstrating skill and expertise within assigned roles.
Social Interaction,Collaboration,Teamwork,Goal Alignment,Priority Setting,Improving skills specific to assigned roles.,
Social Interaction,Collaboration,Teamwork,Goal Alignment,Priority Setting,Strategic Priority Assessment,Ensuring individual and group objectives are in harmony.
Social Interaction,Collaboration,Negotiation,,,Articulating and agreeing on shared goals and objectives.,
Social Interaction,Collaboration,Negotiation,Conflict Resolution,,Workshops to promote understanding and clarity of team goals.,
Social Interaction,Collaboration,Negotiation,Conflict Resolution,Active Listening,Determining the most important goals for the team.,
Social Interaction,Collaboration,Negotiation,Conflict Resolution,Active Listening,Reflective Listening Techniques,Assessing and establishing strategic priorities within teams.
Social Interaction,Collaboration,Negotiation,Conflict Resolution,Solution-Oriented Dialogue,The process of reaching agreements through discussion and compromise.,
Social Interaction,Collaboration,Negotiation,Conflict Resolution,Solution-Oriented Dialogue,Solution Brainstorming Sessions,The ability to resolve disagreements in a constructive manner.
Social Interaction,Collaboration,Negotiation,Compromise Building,,Carefully listening to understand others' perspectives during conflict.,
Social Interaction,Collaboration,Negotiation,Compromise Building,Mutual Gains Approach,Techniques to reflect on and understand spoken information.,
Social Interaction,Collaboration,Negotiation,Compromise Building,Mutual Gains Approach,Win-Win Strategy Formulation,Focusing discussions on actionable solutions.
Social Interaction,Collaboration,Negotiation,Compromise Building,Boundary Setting,Sessions dedicated to generating actionable solutions.,
Social Interaction,Collaboration,Negotiation,Compromise Building,Boundary Setting,Boundary Clarity Techniques,The skill of finding a middle ground that satisfies different parties.
Social Interaction,Social Communication,,,,Seeking beneficial solutions for all parties involved.,
Social Interaction,Social Communication,Verbal Communication,,,Creating strategies that ensure mutual benefit in negotiations.,
