level_1,level_2,level_3,level_4,level_5,description
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,Motor Response Control,The ability to stop or prevent physical actions
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,Impulse Control,The ability to resist immediate urges or impulses
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,,The ability to filter out irrelevant information or distractions
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,Distractor Resistance,The ability to maintain focus despite external distractions
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,Cognitive Interference Control,The ability to suppress competing mental information
Cognitive Function,Executive Function,Planning and Organization,,,The ability to create and execute sequential steps to achieve goals
Cognitive Function,Executive Function,Planning and Organization,Strategic Planning,,The ability to develop and sequence steps to achieve long-term goals
Cognitive Function,Executive Function,Planning and Organization,Strategic Planning,Goal Formation,The ability to establish clear and achievable objectives
Cognitive Function,Executive Function,Planning and Organization,Strategic Planning,Sequential Planning,The ability to arrange steps in logical order to reach goals
Cognitive Function,Executive Function,Planning and Organization,Time Management,,The ability to organize and prioritize tasks within time constraints
Cognitive Function,Executive Function,Planning and Organization,Time Management,Task Prioritization,The ability to determine task importance and urgency
Cognitive Function,Executive Function,Planning and Organization,Time Management,Time Estimation,The ability to accurately estimate time needed for task completion
Cognitive Function,Learning,,,,"The capacity to acquire new knowledge, skills, and behaviors through experience and instruction"
Cognitive Function,Learning,Explicit Learning,,,"Conscious, intentional acquisition of knowledge and skills"
Cognitive Function,Learning,Explicit Learning,Declarative Learning,,Learning of facts and events that can be consciously recalled
Cognitive Function,Learning,Explicit Learning,Instructional Learning,,Learning through direct instruction and guided practice
Cognitive Function,Learning,Implicit Learning,,,Unconscious acquisition of knowledge and skills through experience
Cognitive Function,Learning,Implicit Learning,Skill Learning,,Unconscious learning of motor and cognitive skills through practice
Cognitive Function,Learning,Implicit Learning,Pattern Learning,,Unconscious learning of regularities and patterns in the environment
Cognitive Function,Processing Speed,,,,The efficiency and speed with which cognitive tasks are performed
Cognitive Function,Processing Speed,Mental Processing Speed,,,The speed of thinking and mental operations
Cognitive Function,Processing Speed,Mental Processing Speed,Decision Speed,,The speed of making choices between alternatives
Cognitive Function,Processing Speed,Mental Processing Speed,Information Processing Speed,,The speed of perceiving and understanding information
Cognitive Function,Processing Speed,Psychomotor Speed,,,The speed of physical responses to cognitive tasks
Cognitive Function,Processing Speed,Psychomotor Speed,Simple Motor Speed,,The speed of basic motor responses
Cognitive Function,Processing Speed,Psychomotor Speed,Complex Motor Speed,,The speed of coordinated motor responses requiring cognitive input
Cognitive Function,Reasoning,,,,"The ability to think logically, analyze information, and draw conclusions"
Cognitive Function,Reasoning,Abstract Reasoning,,,The ability to understand and analyze abstract concepts and patterns
Cognitive Function,Reasoning,Abstract Reasoning,Pattern Recognition,,The ability to identify and understand abstract patterns and relationships
Cognitive Function,Reasoning,Abstract Reasoning,Pattern Recognition,Visual Pattern Analysis,The ability to identify and understand visual patterns and sequences
Cognitive Function,Reasoning,Abstract Reasoning,Pattern Recognition,Abstract Rule Learning,The ability to identify and apply abstract rules and principles
Cognitive Function,Reasoning,Abstract Reasoning,Conceptual Reasoning,,The ability to work with abstract concepts and principles
Cognitive Function,Reasoning,Abstract Reasoning,Conceptual Reasoning,Category Formation,The ability to form and understand abstract categories
Cognitive Function,Reasoning,Abstract Reasoning,Conceptual Reasoning,Analogical Thinking,The ability to identify relationships between concepts and apply them to new situations
Cognitive Function,Reasoning,Verbal Reasoning,,,The ability to understand and reason with language-based information
Cognitive Function,Reasoning,Verbal Reasoning,Verbal Comprehension,,The ability to understand and analyze verbal information
Cognitive Function,Reasoning,Verbal Reasoning,Verbal Comprehension,Semantic Analysis,The ability to understand word meanings and relationships
Cognitive Function,Reasoning,Verbal Reasoning,Verbal Comprehension,Complex Language Understanding,The ability to comprehend complex verbal structures and arguments
Cognitive Function,Reasoning,Verbal Reasoning,Verbal Problem Solving,,The ability to solve problems presented in verbal format
Cognitive Function,Reasoning,Verbal Reasoning,Verbal Problem Solving,Verbal Logic,The ability to apply logical reasoning to verbal information
Cognitive Function,Reasoning,Verbal Reasoning,Verbal Problem Solving,Verbal Analysis,The ability to analyze and evaluate verbal arguments
Cognitive Function,Reasoning,Quantitative Reasoning,,,The ability to understand and work with numerical concepts and relationships
Cognitive Function,Reasoning,Quantitative Reasoning,Mathematical Problem Solving,,The ability to solve mathematical problems and equations
Cognitive Function,Reasoning,Quantitative Reasoning,Mathematical Problem Solving,Numerical Operations,The ability to perform basic mathematical calculations
Cognitive Function,Reasoning,Quantitative Reasoning,Mathematical Problem Solving,Mathematical Logic,The ability to apply logical reasoning to mathematical problems
Cognitive Function,Reasoning,Quantitative Reasoning,Numerical Analysis,,The ability to analyze and interpret numerical data and patterns
Cognitive Function,Reasoning,Quantitative Reasoning,Numerical Analysis,Statistical Reasoning,The ability to understand and interpret statistical information
Cognitive Function,Reasoning,Quantitative Reasoning,Numerical Analysis,Numerical Pattern Recognition,The ability to identify and understand numerical patterns and relationships
Emotion Regulation,,,,,"The ability to monitor, evaluate, and modify emotional reactions to accomplish goals. This includes recognizing emotions, understanding their impact, and implementing strategies to manage them effectively."
Emotion Regulation,Emotional Awareness,,,,"The ability to recognize and identify one's own emotional states and those of others, including the capacity to differentiate between different emotions."
Emotion Regulation,Emotional Awareness,Self Emotional Awareness,,,"The ability to identify and understand one's own emotional states, including physical sensations, thoughts, and triggers associated with different emotions."
Emotion Regulation,Emotional Awareness,Self Emotional Awareness,Emotional Identification,,The ability to accurately label and categorize one's emotional experiences.
Emotion Regulation,Emotional Awareness,Self Emotional Awareness,Emotional Identification,Primary Emotion Recognition,"The ability to identify basic emotions such as happiness, sadness, anger, fear, and surprise."
Emotion Regulation,Emotional Awareness,Self Emotional Awareness,Emotional Identification,Complex Emotion Recognition,The ability to identify and differentiate between more nuanced or mixed emotional states.
Emotion Regulation,Emotional Awareness,Self Emotional Awareness,Physical Sensation Recognition,,The ability to identify and connect physical sensations with specific emotional states.
Emotion Regulation,Emotional Awareness,Self Emotional Awareness,Physical Sensation Recognition,Autonomic Response Awareness,"The ability to recognize automatic bodily responses associated with emotions (e.g., heart rate, breathing)."
Emotion Regulation,Emotional Awareness,Self Emotional Awareness,Physical Sensation Recognition,Somatic Marker Recognition,The ability to identify specific bodily sensations that signal particular emotional states.
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,,,"The ability to recognize and understand others' emotional states through verbal and non-verbal cues, including facial expressions, body language, and tone of voice."
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Facial Expression Recognition,,The ability to accurately interpret emotional states from facial expressions.
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Facial Expression Recognition,Micro-Expression Detection,"The ability to identify subtle, brief facial movements that indicate emotions."
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Facial Expression Recognition,Expression Intensity Assessment,The ability to gauge the strength or intensity of emotions from facial expressions.
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Body Language Interpretation,,"The ability to understand emotional states through posture, gestures, and other body movements."
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Body Language Interpretation,Postural Analysis,The ability to interpret emotional states from body posture and stance.
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Body Language Interpretation,Dynamic Movement Recognition,The ability to interpret emotions from patterns of movement and gestural changes.
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Vocal Cue Recognition,,"The ability to identify emotional states through tone of voice, pitch, and other vocal characteristics."
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Vocal Cue Recognition,Prosodic Recognition,"The ability to identify emotions from speech rhythm, stress, and intonation patterns."
Emotion Regulation,Emotional Awareness,Social Emotional Awareness,Vocal Cue Recognition,Vocal Quality Analysis,"The ability to interpret emotions from voice characteristics such as pitch, volume, and timbre."
Emotion Regulation,Emotional Expression,,,,"The ability to outwardly express emotions in contextually appropriate ways, including both verbal and non-verbal expressions of emotion."
Emotion Regulation,Emotional Expression,Verbal Expression,,,"The ability to communicate emotions through spoken language, including labeling emotions and discussing emotional experiences."
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,,The range and precision of emotional language used to express feelings.
Emotion Regulation,Emotional Expression,Verbal Expression,Expression Clarity,,The ability to articulate emotional experiences clearly and effectively to others.
Emotion Regulation,Emotional Expression,Non-verbal Expression,,,"The ability to express emotions through facial expressions, body language, gestures, and other non-verbal means."
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Expressiveness,,The ability to convey emotions through appropriate facial expressions.
Emotion Regulation,Emotional Expression,Non-verbal Expression,Gestural Communication,,The ability to use body language and gestures to convey emotional states.
Emotion Regulation,Emotional Control,,,,"The ability to manage and modulate emotional responses, including the capacity to maintain composure under challenging circumstances."
Emotion Regulation,Emotional Control,Response Inhibition,,,The ability to suppress automatic motor responses
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,,The ability to resist immediate urges or impulses
Emotion Regulation,Emotional Control,Response Inhibition,Response Modulation,,The ability to suppress or moderate immediate emotional reactions when necessary.
Emotion Regulation,Emotional Control,Emotional Regulation Strategies,,,The ability to resist immediate emotional urges and reactions.
Emotion Regulation,Emotional Control,Emotional Regulation Strategies,Cognitive Reappraisal,,The ability to adjust the intensity of emotional responses to appropriate levels.
Emotion Regulation,Emotional Control,Emotional Regulation Strategies,Coping Strategy Implementation,,The ability to employ various techniques and strategies to manage emotional states effectively.
Emotion Regulation,Emotional Recovery,,,,The ability to reframe situations and experiences to modify emotional responses.
Emotion Regulation,Emotional Recovery,Recovery Speed,,,The ability to select and use appropriate strategies for managing different emotional states.
Emotion Regulation,Emotional Recovery,Recovery Speed,Initial De-escalation,,The ability to return to a baseline emotional state after experiencing intense emotions or emotional events.
Emotion Regulation,Emotional Recovery,Recovery Speed,Sustained Recovery,,The rate at which one can return to emotional baseline after experiencing emotional activation.
Emotion Regulation,Emotional Recovery,Recovery Completeness,,,The ability to begin reducing emotional intensity shortly after peak activation.
Emotion Regulation,Emotional Recovery,Recovery Completeness,Baseline Return,,The ability to maintain progress toward emotional baseline without regression.
Emotion Regulation,Emotional Recovery,Recovery Completeness,Residual Management,,The degree to which one can fully return to baseline emotional state without residual effects.
Emotion Regulation,Emotional Flexibility,,,,The ability to fully return to pre-activation emotional state.
Emotion Regulation,Emotional Flexibility,Emotional Adaptability,,,The ability to process and integrate remaining emotional effects after major activation.
Emotion Regulation,Emotional Flexibility,Emotional Adaptability,Contextual Adjustment,,"The ability to adapt emotional responses to changing situations and contexts, including the capacity to shift between different emotional states as appropriate."
Emotion Regulation,Emotional Flexibility,Emotional Adaptability,Response Modification,,The ability to modify emotional responses based on changing circumstances or new information.
Emotion Regulation,Emotional Flexibility,Emotional Transition,,,The ability to modify emotional responses based on social and environmental contexts.
Emotion Regulation,Emotional Flexibility,Emotional Transition,State Shifting,,The ability to adjust emotional responses when presented with new information or perspectives.
Emotion Regulation,Emotional Flexibility,Emotional Transition,Transition Smoothness,,The ability to shift between different emotional states smoothly and appropriately as situations change.
Social Interaction,,,,,The ability to move between different emotional states as circumstances require.
Social Interaction,Social Communication,,,,The ability to make gradual and appropriate transitions between emotional states.
Social Interaction,Social Communication,Verbal Social Communication,,,"The ability to engage with others, understand social cues, and navigate social relationships effectively"
Social Interaction,Social Communication,Verbal Social Communication,Speech Prosody,,The ability to express oneself and interact with others through verbal and non-verbal means in social contexts
Social Interaction,Social Communication,Verbal Social Communication,Speech Prosody,Pitch Modulation,"The use of spoken language and vocal elements in social interactions, including tone, volume, and timing"
Social Interaction,Social Communication,Verbal Social Communication,Speech Prosody,Speech Rhythm,"The ability to use and understand variations in pitch, rhythm, stress, and intonation in speech"
Social Interaction,Social Communication,Verbal Social Communication,Speech Prosody,Stress Patterns,The ability to control and interpret variations in vocal pitch during speech
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,,The ability to maintain and understand appropriate timing and pacing in speech
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Topic Relevance,The ability to use and comprehend emphasis on specific words or syllables in speech
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Content Organization,"The ability to maintain relevant, appropriate, and coherent content in verbal exchanges"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Context Appropriateness,The ability to contribute information that is pertinent to the current conversation
Social Interaction,Social Communication,Verbal Social Communication,Volume Modulation,,The ability to present ideas in a logical and coherent sequence
Social Interaction,Social Communication,Non-verbal Social Communication,,,The ability to adjust content based on the social context and audience
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expressiveness,,The ability to convey emotions through appropriate facial expressions.
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expressiveness,Eye Contact,The ability to adjust speaking volume appropriate to the social context and distance
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expressiveness,Facial Muscle Control,"The use of body language, facial expressions, gestures, and physical positioning in social interactions"
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expressiveness,Expression Timing,The ability to convey and regulate facial expressions appropriate to social situations
Social Interaction,Social Communication,Non-verbal Social Communication,Gesture Use,,The ability to maintain and regulate appropriate eye contact during social interactions
Social Interaction,Social Communication,Non-verbal Social Communication,Gesture Use,Descriptive Gestures,The ability to coordinate facial muscles to express intended emotions
Social Interaction,Social Communication,Non-verbal Social Communication,Gesture Use,Conventional Gestures,The ability to time facial expressions appropriately in social interactions
Social Interaction,Social Communication,Non-verbal Social Communication,Gesture Use,Interactive Gestures,The appropriate use and understanding of hand movements and gestures in communication
Social Interaction,Social Communication,Non-verbal Social Communication,Body Positioning,,The use of hand movements to illustrate or emphasize verbal content
Social Interaction,Social Communication,Reciprocal Communication,,,The use of culturally-specific hand signals and gestures
Social Interaction,Social Communication,Reciprocal Communication,Turn-taking,,The use of gestures to regulate turn-taking and interaction flow
Social Interaction,Social Communication,Reciprocal Communication,Topic Maintenance,,The ability to maintain appropriate physical distance and orientation during social interactions
Social Interaction,Social Communication,Reciprocal Communication,Responsive Listening,,The ability to engage in back-and-forth social exchanges and maintain appropriate conversational flow
Social Interaction,Social Cognition,,,,The ability to alternate between speaking and listening roles in conversation
Social Interaction,Social Cognition,Theory of Mind,,,The ability to stay on relevant topics and make appropriate topic transitions
Social Interaction,Social Cognition,Theory of Mind,Perspective Taking,,The ability to show active engagement and appropriate responses while listening
Social Interaction,Social Cognition,Theory of Mind,Mental State Attribution,,"The mental processes involved in perceiving, interpreting, and responding to social information and others' behaviors"
Social Interaction,Social Cognition,Theory of Mind,False Belief Understanding,,"The ability to understand and attribute mental states to others and recognize that others have beliefs, desires, and perspectives different from one's own"
Social Interaction,Social Cognition,Social Information Processing,,,The ability to consider and understand situations from others' points of view
Social Interaction,Social Cognition,Social Information Processing,Social Cue Detection,,"The ability to recognize and understand others' thoughts, beliefs, and intentions"
Social Interaction,Social Cognition,Social Information Processing,Social Problem Solving,,The ability to recognize that others can hold beliefs that are different from reality
Social Interaction,Social Cognition,Social Information Processing,Response Selection,,"The ability to perceive, interpret, and respond to social cues and situations appropriately"
Social Interaction,Social Cognition,Emotional Recognition,,,The ability to notice and identify relevant social signals in the environment
Social Interaction,Social Cognition,Emotional Recognition,Facial Emotion Recognition,,The ability to generate and evaluate solutions to social challenges
Social Interaction,Social Cognition,Emotional Recognition,Vocal Emotion Recognition,,The ability to choose appropriate behavioral responses in social situations
Social Interaction,Social Cognition,Emotional Recognition,Body Language Interpretation,,"The ability to understand emotional states through posture, gestures, and other body movements."
Social Interaction,Social Relationships,,,,"The ability to identify and understand emotions in others through facial expressions, vocal tones, and body language"
Social Interaction,Social Relationships,Peer Relationships,,,The ability to identify emotions from facial expressions
Social Interaction,Social Relationships,Peer Relationships,Friendship Formation,,The ability to identify emotions from voice tone and vocal characteristics
Social Interaction,Social Relationships,Peer Relationships,Group Integration,,The ability to recognize emotions from posture and body movements
Social Interaction,Social Relationships,Peer Relationships,Conflict Resolution,,"The ability to form, maintain, and navigate various types of interpersonal relationships"
Social Interaction,Social Relationships,Family Relationships,,,The ability to form and maintain relationships with same-age individuals
Social Interaction,Social Relationships,Family Relationships,Family Role Understanding,,The ability to initiate and develop friendships with peers
Social Interaction,Social Relationships,Family Relationships,Family Communication,,The ability to participate in and contribute to peer group activities
Social Interaction,Social Relationships,Family Relationships,Family Boundary Recognition,,The ability to manage and resolve disagreements with peers
Social Interaction,Social Relationships,Authority Relationships,,,The ability to maintain and navigate relationships with family members
Social Interaction,Social Relationships,Authority Relationships,Authority Recognition,,The ability to understand and fulfill one's role within the family system
Social Interaction,Social Relationships,Authority Relationships,Respectful Interaction,,The ability to communicate effectively with family members
Social Interaction,Social Relationships,Authority Relationships,Appropriate Help-Seeking,,The ability to understand and respect appropriate boundaries within family relationships
Social Interaction,Social Awareness,,,,The ability to interact appropriately with authority figures and understand hierarchical social structures
Social Interaction,Social Awareness,Social Norms Understanding,,,The ability to identify and understand different types of authority figures
Social Interaction,Social Awareness,Social Norms Understanding,Social Rule Recognition,,The ability to demonstrate appropriate respect and compliance with authority figures
Social Interaction,Social Awareness,Social Norms Understanding,Situational Appropriateness,,The ability to seek assistance from authority figures when needed
Social Interaction,Social Awareness,Social Norms Understanding,Social Consequence Understanding,,"The ability to understand and respond appropriately to social norms, contexts, and others' perspectives"
Social Interaction,Social Awareness,Cultural Awareness,,,The ability to recognize and follow social rules and expectations in different contexts
Social Interaction,Social Awareness,Cultural Awareness,Cultural Practice Recognition,,The ability to identify and understand explicit and implicit social rules
Social Interaction,Social Awareness,Cultural Awareness,Cultural Sensitivity,,The ability to adjust behavior according to social rules and expectations
Social Interaction,Social Awareness,Cultural Awareness,Cross-Cultural Communication,,The ability to understand the outcomes of following or breaking social rules
Social Interaction,Social Awareness,Social Context Recognition,,,The ability to understand and respect cultural differences in social interactions
Social Interaction,Social Awareness,Social Context Recognition,Setting Awareness,,The ability to identify and understand different cultural customs and practices
Social Interaction,Social Awareness,Social Context Recognition,Behavioral Adaptation,,The ability to show respect and appropriate behavior toward different cultural practices
Social Interaction,Social Awareness,Social Context Recognition,Social Role Recognition,,The ability to adjust communication style for cultural differences
Communication and Language,,,,,The ability to recognize and adapt behavior to different social situations and settings
Communication and Language,Receptive Language,,,,The ability to recognize different types of social settings and their requirements
Communication and Language,Receptive Language,Auditory Comprehension,,,The ability to modify behavior appropriately for different social contexts
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,,The ability to understand and adapt to different social roles in various contexts
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,"The ability to understand, express, and exchange information through verbal and non-verbal means, including the comprehension and use of language systems."
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Sound Blending,"The ability to understand and process spoken, written, or symbolic language, including comprehension of vocabulary, grammar, and complex linguistic concepts."
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Sound Discrimination,"The ability to understand and process spoken language, including following directions, understanding conversations, and processing verbal information."
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Understanding,,The ability to recognize and manipulate speech sounds in spoken language.
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Understanding,Word Order Understanding,The ability to identify and manipulate individual speech sounds (phonemes) in words.
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Understanding,Morphological Understanding,The ability to combine individual speech sounds to form words.
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Understanding,Complex Sentence Processing,The ability to distinguish between similar speech sounds in words.
Communication and Language,Receptive Language,Auditory Comprehension,Auditory Memory,,The ability to comprehend grammar rules and sentence structure in spoken language.
Communication and Language,Receptive Language,Auditory Comprehension,Auditory Memory,Immediate Recall,The ability to comprehend how word order affects meaning in sentences.
Communication and Language,Receptive Language,Auditory Comprehension,Auditory Memory,Sequential Memory,The ability to understand how word parts and inflections modify meaning.
Communication and Language,Receptive Language,Auditory Comprehension,Auditory Memory,Working Memory for Language,The ability to understand embedded and compound sentence structures.
Communication and Language,Receptive Language,Reading Comprehension,,,The ability to retain and recall spoken information for immediate processing and comprehension.
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,,The ability to remember and repeat verbal information immediately after hearing it.
Communication and Language,Receptive Language,Reading Comprehension,Text Analysis,,The ability to remember the order of verbal information presented.
Communication and Language,Receptive Language,Reading Comprehension,Reading Fluency,,The ability to temporarily store and manipulate verbal information while processing it.
Communication and Language,Receptive Language,Symbol Comprehension,,,"The ability to understand and extract meaning from written text, including literal and inferential comprehension of written materials."
Communication and Language,Expressive Language,,,,The ability to identify and understand written words accurately and efficiently.
Communication and Language,Expressive Language,Verbal Expression,,,"The ability to communicate emotions through spoken language, including labeling emotions and discussing emotional experiences."
Communication and Language,Expressive Language,Verbal Expression,Word Finding,,"The ability to understand relationships between ideas, identify main points, and draw conclusions from written text."
Communication and Language,Expressive Language,Verbal Expression,Word Finding,Semantic Access,"The ability to read text accurately, quickly, and with appropriate expression."
Communication and Language,Expressive Language,Verbal Expression,Word Finding,Lexical Selection,"The ability to understand and interpret symbols, signs, and alternative communication systems."
Communication and Language,Expressive Language,Verbal Expression,Word Finding,Word Retrieval Speed,"The ability to produce and use spoken, written, or symbolic language to communicate thoughts, needs, and ideas to others."
Communication and Language,Expressive Language,Verbal Expression,Sentence Formation,,"The ability to produce spoken language, including vocabulary use, sentence formation, and verbal fluency."
Communication and Language,Expressive Language,Verbal Expression,Sentence Formation,Syntactic Construction,The ability to retrieve and produce appropriate words efficiently during speech.
Communication and Language,Expressive Language,Verbal Expression,Sentence Formation,Verb Usage,The ability to quickly access word meanings and semantic networks.
Communication and Language,Expressive Language,Verbal Expression,Sentence Formation,Complex Sentence Production,The ability to choose the most appropriate word from multiple options.
Communication and Language,Expressive Language,Verbal Expression,Speech Fluency,,The speed and efficiency of accessing and producing known words.
Communication and Language,Expressive Language,Verbal Expression,Speech Fluency,Speech Rate Control,The ability to construct grammatically correct and meaningful sentences.
Communication and Language,Expressive Language,Verbal Expression,Speech Fluency,Prosodic Control,The ability to arrange words in correct grammatical order.
Communication and Language,Expressive Language,Verbal Expression,Speech Fluency,Fluidity Maintenance,The ability to use appropriate verb forms and tenses in speech.
Communication and Language,Expressive Language,Written Expression,,,The ability to form compound and complex sentences.
Communication and Language,Expressive Language,Written Expression,Spelling and Word Formation,,"The ability to produce smooth, flowing speech with appropriate rhythm and intonation."
Communication and Language,Expressive Language,Written Expression,Written Grammar,,The ability to maintain appropriate speed and timing in speech.
Communication and Language,Expressive Language,Written Expression,Composition Organization,,"The ability to use appropriate stress, rhythm, and intonation patterns."
Communication and Language,Expressive Language,Alternative Expression,,,The ability to maintain smooth speech flow without disruptions.
Communication and Language,Pragmatic Communication,,,,"The ability to communicate through written language, including spelling, grammar, and written composition."
Communication and Language,Pragmatic Communication,Social Context Understanding,,,The ability to spell words correctly and form written words appropriately.
Communication and Language,Pragmatic Communication,Social Context Understanding,Register Adaptation,,The ability to apply correct grammar rules in written communication.
Communication and Language,Pragmatic Communication,Social Context Understanding,Cultural Sensitivity,,The ability to adjust behavior according to social rules and expectations
Communication and Language,Pragmatic Communication,Social Context Understanding,Audience Awareness,,The ability to organize and structure written content coherently.
Communication and Language,Pragmatic Communication,Conversation Skills,,,"The ability to communicate using alternative methods, including sign language, augmentative communication devices, or other symbolic systems."
Communication and Language,Pragmatic Communication,Conversation Skills,Turn-Taking Management,,"The social aspects of communication, including the ability to use language appropriately in different contexts, understand social cues, and maintain effective communication interactions."
Communication and Language,Pragmatic Communication,Conversation Skills,Topic Maintenance,,The ability to maintain appropriate physical distance and orientation during social interactions
Communication and Language,Pragmatic Communication,Conversation Skills,Conversation Repair,,"The ability to understand and adapt communication based on social context, audience, and situational appropriateness."
Communication and Language,Pragmatic Communication,Social Inference,,,The ability to adjust communication style based on formal or informal contexts.
Communication and Language,Pragmatic Communication,Social Inference,Figurative Language,,The ability to understand and respect cultural norms in communication.
Communication and Language,Pragmatic Communication,Social Inference,Humor Comprehension,,The ability to modify communication based on the listener's needs and characteristics.
