level_1,level_2,level_3,level_4,level_5,level_6,description
Cognitive Function,Executive Function,Planning,,,The process of thinking about and organizing the activities required to achieve a desired goal.,
Cognitive Function,Executive Function,Planning,Strategic Planning,,Developing a structured approach to achieve long-term objectives.,
Cognitive Function,Executive Function,Planning,Strategic Planning,Resource Allocation,Distributing resources effectively for goal achievement.,
Cognitive Function,Executive Function,Planning,Tactical Planning,,Short-term planning focusing on immediate actions towards goals.,
Cognitive Function,Executive Function,Planning,Tactical Planning,Contingency Planning,Developing backup plans for unforeseen events.,
Cognitive Function,Executive Function,Working Memory,,,The cognitive system responsible for temporarily holding information available for processing.,
Cognitive Function,Executive Function,Working Memory,Verbal Working Memory,,The ability to temporarily hold and manipulate verbal and auditory information in working memory.,
Cognitive Function,Executive Function,Working Memory,Verbal Working Memory,Dual-Task Coordination,The ability to manage two verbal tasks concurrently.,
Cognitive Function,Executive Function,Working Memory,Visual-Spatial Working Memory,,The capacity to hold and manipulate visual and spatial information over short periods.,
Cognitive Function,Executive Function,Working Memory,Visual-Spatial Working Memory,Spatial Transformation,The ability to mentally transform spatial perceptions.,
Cognitive Function,Executive Function,Inhibitory Control,,,The ability to control impulsive responses and focus attention on relevant tasks.,
Cognitive Function,Executive Function,Inhibitory Control,Cognitive Inhibition,,The ability to tune out irrelevant or distracting information.,
Cognitive Function,Executive Function,Inhibitory Control,Behavioral Inhibition,,The suppression of prepotent or unwanted actions and behaviors.,
Cognitive Function,Attention,,,,The ability to focus selectively on specific information while ignoring other perceivable information. It includes processes like sustained attention and selective attention.,
Cognitive Function,Attention,Sustained Attention,,,The ability to maintain focus on a task or stimulus over an extended period of time.,
Cognitive Function,Attention,Sustained Attention,Continuous Performance,,Maintaining consistent responses during repetitive and boring tasks.,
Cognitive Function,Attention,Sustained Attention,Continuous Performance,Error Detection,Identification of errors in task performance.,
Cognitive Function,Attention,Selective Attention,,,"The capacity to focus on a specific topic, stimulus, or task while ignoring irrelevant information.",
Cognitive Function,Attention,Selective Attention,Focused Attention,,Actively concentrating on a single source of information while filtering out distractors.,
Cognitive Function,Attention,Selective Attention,Focused Attention,Distractor Suppression,The ability to ignore or suppress irrelevant stimuli.,
Cognitive Function,Perception,,,,"Processes that involve the recognition and interpretation of sensory stimuli. It includes visual, auditory, and tactile perception.",
Cognitive Function,Perception,Visual Perception,,,The ability to interpret and make sense of visual stimuli from the environment.,
Cognitive Function,Perception,Visual Perception,Depth Perception,,The visual ability to perceive the world in three dimensions and judge the distance of an object.,
Cognitive Function,Perception,Visual Perception,Color Perception,,The capability to distinguish and identify different colors.,
Emotion Regulation,,,,,"The ability to monitor, evaluate, and modulate emotions in response to environmental stimuli, ensuring that emotional responses are socially appropriate and adjusted to situations.",
Emotion Regulation,Emotional Awareness,,,,The ability to recognize and understand one's own emotions and the emotions of others.,
Emotion Regulation,Emotional Awareness,Self-awareness of Emotions,,,The ability to identify and understand one's own emotions.,
Emotion Regulation,Emotional Awareness,Self-awareness of Emotions,Emotional Vocabulary,,The ability to articulate one's emotions accurately using a specific emotional vocabulary.,
Emotion Regulation,Emotional Awareness,Self-awareness of Emotions,Emotional Vocabulary,Emotion Classification,The skill to categorize one's emotions into specific groups or types for better understanding and communication.,
Emotion Regulation,Emotional Awareness,Self-awareness of Emotions,Emotional Vocabulary,Emotion Intensity Identification,The ability to ascertain and evaluate the intensity of one's emotional experiences.,
Emotion Regulation,Emotional Awareness,Empathy,,,The ability to recognize and understand the emotions of others.,
Emotion Regulation,Emotional Awareness,Empathy,Affective Empathy,,The ability to respond with appropriate emotions to another's mental states.,
Emotion Regulation,Emotional Awareness,Empathy,Affective Empathy,Emotional Mirroring,The tendency to instinctively reflect the emotions observed in others.,
Emotion Regulation,Emotional Awareness,Empathy,Affective Empathy,Emotional Sympathy,The capacity to share feelings of sorrow or distress in response to another's suffering.,
Emotion Regulation,Emotional Awareness,Empathy,Cognitive Empathy,,The capacity to understand another's perspective or mental state.,
Emotion Regulation,Emotional Awareness,Empathy,Cognitive Empathy,Theory of Mind,"The ability to attribute mental states—beliefs, intents, desires, emotions—to oneself and others.",
Emotion Regulation,Emotional Awareness,Empathy,Cognitive Empathy,Perspective Memory,The ability to remember and consider others' perspectives in social interactions.,
Emotion Regulation,Emotional Expression,,,,The ability to effectively express feelings in both verbal and non-verbal forms.,
Emotion Regulation,Emotional Expression,Verbal Expression,,,The ability to communicate emotions effectively through words.,
Emotion Regulation,Emotional Expression,Verbal Expression,Expressive Language Skills,,The proficiency in using language to express emotions clearly and appropriately.,
Emotion Regulation,Emotional Expression,Verbal Expression,Expressive Language Skills,Emotionally Rich Vocabulary,The use of diverse and precise words to convey emotional experiences.,
Emotion Regulation,Emotional Expression,Verbal Expression,Expressive Language Skills,Contextual Language Use,The ability to adapt language style and emotional content to the social and situational context.,
Emotion Regulation,Emotional Expression,Non-verbal Expression,,,"The ability to communicate emotions effectively through non-verbal cues such as facial expressions, body language, etc.",
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Expressivity,,The capacity to convey emotions through facial movements and expressions.,
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Expressivity,Dynamic Facial Behavior,The ability to use facial expressions in a flexible and socially adaptive manner.,
Emotion Regulation,Emotional Expression,Non-verbal Expression,Gestural Communication,,The use of body gestures to express emotions and feelings.,
Emotion Regulation,Emotional Expression,Non-verbal Expression,Gestural Communication,Proxemics,The use of space and distance in communication to express emotional states.,
Emotion Regulation,Emotional Control,,,,"The ability to regulate and modulate intense emotions, preventing extreme reactions.",
Emotion Regulation,Emotional Control,Emotional Inhibition,,,The ability to consciously suppress or regulate emotional responses.,
Emotion Regulation,Emotional Control,Emotional Inhibition,Suppression Techniques,,The methods used to consciously control emotional responses.,
Emotion Regulation,Emotional Control,Emotional Inhibition,Suppression Techniques,Cognitive Distraction,The technique of diverting attention away from emotionally triggering stimuli.,
Emotion Regulation,Emotional Control,Emotional Recovery,,,The ability to bounce back from emotional disturbances and restore emotional balance.,
Emotion Regulation,Emotional Control,Emotional Recovery,Emotional Resilience Training,,The strategies developed to enhance recovery from emotional setbacks.,
Emotion Regulation,Emotional Control,Emotional Recovery,Emotional Resilience Training,Mindfulness Practices,The applications of mindfulness to reinforce emotional recovery and resilience.,
Emotion Regulation,Emotional Flexibility,,,,The capacity to adapt emotional responses to accommodate changing circumstances or information.,
Emotion Regulation,Emotional Flexibility,Emotional Adaptation,,,The ability to adjust emotional responses based on new information or changes in the environment.,
Emotion Regulation,Emotional Flexibility,Emotional Adaptation,Situational Judgement,,The capacity to assess situations accurately and modify emotional responses accordingly.,
Emotion Regulation,Emotional Flexibility,Emotional Adaptation,Situational Judgement,Contextual Awareness,The ability to understand and interpret the nuances of different environmental and social contexts.,
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,,,The ability to change one's emotional response by re-evaluating a situation.,
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,,The ability to consider different viewpoints to adjust emotional reactions.,
Emotion Regulation,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,Narrative Reframing,The technique of altering one's perception of events to change emotional responses.,
Emotion Regulation,Stress Tolerance,,,,The ability to manage stress levels and remain emotionally balanced under pressure.,
Emotion Regulation,Stress Tolerance,Resilience,,,The capacity to recover quickly from difficulties and maintain emotional balance.,
Emotion Regulation,Stress Tolerance,Resilience,Adversity Response,,The ability to effectively manage responses to adversity and challenging situations.,
Emotion Regulation,Stress Tolerance,Resilience,Adversity Response,Stress Hardiness,The tendency to cope effectively with stress and thrive despite adversity.,
Emotion Regulation,Stress Tolerance,Coping Strategies,,,The methods used to manage stress and emotional discomfort.,
Emotion Regulation,Stress Tolerance,Coping Strategies,Problem-focused Coping,,The strategies centered on resolving the issues causing stress.,
Emotion Regulation,Stress Tolerance,Coping Strategies,Problem-focused Coping,Solution-oriented Thinking,The practice of identifying productive solutions to alleviate stressors.,
Emotion Regulation,Impulse Control,,,,The ability to resist or delay emotional responses or reactions that are not appropriate.,
Emotion Regulation,Impulse Control,Delayed Gratification,,,The ability to wait patiently to satisfy emotional or immediate needs.,
Emotion Regulation,Impulse Control,Delayed Gratification,Impulse Delay Techniques,,The methods used to extend the delay before acting on impulsive emotions.,
Emotion Regulation,Impulse Control,Delayed Gratification,Impulse Delay Techniques,Self-reinforcement,The use of self-praise and reward for delaying gratification.,
Emotion Regulation,Impulse Control,Response Inhibition,,,The ability to inhibit inappropriate or unwanted reactions or behaviors.,
Emotion Regulation,Impulse Control,Response Inhibition,Behavioral Inhibition,,The suppression of prepotent or unwanted actions and behaviors.,
Emotion Regulation,Impulse Control,Response Inhibition,Behavioral Inhibition,Cognitive Suppression,The ability to suppress actions that are socially inappropriate or harmful.,
Social Interaction,,,,,The mental process of consciously inhibiting cognitive responses to negative stimuli.,
Social Interaction,Understanding Social Cues,,,,"The domain of Social Interaction encompasses how individuals interact with others, including understanding and responding to social cues, developing and maintaining relationships, and navigating social contexts.",
Social Interaction,Understanding Social Cues,Facial Expressions,,,"This involves the ability to interpret and comprehend social signals, such as facial expressions, body language, and tone of voice.",
Social Interaction,Understanding Social Cues,Facial Expressions,Microexpressions,,Interpreting emotions and intentions through facial movements and expressions.,
Social Interaction,Understanding Social Cues,Facial Expressions,Cultural Variations in Facial Expressions,,"Brief, involuntary facial expressions that reveal true emotions.",
Social Interaction,Understanding Social Cues,Body Language,,,Understanding how facial expressions may differ across cultures.,
Social Interaction,Understanding Social Cues,Body Language,Gestures,,"Understanding gestures, posture, and physical movements in social interactions.",
Social Interaction,Understanding Social Cues,Body Language,Personal Space and Proxemics,,Interpreting meaning through hand and arm movements.,
Social Interaction,Understanding Social Cues,Tone of Voice,,,Understanding the use of physical space in communication.,
Social Interaction,Understanding Social Cues,Tone of Voice,Prosody,,Interpreting the emotional and situational context through vocal tone and pitch.,
Social Interaction,Understanding Social Cues,Tone of Voice,Paralanguage,,"Changes in pitch, loudness, tempo, and rhythm in speech that convey meaning.",
Social Interaction,Developing Relationships,,,,Non-verbal elements of communication used to modify meaning and convey emotion.,
Social Interaction,Developing Relationships,Trust Building,,,"This involves forming connections with others, including the ability to establish, maintain, and enhance personal relationships.",
Social Interaction,Developing Relationships,Trust Building,Reliability,,Establishing and maintaining trust within relationships.,
Social Interaction,Developing Relationships,Trust Building,Transparency,,Being dependable and consistent in actions and promises.,
Social Interaction,Developing Relationships,Communication Skills,,,Openness and honesty in sharing information and intentions.,
Social Interaction,Developing Relationships,Communication Skills,Active Listening,,Effective exchange of information and emotions in personal relationships.,
Social Interaction,Developing Relationships,Communication Skills,Nonverbal Communication,,"Fully concentrating, understanding, and responding during communication.",
Social Interaction,Developing Relationships,Conflict Resolution,,,"Conveying messages through body language, facial expressions, and other physical behaviors.",
Social Interaction,Developing Relationships,Conflict Resolution,Mediation Skills,,Navigating and resolving disagreements within relationships.,
Social Interaction,Developing Relationships,Conflict Resolution,Problem-Solving,,Facilitating negotiations and solutions between disputing parties.,
Social Interaction,Navigating Social Contexts,,,,Identifying and implementing solutions to conflicts or issues.,
Social Interaction,Navigating Social Contexts,Adapting to Social Norms,,,"This involves effectively managing social interactions across different settings, including adapting to social norms and expectations.",
Social Interaction,Navigating Social Contexts,Adapting to Social Norms,Cultural Adaptability,,Understanding and adopting behaviors in accordance with social expectations.,
Social Interaction,Navigating Social Contexts,Adapting to Social Norms,Etiquette and Manners,,The ability to adjust behaviors and communication styles in multicultural settings.,
Social Interaction,Navigating Social Contexts,Contextual Awareness,,,The ability to understand and interpret the nuances of different environmental and social contexts.,
Social Interaction,Navigating Social Contexts,Contextual Awareness,Situational Judgement,,The capacity to assess situations accurately and modify emotional responses accordingly.,
Social Interaction,Navigating Social Contexts,Contextual Awareness,Role Expectations,,Understanding and practicing social conduct and norms.,
Social Interaction,Empathy,,,,The ability to recognize and understand the emotions of others.,
Social Interaction,Empathy,Affective Empathy,,,The ability to respond with appropriate emotions to another's mental states.,
Social Interaction,Empathy,Affective Empathy,Emotional Contagion,,Recognizing and responding appropriately to different social environments and situations.,
Social Interaction,Empathy,Affective Empathy,Sympathetic Concern,,The ability to assess and respond to social situations appropriately.,
Social Interaction,Empathy,Cognitive Empathy,,,The capacity to understand another's perspective or mental state.,
Social Interaction,Empathy,Cognitive Empathy,Perspective-Taking,,Understanding expected behavior in different social roles and contexts.,
Social Interaction,Empathy,Cognitive Empathy,Theory of Mind,,"The ability to attribute mental states—beliefs, intents, desires, emotions—to oneself and others.",
Social Interaction,Cooperation and Negotiation,,,,"The ability to understand and share the feelings of another person, leading to appropriate emotional responses.",
Social Interaction,Cooperation and Negotiation,Teamwork,,,Sharing and responding to others' emotions on an emotional level.,
Social Interaction,Cooperation and Negotiation,Teamwork,Roles and Responsibilities,,The tendency to catch and feel emotions that are similar to and influenced by those of others.,
Social Interaction,Cooperation and Negotiation,Teamwork,Collaboration Skills,,Feeling compassion or concern for others' well-being.,
Social Interaction,Cooperation and Negotiation,Compromise,,,Understanding another person's perspective and emotions intellectually.,
Social Interaction,Cooperation and Negotiation,Compromise,Negotiation Tactics,,The ability to see a situation from another person's point of view.,
Social Interaction,Cooperation and Negotiation,Compromise,Win-Win Solutions,,"Recognizing and understanding others' mental states, beliefs, and desires.",
Social Interaction,Social Influence,,,,This involves working together with others to achieve common goals and finding mutually beneficial solutions to conflicts.,
Social Interaction,Social Influence,Persuasion Techniques,,,Collaborating with others to achieve shared objectives.,
Social Interaction,Social Influence,Persuasion Techniques,Appealing to Emotion,,Understanding specific roles and duties within a team.,
Social Interaction,Social Influence,Persuasion Techniques,Logical Argumentation,,Skills necessary for working effectively with others.,
Social Interaction,Social Influence,Leadership,,,Finding acceptable solutions by accommodating differing perspectives.,
Social Interaction,Social Influence,Leadership,Inspirational Leadership,,Strategies used to reach mutual agreement.,
Social Interaction,Social Influence,Leadership,Strategic Leadership,,Creating agreements that satisfy all parties involved.,
Social Interaction,Social Influence,Peer Pressure,,,"This involves the capacity to affect the behaviors, thoughts, or feelings of others through various forms of social power and persuasion.",
Social Interaction,Social Influence,Peer Pressure,Group Dynamics,,Methods of influencing others' beliefs and actions.,
Social Interaction,Social Influence,Peer Pressure,Conformity,,Using emotional triggers to influence beliefs and behaviors.,
Social Interaction,Understanding Social Cues,,,,"The domain of Social Interaction encompasses how individuals interact with others, including understanding and responding to social cues, developing and maintaining relationships, and navigating social contexts.",
Social Interaction,Understanding Social Cues,Emotional Literacy,,,Convincing others using logic and reason.,
Social Interaction,Understanding Social Cues,Emotional Literacy,Emotion Recognition,,Guiding and motivating a group towards goals.,
Social Interaction,Understanding Social Cues,Emotional Literacy,Emotional Vocabulary,,The ability to articulate one's emotions accurately using a specific emotional vocabulary.,
Social Interaction,Understanding Social Cues,Cultural Sensitivity,,,Motivating others through vision and inspiration.,
Social Interaction,Understanding Social Cues,Cultural Sensitivity,Cross-Cultural Communication,,Planning and executing strategies to lead effectively.,
Social Interaction,Understanding Social Cues,Cultural Sensitivity,Cultural Empathy,,Impact of group influence on individual actions and decisions.,
Social Interaction,Understanding Social Cues,,,,"The domain of Social Interaction encompasses how individuals interact with others, including understanding and responding to social cues, developing and maintaining relationships, and navigating social contexts.",
Social Interaction,Understanding Social Cues,Facial Expressions,,,"This involves the ability to interpret and comprehend social signals, such as facial expressions, body language, and tone of voice.",
Social Interaction,Understanding Social Cues,Body Language,,,Understanding how facial expressions may differ across cultures.,
Social Interaction,Understanding Social Cues,Tone of Voice,,,Understanding the use of physical space in communication.,
Communication and Language,,,,,Influences of group interactions on individual behavior.,
Communication and Language,Verbal Communication,,,,Aligning beliefs and behaviors with group norms.,
Communication and Language,Verbal Communication,Speech Fluency,,,This involves the ability to interpret and comprehend social signals.,
Communication and Language,Verbal Communication,Speech Fluency,Pacing,,Understanding and identifying emotions in oneself and others.,
Communication and Language,Verbal Communication,Speech Fluency,Fillers and Hesitations,,Ability to correctly identify emotions from social cues.,
Communication and Language,Verbal Communication,Vocabulary Usage,,,Range and understanding of words used to describe emotions.,
Communication and Language,Verbal Communication,Vocabulary Usage,Word Retrieval,,Awareness and respect for cultural differences in social cues.,
Communication and Language,Verbal Communication,Vocabulary Usage,Semantic Flexibility,,Effective interaction with individuals from different cultures.,
Communication and Language,Verbal Communication,Articulation,,,The capacity to understand and respect different cultural perspectives.,
Communication and Language,Verbal Communication,Articulation,Phonemic Precision,,"Interpreting social signals such as facial expressions, body language, and tone of voice.",
Communication and Language,Verbal Communication,Articulation,Dysarthria Characteristics,,Reading emotional and intellectual cues from facial expressions.,
Communication and Language,Non-Verbal Communication,,,,Decoding communication through body posture and gestures.,
Communication and Language,Non-Verbal Communication,Body Language,,,Understanding how facial expressions may differ across cultures.,
Communication and Language,Non-Verbal Communication,Body Language,Gesture Usage,,Understanding context from vocal nuances.,
Communication and Language,Non-Verbal Communication,Body Language,Postural Feedback,,"This dimension encompasses the skills and abilities related to verbal and non-verbal communication, including the use and understanding of language.",
Communication and Language,Non-Verbal Communication,Facial Expressions,,,"This involves the ability to interpret and comprehend social signals, such as facial expressions, body language, and tone of voice.",
Communication and Language,Non-Verbal Communication,Facial Expressions,Micro-Expressions,,Skills related to the use and understanding of spoken language.,
Communication and Language,Non-Verbal Communication,Facial Expressions,Emotional Display Rules,,"The smoothness or flow with which sounds, syllables, words, and phrases are joined together when speaking.",
Communication and Language,Non-Verbal Communication,Eye Contact,,,The speed and rhythm at which speech is delivered.,
Communication and Language,Non-Verbal Communication,Eye Contact,Gaze Patterns,,The use of unnecessary words or pauses that interrupt the flow of speech.,
Communication and Language,Non-Verbal Communication,Eye Contact,Visual Attention,,"The selection and use of words in speech, including the breadth and depth of word knowledge.",
Communication and Language,Receptive Language,,,,The ability to recall and produce words quickly and efficiently.,
Communication and Language,Receptive Language,Listening Comprehension,,,The ability to adapt and use different words in various contexts and meanings.,
Communication and Language,Receptive Language,Listening Comprehension,Processing Speed,,The clarity and precision of speech sounds and spoken language.,
Communication and Language,Receptive Language,Listening Comprehension,Inferential Comprehension,,The accuracy of producing individual sounds within words.,
Communication and Language,Receptive Language,Reading Comprehension,,,Features associated with motor speech disorder affecting articulation.,
Communication and Language,Receptive Language,Reading Comprehension,Decoding Skills,,"Abilities related to conveying and interpreting messages without the use of words, such as through gestures and facial expressions.",
Communication and Language,Receptive Language,Reading Comprehension,Text Integration,,"The use of physical behavior, gestures, and posture to communicate non-verbally.",
Communication and Language,Receptive Language,Reading Comprehension,Text Integration,Cohesion and Coherence,The intentional use of hand and body movements to communicate or emphasize messages.,
Communication and Language,Receptive Language,Reading Comprehension,Text Integration,Critical Reading,The interpretation of body posture in determining message tone and intent.,
Communication and Language,Expressive Language,,,,The use of facial movements to communicate emotions and reactions without words.,
Communication and Language,Expressive Language,Speech Production,,,"Brief, involuntary facial expressions revealing true emotions.",
Communication and Language,Expressive Language,Speech Production,Grammar Use,,Cultural norms dictating how and when emotions are expressed through the face.,
Communication and Language,Expressive Language,Speech Production,Narrative Skills,,The degree to which one makes or avoids visual contact with others as a means of communication.,
Communication and Language,Expressive Language,Speech Production,Narrative Skills,Story Coherence,The frequency and duration of eye contact during interactions.,
Communication and Language,Expressive Language,Speech Production,Narrative Skills,Expressive Detail,The ability to maintain eye focus in social and communication contexts.,
Communication and Language,Expressive Language,Written Expression,,,The ability to understand and process the language that one hears or reads.,
Communication and Language,Expressive Language,Written Expression,Spelling Accuracy,,The ability to understand and make sense of spoken language.,
Communication and Language,Expressive Language,Written Expression,Written Organization,,The rate at which an individual can accurately process spoken words and sentences.,
Communication and Language,Expressive Language,Written Expression,Written Organization,Sentence Structuring,The ability to understand implicit meanings and make inferences from spoken language.,
Communication and Language,Expressive Language,Written Expression,Written Organization,Paragraph Development,The ability to process and understand written language.,
Communication and Language,Pragmatic Language,,,,The ability to apply knowledge of letter-sound relationships to correctly pronounce written words.,
Communication and Language,Pragmatic Language,Conversational Skills,,,The skill of connecting ideas and information from different parts of a text to form a coherent understanding.,
Communication and Language,Pragmatic Language,Conversational Skills,Topic Maintenance,,"The logical flow and connection within a text, aiding understanding.",
Communication and Language,Pragmatic Language,Conversational Skills,Turn-Taking,,The ability to analyze and evaluate the content and arguments within a text.,
Communication and Language,Pragmatic Language,Conversational Skills,Turn-Taking,Interruption Control,"The capacity to convey thoughts, emotions, and ideas through speech or writing.",
Communication and Language,Pragmatic Language,Conversational Skills,Turn-Taking,Active Listening,Effective exchange of information and emotions in personal relationships.,
Communication and Language,Pragmatic Language,Understanding Sarcasm and Humor,,,The ability to generate spoken language with appropriate grammar and syntax.,
Communication and Language,Pragmatic Language,Understanding Sarcasm and Humor,Contextual Interpretation,,The ability to apply rules of syntax and structure in spoken communication.,
Communication and Language,Pragmatic Language,Understanding Sarcasm and Humor,Emotional Recognition,,The skill involved in arranging events and details in a coherent and engaging manner.,
Communication and Language,Pragmatic Language,Understanding Sarcasm and Humor,Emotional Recognition,Emotion Contextualization,The logical sequence and connection of events in oral storytelling.,
Communication and Language,Pragmatic Language,Understanding Sarcasm and Humor,Emotional Recognition,Irony Detection,The inclusion of descriptive language and details to enhance storytelling.,
Communication and Language,Prosody in Language,,,,The ability to convey ideas and information clearly through writing.,
Communication and Language,Prosody in Language,Intonation Patterns,,,The correctness of spelling when writing.,
Communication and Language,Prosody in Language,Intonation Patterns,Pitch Variation,,The ability to logically and clearly organize written information.,
Communication and Language,Prosody in Language,Intonation Patterns,Stress and Emphasis,,The formation of complete and grammatically correct sentences in writing.,
Communication and Language,Prosody in Language,Rhythmic Flow,,,The ability to develop focused and coherent paragraphs.,
Communication and Language,Prosody in Language,Rhythmic Flow,Tempo Control,,"The use of language in social contexts, understanding and following social rules of communication.",
Communication and Language,Prosody in Language,Rhythmic Flow,Pause Placement,,"The ability to take turns, maintain topic, and appropriately initiate and end conversations.",
Communication and Language,Language Processing Speed,,,,The skill of keeping a conversation focused and relevant to the topic of discussion.,
Communication and Language,Language Processing Speed,Auditory Processing,,,The ability to appropriately alternate between speaking and listening roles in conversation.,
Communication and Language,Language Processing Speed,Auditory Processing,Phonological Discrimination,,The skill to manage and minimize interruptions during conversations.,
Communication and Language,Language Processing Speed,Auditory Processing,Prosodic Sensitivity,,The practice of fully concentrating and understanding other's speech during conversation.,
Communication and Language,Language Processing Speed,Visual Processing in Reading,,,The skill of interpreting subtle or non-literal language in social communication.,
Communication and Language,Language Processing Speed,Visual Processing in Reading,Orthographic Recognition,,The ability to understand the context and nuances in communication to grasp sarcasm and humor.,
Communication and Language,Language Processing Speed,Visual Processing in Reading,Visual Scanning,,The skill of identifying emotions that align with verbal irony and humor.,
Behavioral Control,,,,,Understanding emotions based on the surrounding context of communication.,
Behavioral Control,Self-Discipline,,,,The ability to detect incongruities between literal and intended meaning in communication.,
Behavioral Control,Self-Discipline,Goal Persistence,,,"The rhythm, stress, and intonation of speech which contribute to meaning and emotion in communication.",
Behavioral Control,Self-Discipline,Goal Persistence,Task Initiation,,"The variation in pitch while speaking, crucial for conveying questions, statements, emotions, and emphasis.",
Behavioral Control,Self-Discipline,Goal Persistence,Sustained Attention,,The ability to maintain focus on a task or stimulus over an extended period of time.,
Behavioral Control,Self-Discipline,Goal Persistence,Sustained Attention,Concentration,Changes in pitch to signal difference in meaning or emotional tone.,
Behavioral Control,Self-Discipline,Goal Persistence,Sustained Attention,Concentration,Focus Duration,"Use of loudness, duration, and pitch to emphasize important words or syllables in speech."
Behavioral Control,Self-Discipline,Goal Persistence,Sustained Attention,Concentration,Selective Attention,"The capacity to focus on a specific topic, stimulus, or task while ignoring irrelevant information."
Behavioral Control,Self-Discipline,Rule Adherence,,,Timing and pace in speech that enhance fluency and coherence.,
Behavioral Control,Self-Discipline,Rule Adherence,Conformity to Social Norms,,Adjustment of speech speed for effective communication.,
Behavioral Control,Self-Discipline,Rule Adherence,Compliance with Authority,,Strategic use of pauses for emphasis or to aid listener comprehension.,
Behavioral Control,Impulse Control,,,,The ability to resist or delay emotional responses or reactions that are not appropriate.,
Behavioral Control,Impulse Control,Response Inhibition,,,The ability to inhibit inappropriate or unwanted reactions or behaviors.,
Behavioral Control,Impulse Control,Response Inhibition,Motor Inhibition,,"The efficiency with which the brain processes spoken or written language input, essential for understanding and responding in real time.",
Behavioral Control,Impulse Control,Response Inhibition,Verbal Inhibition,,The ability to interpret and make sense of the sounds of spoken language.,
Behavioral Control,Cognitive Flexibility,,,,The ability to recognize and differentiate between speech sounds.,
Behavioral Control,Cognitive Flexibility,Adaptability,,,"The ability to detect stress patterns, intonation, and rhythm of speech.",
Behavioral Control,Cognitive Flexibility,Set Shifting,,,The ability to quickly recognize and interpret written symbols and patterns.,
Physical Health and Activity,,,,,The ability to recognize written words and letter patterns.,
Physical Health and Activity,Physical Fitness,,,,The skill of efficiently moving the eyes across text to gather information.,
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,,,"Behavioral control refers to the ability to regulate one's actions, emotions, and thoughts in pursuit of long-term goals. It involves self-discipline, impulse control, and the ability to delay gratification.",
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,Aerobic Capacity,,The ability to control one's feelings and overcome one's weaknesses; the ability to pursue what one thinks is right despite temptations to abandon it.,
Physical Health and Activity,Physical Fitness,Muscular Strength,,,The capability to stay focused and continue pursuing a goal despite obstacles or challenges.,
Physical Health and Activity,Physical Fitness,Muscular Endurance,,,The ability to begin tasks without undue procrastination.,
Physical Health and Activity,Physical Fitness,Flexibility,,,The ability to maintain attention to a task or situation over a period of time.,
Physical Health and Activity,Physical Fitness,Body Composition,,,The ability to focus intently on a task without distractions.,
Attention and Perception,,,,,The length of time one can maintain attention on a single task without losing focus.,
Attention and Perception,Sustained Attention,,,,The ability to maintain focus on a task or stimulus over an extended period of time.,
Attention and Perception,Sustained Attention,Vigilance,,,The capacity to focus on specific stimuli while excluding others from consciousness.,
