level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,description
Cognitive Function,Memory,Short-Term Memory,Auditory Short-Term Memory,Immediate Recall,Echoic Persistence,,,,,,Continued perception of a sound that’s briefly stored after stimulus offset.
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,,,,,,,,The ability to remember visual information for a short period.
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,Snapshot Memory,,,,,,,The ability to hold a 'snapshot' of visual information for brief periods.
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,Snapshot Memory,Fade Rate,,,,,,The duration visual information persists in short-term memory before it fades.
Cognitive Function,Attention,,,,,,,,,,Attention is the behavioral and cognitive process of selectively concentrating on a discrete aspect of information while ignoring other perceivable information.
Cognitive Function,Attention,Divided Attention,,,,,,,,,Divided attention is the ability to process two or more responses or react to two or more different demands simultaneously.
Cognitive Function,Attention,Divided Attention,Multitasking,,,,,,,,"Performing multiple tasks at the same time, requiring simultaneous focus on various tasks."
Cognitive Function,Attention,Divided Attention,Multitasking,Parallel Processing,,,,,,,Ability to process multiple streams of information at once.
Cognitive Function,Attention,Divided Attention,Switching Attention,,,,,,,,Shifting focus between tasks swiftly without losing track.
Cognitive Function,Attention,Divided Attention,Switching Attention,Switch Cost,,,,,,,Cognitive load associated with shifting focus between tasks.
Cognitive Function,Problem Solving,,,,,,,,,,Problem solving consists of using generic or ad hoc methods in an orderly manner to find solutions to problems.
Cognitive Function,Problem Solving,Creative Problem Solving,,,,,,,,,Creative problem solving encompasses generating new and novel ideas to solve problems.
Cognitive Function,Problem Solving,Creative Problem Solving,Lateral Thinking,,,,,,,,Solving problems through an indirect and creative approach.
Cognitive Function,Problem Solving,Creative Problem Solving,Lateral Thinking,Random Entry,,,,,,,Using a random starting point to introduce new ideas and perspectives.
Cognitive Function,Problem Solving,Creative Problem Solving,Innovation,,,,,,,,Generating new ideas and concepts for problem resolution.
Cognitive Function,Problem Solving,Creative Problem Solving,Innovation,Conceptual Blending,,,,,,,Combining different concepts to form new ideas or solutions.
Cognitive Function,Language Processing,,,,,,,,,,"Language processing refers to the way humans use words to communicate ideas and feelings, and how such communications are processed and understood."
Cognitive Function,Language Processing,Expressive Language,,,,,,,,,Expressive language involves the ability to convey or express information verbally or in writing.
Cognitive Function,Language Processing,Expressive Language,Verbal Expression,,,,,,,,The ability to communicate through spoken language effectively.
Cognitive Function,Language Processing,Expressive Language,Verbal Expression,Speech Clarity,,,,,,,The extent to which spoken language is understandable.
Cognitive Function,Language Processing,Expressive Language,Written Expression,,,,,,,,The ability to convey ideas effectively through writing.
Cognitive Function,Language Processing,Expressive Language,Written Expression,Syntax Organization,,,,,,,The arrangement of words and phrases to create well-formed sentences.
Cognitive Function,Reasoning and Logic,,,,,,,,,,Reasoning and logic involve the capacity to process information in a structured manner to reach conclusions or solve problems.
Cognitive Function,Reasoning and Logic,Inductive Reasoning,,,,,,,,,Inductive reasoning is the process of making generalized conclusions from specific observations.
Cognitive Function,Reasoning and Logic,Inductive Reasoning,Pattern Recognition,,,,,,,,Identifying patterns in given data or information to form generalizations.
Cognitive Function,Reasoning and Logic,Inductive Reasoning,Pattern Recognition,Anomaly Detection,,,,,,,Identifying deviations from expected patterns or norms.
Emotion Regulation,,,,,,,,,,,"The ability to modulate and control one's emotional state, maintaining emotional balance and responding appropriately to external stimuli."
Emotion Regulation,Emotional Awareness,,,,,,,,,,Understanding and recognizing one's own emotions as well as the emotions of others.
Emotion Regulation,Emotional Awareness,Self-awareness,,,,,,,,,Recognizing one's own emotions and their effects.
Emotion Regulation,Emotional Awareness,Self-awareness,Emotional Insight,,,,,,,,The ability to understand the underlying causes and implications of one's emotions.
Emotion Regulation,Emotional Awareness,Self-awareness,Emotional Insight,Insight Accessibility,,,,,,,The ability to easily access emotional insights across different contexts and emotional states.
Emotion Regulation,Emotional Awareness,Self-awareness,Emotional Insight,Insight Accessibility,Insight Utilization,,,,,,How effectively one uses accessed emotional insights to navigate emotional situations.
Emotion Regulation,Emotional Awareness,Self-awareness,Emotional Insight,Insight Accessibility,Insight Utilization,Situational Insight Application,,,,,"Applying emotional insights to specific, real-world situations effectively and appropriately."
Emotion Regulation,Emotional Awareness,Self-awareness,Emotional Insight,Insight Accessibility,Insight Utilization,Situational Insight Application,Contextual Insight Effectiveness,,,,Determining effectiveness in applying insights to varied contexts and situations.
Emotion Regulation,Emotional Awareness,Self-awareness,Emotional Insight,Insight Accessibility,Insight Utilization,Situational Insight Application,Contextual Insight Effectiveness,Personalized Insight Strategy,,,Developing and applying personalized strategies for insight application to enhance emotional understanding in individual contexts.
Emotion Regulation,Emotional Awareness,Self-awareness,Emotional Insight,Insight Accessibility,Insight Utilization,Situational Insight Application,Contextual Insight Effectiveness,Personalized Insight Strategy,Adaptive Insight Implementation,,Continuously refining and adapting insight strategies based on developing emotional contexts and individual experiences.
Emotion Regulation,Emotional Vocabulary,,,,,,,,,,The capacity to accurately label and articulate one's emotional experiences.
Emotion Regulation,Emotional Vocabulary,Language Complexity,,,,,,,,,The range and depth of emotional terms and phrases utilized to express emotions.
Emotion Regulation,Emotional Vocabulary,Language Complexity,Expressive Precision,,,,,,,,The accuracy and specificity with which one uses language to convey emotional experiences.
Emotion Regulation,Emotional Vocabulary,Language Complexity,Expressive Precision,Articulation Clarity,,,,,,,"The clarity with which emotional experiences are verbalized, enhancing understanding and empathy."
Emotion Regulation,Emotional Vocabulary,Language Complexity,Expressive Precision,Articulation Clarity,Expressive Adaptability,,,,,,Adapting expressive language to suit varying emotional contexts and audiences.
Emotion Regulation,Emotional Vocabulary,Language Complexity,Expressive Precision,Articulation Clarity,Expressive Adaptability,Audience-specific Adaptation,,,,,"Tailoring language and expression to suit particular audiences, enhancing emotional clarity and connection."
Emotion Regulation,Emotional Vocabulary,Language Complexity,Expressive Precision,Articulation Clarity,Expressive Adaptability,Audience-specific Adaptation,Interactive Language Adjustment,,,,Fine-tuning emotional expression according to real-time feedback from audiences to maintain effective communication.
Emotion Regulation,Other-awareness,,,,,,,,,,Recognizing the emotions of others and understanding their perspective.
Emotion Regulation,Other-awareness,Empathy,,,,,,,,,The ability to understand and share the feelings of others.
Emotion Regulation,Other-awareness,Empathy,Affective Empathy,,,,,,,,The capacity to respond with an appropriate emotion to another's mental states.
Emotion Regulation,Other-awareness,Empathy,Affective Empathy,Emotional Concordance,,,,,,,Alignment of one's emotional state with that of another person.
Emotion Regulation,Other-awareness,Empathy,Affective Empathy,Emotional Concordance,Concordance Regulation,,,,,,Adjusting one's emotional responses to maintain or achieve alignment with others' emotions.
Emotion Regulation,Other-awareness,Empathy,Affective Empathy,Emotional Concordance,Concordance Regulation,Emotional Synchronization,,,,,"Synchronizing emotional responses with others in real-time, enhancing empathetic interaction."
Emotion Regulation,Other-awareness,Empathy,Affective Empathy,Emotional Concordance,Concordance Regulation,Emotional Synchronization,Instantaneous Synchronization Abilities,,,,The ability to instantly adapt and synchronize emotions in fast-changing interactive environments.
Emotion Regulation,Other-awareness,Empathy,Affective Empathy,Emotional Concordance,Concordance Regulation,Emotional Synchronization,Instantaneous Synchronization Abilities,Real-time Adjustment Strategies,,,Developing strategies for rapid adjustments in emotional synchronization during dynamic interactions.
Emotion Regulation,Other-awareness,Empathy,Affective Empathy,Emotional Concordance,Concordance Regulation,Emotional Synchronization,Instantaneous Synchronization Abilities,Real-time Adjustment Strategies,Adaptive Synchronization Tactics,,Employing adaptive tactics to maintain emotional harmony in varied real-time social interactions.
Emotion Regulation,Other-awareness,Cognitive Empathy,,,,,,,,,The ability to understand another's perspective or mental state without necessarily sharing their emotion.
Emotion Regulation,Other-awareness,Cognitive Empathy,Perspective Anchoring,,,,,,,,The extent to which one relates others' perspectives to personal emotions.
Emotion Regulation,Other-awareness,Cognitive Empathy,Perspective Anchoring,Anchoring Adaptability,,,,,,,Adjusting one’s cognitive frame to better relate to others’ emotional perspectives.
Emotion Regulation,Other-awareness,Cognitive Empathy,Perspective Anchoring,Anchoring Adaptability,Frame Flexibility,,,,,,Flexibly shifting cognitive perspectives to enhance understanding of varying emotional states.
Emotion Regulation,Other-awareness,Cognitive Empathy,Perspective Anchoring,Anchoring Adaptability,Frame Flexibility,Cognitive Flexibility in Empathy,,,,,Rapidly switching between different cognitive perspectives to enhance empathic accuracy.
Emotion Regulation,Other-awareness,Cognitive Empathy,Perspective Anchoring,Anchoring Adaptability,Frame Flexibility,Cognitive Flexibility in Empathy,Empathic Perspective Blending,,,,Blending different empathic perspectives to form a composite view that enhances understanding and connection.
Emotion Regulation,Other-awareness,Cognitive Empathy,Perspective Anchoring,Anchoring Adaptability,Frame Flexibility,Cognitive Flexibility in Empathy,Empathic Perspective Blending,Perspective Integration Proficiency,,,Refining the ability to integrate diverse emotional perspectives seamlessly in empathic scenarios.
Emotion Regulation,Other-awareness,Social Sensitivity,,,,,,,,,The capacity to perceive and interpret social cues indicative of others' emotional states.
Emotion Regulation,Other-awareness,Social Sensitivity,Nonverbal Communication,,,,,,,,"Understanding emotions expressed through body language, gestures, and facial expressions."
Emotion Regulation,Other-awareness,Social Sensitivity,Nonverbal Communication,Micro-expressions Recognition,,,,,,,The ability to detect brief and involuntary facial expressions that reveal genuine emotions.
Emotion Regulation,Other-awareness,Social Sensitivity,Nonverbal Communication,Micro-expressions Recognition,Recognition Speed,,,,,,The rapidity with which one identifies and interprets micro-expressions.
Emotion Regulation,Other-awareness,Social Sensitivity,Nonverbal Communication,Micro-expressions Recognition,Recognition Speed,Reactive Interpretation,,,,,The ability to quickly and accurately interpret micro-expressions during dynamic social interactions.
Emotion Regulation,Other-awareness,Social Sensitivity,Nonverbal Communication,Micro-expressions Recognition,Recognition Speed,Reactive Interpretation,Precision of Nonverbal Cues Interpretation,,,,Accuracy in interpreting nonverbal signals to deduce emotional states amidst complex interactions.
Emotion Regulation,Other-awareness,Social Sensitivity,Nonverbal Communication,Micro-expressions Recognition,Recognition Speed,Reactive Interpretation,Precision of Nonverbal Cues Interpretation,Multi-cue Integration Techniques,,,Developing techniques for integrating multiple nonverbal cues to enhance the understanding of emotional states.
Emotion Regulation,Other-awareness,Social Sensitivity,Nonverbal Communication,Micro-expressions Recognition,Recognition Speed,Reactive Interpretation,Precision of Nonverbal Cues Interpretation,Multi-cue Integration Techniques,Cue Synchronization Methods,,Methodologies for aligning multiple cues cohesively to facilitate accurate emotional understanding.
Emotion Regulation,Other-awareness,Impulse Control,,,,,,,,,The ability to resist or delay the urge to act on intense emotions.
Emotion Regulation,Other-awareness,Impulse Control,Delay of Gratification,,,,,,,,The capacity to wait for a more desirable outcome rather than seeking immediate satisfaction.
Emotion Regulation,Other-awareness,Impulse Control,Delay of Gratification,Temporal Discounting,,,,,,,The tendency to devalue rewards and benefits that are delayed in time.
Emotion Regulation,Other-awareness,Impulse Control,Delay of Gratification,Temporal Discounting,Delay Span,,,,,,The duration one is willing to wait for a higher reward without significant reduction in perceived reward value.
Emotion Regulation,Other-awareness,Impulse Control,Delay of Gratification,Temporal Discounting,Delay Span,Delay Adjustment,,,,,Modifying one's delay tolerance based on changing reward parameters or situations.
Emotion Regulation,Other-awareness,Impulse Control,Delay of Gratification,Temporal Discounting,Delay Span,Delay Adjustment,Tolerance Calibration,,,,"Calibrating one’s delay tolerance according to the anticipated value of outcomes, balancing patience and reward."
Emotion Regulation,Other-awareness,Impulse Control,Delay of Gratification,Temporal Discounting,Delay Span,Delay Adjustment,Tolerance Calibration,Reward Sensitivity Calibration,,,Adjusting sensitivity to rewards based on timing and situational factors to optimize gratification strategies.
Emotion Regulation,Other-awareness,Impulse Control,Delay of Gratification,Temporal Discounting,Delay Span,Delay Adjustment,Tolerance Calibration,Reward Sensitivity Calibration,Strategic Reward Planning,,Developing and implementing strategies to efficiently plan rewards and evaluate gratification thresholds.
Emotion Regulation,Other-awareness,Impulse Control,Delay of Gratification,Temporal Discounting,Delay Span,Delay Adjustment,Tolerance Calibration,Reward Sensitivity Calibration,Strategic Reward Planning,Adaptive Reward Strategy Formulation,Continuously developing adaptable strategies to balance gratification timing with reward importance.
Emotion Regulation,Other-awareness,Impulse Control,Response Inhibition,,,,,,,,Suppressing impulses that are inappropriate or unproductive.
Emotion Regulation,Other-awareness,Impulse Control,Response Inhibition,Motor Inhibition,,,,,,,The ability to control physical actions in response to emotional or environmental stimuli.
Emotion Regulation,Other-awareness,Impulse Control,Response Inhibition,Motor Inhibition,Controlled Motion,,,,,,The skill of maintaining intentional physical actions even in emotionally charged situations.
Emotion Regulation,Other-awareness,Impulse Control,Response Inhibition,Motor Inhibition,Controlled Motion,Motion Modulation,,,,,Adjusting the intensity and type of physical response based on the emotional context.
Emotion Regulation,Other-awareness,Impulse Control,Response Inhibition,Motor Inhibition,Controlled Motion,Motion Modulation,Physical Restraint Precision,,,,The precision with which physical responses are modulated to suit emotional and situational needs.
Emotion Regulation,Other-awareness,Impulse Control,Response Inhibition,Motor Inhibition,Controlled Motion,Motion Modulation,Physical Restraint Precision,Inhibition Response Accuracy,,,Accuracy in inhibiting or adjusting motor responses in varied emotional contexts.
Emotion Regulation,Other-awareness,Impulse Control,Response Inhibition,Motor Inhibition,Controlled Motion,Motion Modulation,Physical Restraint Precision,Inhibition Response Accuracy,Motor Adjustment Strategy,,Developing strategies to effectively adjust motor responses based on emotional and environmental cues.
Emotion Regulation,Other-awareness,Impulse Control,Response Inhibition,Motor Inhibition,Controlled Motion,Motion Modulation,Physical Restraint Precision,Inhibition Response Accuracy,Motor Adjustment Strategy,Motor Precision Techniques,Refining techniques to enhance the accuracy of motor inhibition in complex emotional scenarios.
Emotion Regulation,Other-awareness,Emotional Flexibility,,,,,,,,,The capacity to adapt one's emotional responses to different situations or changes in the environment.
Emotion Regulation,Other-awareness,Emotional Flexibility,Contextual Adaptation,,,,,,,,Changing emotional responses based on different situations or social contexts.
Emotion Regulation,Other-awareness,Emotional Flexibility,Contextual Adaptation,Situational Awareness,,,,,,,The ability to accurately assess and respond to the demands of social and emotional contexts.
Emotion Regulation,Other-awareness,Emotional Flexibility,Contextual Adaptation,Situational Awareness,Predictive Adaptation,,,,,,Anticipating and adjusting emotional responses based on expected situational changes.
Emotion Regulation,Other-awareness,Emotional Flexibility,Contextual Adaptation,Situational Awareness,Predictive Adaptation,Adaptation Calibration,,,,,Fine-tuning emotional adjustments to align with specific situational changes.
Emotion Regulation,Other-awareness,Emotional Flexibility,Contextual Adaptation,Situational Awareness,Predictive Adaptation,Adaptation Calibration,Response Precision,,,,The precision with which emotional calibrations are carried out based on situational demands.
Emotion Regulation,Other-awareness,Emotional Flexibility,Contextual Adaptation,Situational Awareness,Predictive Adaptation,Adaptation Calibration,Response Precision,Situation-Specific Calibration Techniques,,,Utilizing specific techniques to tailor emotional calibrations to unique situational demands.
Emotion Regulation,Other-awareness,Emotional Flexibility,Contextual Adaptation,Situational Awareness,Predictive Adaptation,Adaptation Calibration,Response Precision,Situation-Specific Calibration Techniques,Dynamic Response Shaping,,Refining emotional responses to actively fit evolving situational landscapes.
Emotion Regulation,Other-awareness,Emotional Flexibility,Contextual Adaptation,Situational Awareness,Predictive Adaptation,Adaptation Calibration,Response Precision,Situation-Specific Calibration Techniques,Dynamic Response Shaping,Real-time Emotional Shaping,Developing skills for real-time adjustment of emotional responses to changing environments.
Emotion Regulation,Other-awareness,Emotional Flexibility,Cognitive Reappraisal,,,,,,,,Reevaluating and changing one's perspective on a situation to alter its emotional impact.
Emotion Regulation,Other-awareness,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,,,,,,,The ability to consider a situation from alternative viewpoints to modulate emotional response.
Emotion Regulation,Other-awareness,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,Empathic Shift,,,,,,Shifting emotional responses by understanding others' perspectives more deeply.
Emotion Regulation,Other-awareness,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,Empathic Shift,Shift Integration,,,,,Integrating multiple perspectives to produce a cohesive emotional response.
Emotion Regulation,Other-awareness,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,Empathic Shift,Shift Integration,Multi-perspective Synthesis,,,,Synthesis of diverse perspectives to form a balanced emotional understanding and reaction.
Emotion Regulation,Other-awareness,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,Empathic Shift,Shift Integration,Multi-perspective Synthesis,Perspective Synthesis Techniques,,,Utilizing techniques to enhance the integration of multiple perspectives for optimal emotional responses.
Emotion Regulation,Other-awareness,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,Empathic Shift,Shift Integration,Multi-perspective Synthesis,Perspective Synthesis Techniques,Empathic Balance Development,,Developing strategies to maintain emotional and empathic balance while integrating diverse perspectives.
Emotion Regulation,Other-awareness,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,Empathic Shift,Shift Integration,Multi-perspective Synthesis,Perspective Synthesis Techniques,Empathic Balance Development,Balanced Perspective Dynamics,Refining dynamics to uphold a balanced emotional response amid diverse perspective integration.
Emotion Regulation,Other-awareness,Emotional Intelligence,,,,,,,,,"The ability to perceive, evaluate, and manage emotions in oneself and others."
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Perception,,,,,,,,The ability to accurately perceive emotions in oneself and others.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Perception,Facial Expression Recognition,,,,,,,The skill of identifying emotions through facial cues.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Perception,Facial Expression Recognition,Emotional Salience Detection,,,,,,Recognizing the most pronounced emotional cues among multiple facial signals.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Perception,Facial Expression Recognition,Emotional Salience Detection,Salience Prioritization,,,,,Determining which emotional signals should be prioritized for response.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Perception,Facial Expression Recognition,Emotional Salience Detection,Salience Prioritization,Priority Accuracy,,,,Ensuring the accuracy of prioritization decisions to effectively respond to emotional cues.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Perception,Facial Expression Recognition,Emotional Salience Detection,Salience Prioritization,Priority Accuracy,Response Stratification Techniques,,,Developing strategies for prioritizing and responding to emotional cues efficiently.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Perception,Facial Expression Recognition,Emotional Salience Detection,Salience Prioritization,Priority Accuracy,Response Stratification Techniques,Emotional Response Optimization,,Optimizing emotional responses by fine-tuning prioritization strategies for salient cues.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Perception,Facial Expression Recognition,Emotional Salience Detection,Salience Prioritization,Priority Accuracy,Response Stratification Techniques,Emotional Response Optimization,Adaptive Prioritization Efficiency,Continuously enhancing prioritization strategies to maximize effective emotional response.
Emotion Regulation,Other-awareness,Emotional Intelligence,Vocal Tone Interpretation,,,,,,,,Understanding emotions through variations in vocal expressions.
Emotion Regulation,Other-awareness,Emotional Intelligence,Vocal Tone Interpretation,Prosodic Sensitivity,,,,,,,The ability to detect emotional nuances in speech prosody.
Emotion Regulation,Other-awareness,Emotional Intelligence,Vocal Tone Interpretation,Prosodic Sensitivity,Prosody Calibration,,,,,,Adjusting emotional interpretations based on varying vocal tones.
Emotion Regulation,Other-awareness,Emotional Intelligence,Vocal Tone Interpretation,Prosodic Sensitivity,Prosody Calibration,Tone Adjustment Precision,,,,,The precision with which vocal tone adjustments are interpreted to understand emotions.
Emotion Regulation,Other-awareness,Emotional Intelligence,Vocal Tone Interpretation,Prosodic Sensitivity,Prosody Calibration,Tone Adjustment Precision,Vocal Emotion Stratification Techniques,,,,Utilizing specific strategies to effectively interpret complex emotional tones in vocal expressions.
Emotion Regulation,Other-awareness,Emotional Intelligence,Vocal Tone Interpretation,Prosodic Sensitivity,Prosody Calibration,Tone Adjustment Precision,Vocal Emotion Stratification Techniques,Prosodic Emotional Mapping,,,Mapping emotional interpretations to corresponding vocal prosodic patterns for enhanced understanding.
Emotion Regulation,Other-awareness,Emotional Intelligence,Vocal Tone Interpretation,Prosodic Sensitivity,Prosody Calibration,Tone Adjustment Precision,Vocal Emotion Stratification Techniques,Prosodic Emotional Mapping,Nuanced Prosodic Analysis,,Advanced analysis of vocal nuances to improve accuracy in emotional mapping.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Management,,,,,,,,The ability to regulate emotions in oneself and in interpersonal relationships.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Management,Self-regulation Strategies,,,,,,,Methods employed to control one's emotional state.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Management,Self-regulation Strategies,Emotional Resilience Development,,,,,,Building capacity to recover quickly from emotional disturbances.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Management,Self-regulation Strategies,Emotional Resilience Development,Resilience Techniques,,,,,Specific practices or methods to enhance emotional recovery capacity.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Management,Self-regulation Strategies,Emotional Resilience Development,Resilience Techniques,Technique Efficacy,,,,The effectiveness of resilience techniques in restoring emotional balance.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Management,Self-regulation Strategies,Emotional Resilience Development,Resilience Techniques,Technique Efficacy,Technique Customization Strategies,,,Tailoring resilience techniques to individual needs for optimizing emotional recovery.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Management,Self-regulation Strategies,Emotional Resilience Development,Resilience Techniques,Technique Efficacy,Technique Customization Strategies,Personalized Resilience Plans,,Designing personal resilience plans to effectively manage and recover from emotional challenges.
Emotion Regulation,Other-awareness,Emotional Intelligence,Emotion Management,Self-regulation Strategies,Emotional Resilience Development,Resilience Techniques,Technique Efficacy,Technique Customization Strategies,Personalized Resilience Plans,Resilience Strategy Refinement,Continuous refinement and adaptation of resilience strategies to meet evolving personal challenges.
Social Interaction,,,,,,,,,,,"The ability to engage and interact with others in a social context, which includes both verbal and non-verbal communication, understanding and responding to social cues, empathy, and the formation and maintenance of social relationships."
Social Interaction,Verbal Communication,,,,,,,,,,The use of words and language in social interactions to express ideas and emotions.
Social Interaction,Verbal Communication,Conversational Skills,,,,,,,,,"The ability to effectively engage in dialogue, including turn-taking and topic maintenance."
Social Interaction,Verbal Communication,Conversational Skills,Active Listening,,,,,,,,"The skill of being fully engaged and present in a conversation, including showing understanding and responding appropriately."
Social Interaction,Verbal Communication,Conversational Skills,Active Listening,Focus during Listening,,,,,,,Maintain concentration and minimize distractions to fully comprehend the speaker's message.
Social Interaction,Verbal Communication,Conversational Skills,Active Listening,Feedback Mechanisms,,,,,,,"Using verbal or non-verbal signals to show engagement and comprehension, like nodding or asking clarifying questions."
Social Interaction,Verbal Communication,Conversational Skills,Dialogic Turn-taking,,,,,,,,Managing the dynamics of when to speak and when to listen in conversations.
Social Interaction,Verbal Communication,Conversational Skills,Dialogic Turn-taking,Turn Initiation,,,,,,,The skill of knowing when and how to start speaking in a conversation.
Social Interaction,Verbal Communication,Conversational Skills,Dialogic Turn-taking,Turn Yielding,,,,,,,Recognizing cues to relinquish the speaking turn.
Social Interaction,Verbal Communication,Expressive Language,,,,,,,,,Expressive language involves the ability to convey or express information verbally or in writing.
Social Interaction,Verbal Communication,Expressive Language,Fluency in Expression,,,,,,,,The capacity to articulate thoughts and emotions clearly and correctly during interactions.
Social Interaction,Verbal Communication,Expressive Language,Fluency in Expression,Speech Rhythm,,,,,,,The ability to articulate thoughts smoothly and with ease.
Social Interaction,Verbal Communication,Expressive Language,Fluency in Expression,Word Retrieval,,,,,,,Control of timing and flow in verbal expression.
Social Interaction,Verbal Communication,Expressive Language,Appropriateness of Expression,,,,,,,,The ability to access and use the correct words or phrases efficiently during conversation.
Social Interaction,Verbal Communication,Expressive Language,Appropriateness of Expression,Contextual Adaptability,,,,,,,Selecting language suitable for the social context and audience.
Social Interaction,Verbal Communication,Expressive Language,Appropriateness of Expression,Sensitivity to Tone,,,,,,,Adjusting language and style based on the social setting and audience.
Social Interaction,Non-Verbal Communication,,,,,,,,,,Using and comprehending appropriate tone according to the communication context.
Social Interaction,Non-Verbal Communication,Body Language Interpretation,,,,,,,,,"The use of body language, facial expressions, and gestures to communicate and understand social cues."
Social Interaction,Non-Verbal Communication,Body Language Interpretation,Gesture Interpretation,,,,,,,,Understanding and interpreting body movements as social cues.
Social Interaction,Non-Verbal Communication,Body Language Interpretation,Gesture Interpretation,Micro-Gesture Recognition,,,,,,,Deciphering meaning from hand and arm movements.
Social Interaction,Non-Verbal Communication,Body Language Interpretation,Gesture Interpretation,Gesture Intensity Perception,,,,,,,Identifying subtle hand movements that convey meaning or emotions.
Social Interaction,Non-Verbal Communication,Body Language Interpretation,Posture Interpretation,,,,,,,,Assessing the strength or emphasis of gestures used in communication.
Social Interaction,Non-Verbal Communication,Body Language Interpretation,Posture Interpretation,Static Posture Analysis,,,,,,,Understanding the implications of body posture in conveying emotions or attitudes.
Social Interaction,Non-Verbal Communication,Body Language Interpretation,Posture Interpretation,Dynamic Posture Analysis,,,,,,,Interpreting the meaning communicated through fixed body positions.
Social Interaction,Non-Verbal Communication,Facial Expression Recognition,,,,,,,,,The skill of identifying emotions through facial cues.
Social Interaction,Non-Verbal Communication,Facial Expression Recognition,Emotion Identification,,,,,,,,Understanding the significance of changing positions or movements in context.
Social Interaction,Non-Verbal Communication,Facial Expression Recognition,Emotion Identification,Basic Emotion Recognition,,,,,,,Recognizing and interpreting facial expressions as indicators of emotions and intentions.
