level_0,level_1,level_2,level_3,level_4,description
Thought Disorder,Hallucinations,Auditory Hallucinations,Non-Vocal Sounds,,"Hearing noises without a source, such as footsteps."
Thought Disorder,Hallucinations,Visual Hallucinations,,,Seeing images or lights that are not actually present.
Thought Disorder,Hallucinations,Visual Hallucinations,Simple Visual Hallucinations,,Seeing basic shapes or flashes of light.
Thought Disorder,Hallucinations,Visual Hallucinations,Complex Visual Hallucinations,,"Seeing detailed images of people, animals, or scenes."
Detachment,,,,,Detachment dimensions reflect disengagement from emotional or social connections.
Detachment,Emotional Withdrawal,,,,A dimension reflecting the avoidance or disinterest in emotional connections or interactions.
Detachment,Emotional Withdrawal,Social Withdrawal,,,Avoidance and disengagement from social interactions or environment.
Detachment,Emotional Withdrawal,Social Withdrawal,Self-isolation,,Deliberate exclusion of oneself from social situations.
Detachment,Emotional Withdrawal,Emotional Numbness,,,"An inability to feel emotions, often as a protective response to trauma or stress."
Detachment,Emotional Withdrawal,Emotional Numbness,Trauma-induced Numbness,,Emotional blunting following trauma.
Detachment,Emotional Withdrawal,Emotional Numbness,Stress-induced Numbness,,Reduced emotional responsiveness due to prolonged stress.
Detachment,Apathy,,,,"A dimension involving a lack of interest, enthusiasm, or concern."
Detachment,Apathy,Selective Apathy,,,Lack of concern for specific areas of life while remaining engaged in others.
Detachment,Apathy,Selective Apathy,Professional Apathy,,Lack of interest in work-related activities.
Detachment,Apathy,Selective Apathy,Social Apathy,,Disinterest in social engagements despite capability.
Detachment,Apathy,Global Apathy,,,Widespread lack of interest across most or all aspects of life.
Detachment,Apathy,Global Apathy,Chronic Apathy,,Persistent and enduring apathy over time.
Detachment,Apathy,Global Apathy,Acute Apathy,,Sudden but usually short-lived periods of indifference.
Somatoform,,,,,Somatoform dimensions involve the manifestation of psychological distress through physical symptoms.
Somatoform,Somatization,,,,A dimension where psychological distress is expressed through physical symptoms.
Somatoform,Somatization,Functional Neurological Symptom Disorder,,,"Involves physical symptoms affecting voluntary motor or sensory function, resembling a neurological disorder."
Somatoform,Somatization,Functional Neurological Symptom Disorder,Seizures and Convulsions,,Non-epileptic seizures with psychological triggers.
Somatoform,Somatization,Pain Disorder,,,Experiencing chronic pain with psychological factors playing a role in the onset or maintenance of the pain.
Somatoform,Somatization,Pain Disorder,Psychogenic Pain,,Pain predominantly influenced by psychological factors.
Somatoform,Somatization,Pain Disorder,Chronic Pain Syndrome,,Persistent pain with significant psychological impact.
Somatoform,Conversion Symptoms,,,,A dimension characterized by a change in or loss of physical functioning that is not explained by any medical condition.
Somatoform,Conversion Symptoms,Motor Symptoms,,,"Includes symptoms such as paralysis, tremors, gait abnormalities or muscle weakness not explained medically."
Somatoform,Conversion Symptoms,Motor Symptoms,Paralysis,,Loss of ability to move muscles not due to neurological damage.
Somatoform,Conversion Symptoms,Sensory Symptoms,,,"Include loss or alteration of senses like vision, speech, or smell without a medical cause."
Somatoform,Conversion Symptoms,Sensory Symptoms,Blindness,,Loss of vision without organic impairment.
Somatoform,Conversion Symptoms,Sensory Symptoms,Aphonia,,Loss of voice without laryngeal pathology.
