level_1,level_2,level_3,level_4,level_5,level_6,level_7,description
Cognitive Function,Executive Function,Cognitive Flexibility,,,,,The ability to adapt thinking and behavior in response to changing situations and demands
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,,,,The ability to shift attention between different tasks or mental sets
Cognitive Function,Executive Function,Cognitive Flexibility,Set Shifting,,,,The ability to change behavioral responses based on new rules or contingencies
Cognitive Function,Executive Function,Inhibitory Control,,,,,The ability to suppress inappropriate responses and resist interference from irrelevant information
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,,,,The ability to suppress automatic or prepotent responses
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,Motor Inhibition,,,The ability to suppress or stop planned physical actions
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,Cognitive Inhibition,,,The ability to suppress irrelevant thoughts or mental processes
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,,,,The ability to filter out irrelevant information and maintain focus on relevant information
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,Distractor Resistance,,,The ability to maintain focus despite external distractions
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,Proactive Interference Control,,,The ability to resist interference from previously learned information
Cognitive Function,Executive Function,Planning and Organization,,,,,"The ability to develop strategies, sequence actions, and organize information to achieve goals"
Cognitive Function,Executive Function,Planning and Organization,Strategic Planning,,,,The ability to identify and organize the steps needed to complete a task
Cognitive Function,Executive Function,Planning and Organization,Strategic Planning,Goal Setting,,,The ability to establish clear and achievable objectives
Cognitive Function,Executive Function,Planning and Organization,Strategic Planning,Action Sequencing,,,The ability to arrange steps in a logical and efficient order
Cognitive Function,Executive Function,Planning and Organization,Time Management,,,,"The ability to estimate time, allocate time appropriately, and meet deadlines"
Cognitive Function,Executive Function,Planning and Organization,Time Management,Time Estimation,,,The ability to accurately judge the duration of tasks and activities
Cognitive Function,Executive Function,Planning and Organization,Time Management,Time Allocation,,,The ability to distribute time effectively across multiple tasks
Cognitive Function,Processing Speed,,,,,,The efficiency and speed with which cognitive tasks are performed and information is processed
Cognitive Function,Processing Speed,Visual Processing Speed,,,,,The rate at which visual information is processed and responded to
Cognitive Function,Processing Speed,Auditory Processing Speed,,,,,The rate at which auditory information is processed and responded to
Cognitive Function,Learning,,,,,,"The capacity to acquire new knowledge, skills, and behaviors through experience and instruction"
Cognitive Function,Learning,Associative Learning,,,,,The ability to learn relationships between events or stimuli
Cognitive Function,Learning,Associative Learning,Classical Conditioning,,,,Learning through the association of stimuli with automatic responses
Cognitive Function,Learning,Associative Learning,Operant Conditioning,,,,Learning through the consequences of behavior
Cognitive Function,Learning,Procedural Learning,,,,,The acquisition of skills and procedures through practice
Cognitive Function,Learning,Procedural Learning,Motor Skill Learning,,,,The acquisition of physical movement patterns and coordination
Cognitive Function,Learning,Procedural Learning,Cognitive Skill Learning,,,,The acquisition of mental procedures and routines
Cognitive Function,Learning,Conceptual Learning,,,,,The ability to understand and acquire abstract concepts and principles
Cognitive Function,Learning,Conceptual Learning,Rule Learning,,,,The ability to identify and apply general rules and principles
Cognitive Function,Learning,Conceptual Learning,Category Learning,,,,The ability to form and understand conceptual categories
Cognitive Function,Reasoning,,,,,,"The ability to think logically, analyze information, and draw conclusions based on available evidence"
Cognitive Function,Reasoning,Verbal Reasoning,,,,,The ability to analyze and solve problems presented in verbal or written form
Cognitive Function,Reasoning,Verbal Reasoning,Analogical Reasoning,,,,The ability to identify and apply relationships between concepts
Cognitive Function,Reasoning,Verbal Reasoning,Logical Deduction,,,,The ability to draw valid conclusions from given premises
Cognitive Function,Reasoning,Numerical Reasoning,,,,,The ability to understand and work with numerical concepts and relationships
Cognitive Function,Reasoning,Numerical Reasoning,Mathematical Problem Solving,,,,The ability to apply mathematical concepts to solve problems
Cognitive Function,Reasoning,Numerical Reasoning,Quantitative Analysis,,,,The ability to understand and interpret numerical data and patterns
Cognitive Function,Reasoning,Abstract Reasoning,,,,,The ability to identify patterns and relationships using non-verbal information
Cognitive Function,Reasoning,Abstract Reasoning,Pattern Recognition,,,,The ability to identify and complete visual or symbolic patterns
Cognitive Function,Reasoning,Abstract Reasoning,Spatial Reasoning,,,,The ability to understand and manipulate spatial relationships
Cognitive Function,Reasoning,Abstract Reasoning,Spatial Reasoning,Mental Rotation,,,The ability to mentally rotate and manipulate objects in space
Cognitive Function,Reasoning,Abstract Reasoning,Spatial Reasoning,Spatial Visualization,,,The ability to mentally manipulate complex spatial configurations
Emotion Regulation,,,,,,,"The ability to monitor, evaluate, and modify emotional reactions to accomplish goals. This includes recognizing emotions, understanding their impact, and implementing strategies to manage them effectively."
Emotion Regulation,Emotional Awareness,,,,,,"The ability to recognize and identify one's own emotional states and the emotional states of others, including the capacity to distinguish between different emotions."
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,,,,,"The ability to identify and understand one's own emotional states, including recognition of physical sensations, thoughts, and behavioral tendencies associated with different emotions."
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Emotional Recognition,,,,The ability to identify and label specific emotions as they occur in oneself.
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Emotional Recognition,Primary Emotion Recognition,,,"The ability to identify and label basic emotions (e.g., happiness, sadness, anger, fear) in oneself."
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Emotional Recognition,Complex Emotion Recognition,,,"The ability to identify and label more nuanced or mixed emotional states (e.g., pride, guilt, jealousy) in oneself."
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Physical-Emotional Connection,,,,The ability to recognize and understand the physical sensations and bodily responses associated with different emotional states.
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Physical-Emotional Connection,Physiological Awareness,,,"The ability to identify specific bodily sensations (e.g., heart rate, muscle tension) associated with emotions."
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Physical-Emotional Connection,Somatic Pattern Recognition,,,The ability to recognize patterns in physical responses that signal specific emotional states.
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,,,,,"The ability to recognize and understand emotions in others, including interpretation of facial expressions, body language, and social cues."
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Facial Expression Recognition,,,,The ability to accurately interpret emotional states from others' facial expressions.
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Facial Expression Recognition,Basic Expression Recognition,,,"The ability to identify basic emotional expressions (e.g., smile, frown, surprise) in others."
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Facial Expression Recognition,Subtle Expression Detection,,,The ability to detect and interpret micro-expressions and subtle changes in facial features.
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Body Language Interpretation,,,,"The ability to understand emotional states from others' posture, gestures, and other physical movements."
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Body Language Interpretation,Postural Recognition,,,The ability to interpret emotional states from body posture and stance.
Emotion Regulation,Emotional Awareness,Social-Emotional Awareness,Body Language Interpretation,Gestural Understanding,,,"The ability to interpret emotional meaning from hand movements, head positions, and other specific gestures."
Emotion Regulation,Emotional Expression,,,,,,"The ability to express emotions appropriately and effectively, including both verbal and non-verbal expression of feelings in a manner suitable to the context."
Emotion Regulation,Emotional Expression,Verbal Expression,,,,,"The ability to communicate emotions through spoken language, including vocabulary use, tone of voice, and verbal descriptions of emotional experiences."
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,,,,The ability to use appropriate and diverse language to describe emotional experiences.
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,Basic Emotion Labeling,,,The ability to use accurate words for basic emotions in verbal communication.
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,Complex Emotion Description,,,The ability to articulate nuanced emotional experiences using sophisticated vocabulary.
Emotion Regulation,Emotional Expression,Verbal Expression,Vocal Expression,,,,"The ability to modulate tone, pitch, and volume of voice to convey emotional meaning."
Emotion Regulation,Emotional Expression,Verbal Expression,Vocal Expression,Prosodic Control,,,The ability to adjust pitch and intonation patterns to express emotional meaning.
Emotion Regulation,Emotional Expression,Verbal Expression,Vocal Expression,Volume Modulation,,,The ability to control voice volume appropriate to emotional content and social context.
Emotion Regulation,Emotional Expression,Non-verbal Expression,,,,,"The ability to convey emotions through facial expressions, body language, gestures, and other non-verbal cues in socially appropriate ways."
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Communication,,,,The ability to use facial expressions to intentionally communicate emotional states.
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Communication,Basic Expression Production,,,"The ability to produce clear, basic emotional expressions through facial movements."
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Communication,Nuanced Expression Control,,,The ability to convey subtle emotional states through refined facial expressions.
Emotion Regulation,Emotional Expression,Non-verbal Expression,Gestural Communication,,,,The ability to use appropriate gestures and body language to express emotional states.
Emotion Regulation,Emotional Expression,Non-verbal Expression,Gestural Communication,Intentional Gesture Use,,,The ability to deliberately use body movements to communicate emotional meaning.
Emotion Regulation,Emotional Expression,Non-verbal Expression,Gestural Communication,Postural Communication,,,The ability to express emotional states through appropriate body posture and stance.
Emotion Regulation,Emotional Control,,,,,,"The ability to manage and modulate emotional responses, including the capacity to maintain composure in challenging situations and regulate the intensity and duration of emotional reactions."
Emotion Regulation,Emotional Control,Response Inhibition,,,,,The ability to suppress automatic or prepotent responses
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,,,,The ability to suppress or moderate immediate emotional reactions and impulses in favor of more appropriate responses.
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,Behavioral Restraint,,,The ability to resist immediate emotional urges and maintain appropriate behavior.
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,Emotional Restraint,,,The ability to stop oneself from acting on emotional impulses.
Emotion Regulation,Emotional Control,Response Inhibition,Response Delay,,,,The ability to contain the immediate expression of strong emotions.
Emotion Regulation,Emotional Control,Response Inhibition,Response Delay,Cognitive Pause,,,The ability to pause and consider consequences before acting on emotional impulses.
Emotion Regulation,Emotional Control,Response Inhibition,Response Delay,Response Planning,,,The ability to create mental space between emotion and action.
Emotion Regulation,Emotional Control,Emotional Modulation,,,,,The ability to consider alternative responses during emotional situations.
Emotion Regulation,Emotional Control,Emotional Modulation,Intensity Regulation,,,,The ability to adjust the intensity and duration of emotional experiences to match the demands of the situation.
Emotion Regulation,Emotional Control,Emotional Modulation,Intensity Regulation,Up-regulation,,,The ability to adjust the strength of emotional responses to appropriate levels.
Emotion Regulation,Emotional Control,Emotional Modulation,Intensity Regulation,Down-regulation,,,The ability to increase emotional intensity when appropriate.
Emotion Regulation,Emotional Control,Emotional Modulation,Duration Management,,,,The ability to decrease emotional intensity when appropriate.
Emotion Regulation,Emotional Control,Emotional Modulation,Duration Management,Emotion Maintenance,,,The ability to influence how long emotional responses last and transition between emotional states.
Emotion Regulation,Emotional Control,Emotional Modulation,Duration Management,State Transition,,,The ability to sustain appropriate emotional states when beneficial.
Emotion Regulation,Emotional Recovery,,,,,,The ability to shift from one emotional state to another when appropriate.
Emotion Regulation,Emotional Recovery,Self-Soothing,,,,,"The ability to return to a balanced emotional state after experiencing intense emotions or stress, including the use of coping strategies and self-soothing techniques."
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,,,,The ability to use internal strategies and techniques to calm oneself and regulate emotional arousal.
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,Physical Relaxation,,,"The ability to use specific methods like deep breathing, progressive muscle relaxation, or mindfulness to reduce emotional arousal."
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,Physical Relaxation,Breathing Control,,The ability to use body-based techniques to reduce emotional arousal.
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,Physical Relaxation,Muscle Regulation,,The ability to use controlled breathing patterns to regulate emotional state.
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,Mental Relaxation,,,The ability to consciously relax muscle tension to reduce emotional arousal.
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,Mental Relaxation,Mindfulness Practice,,The ability to use cognitive techniques to achieve emotional calm.
Emotion Regulation,Emotional Recovery,Self-Soothing,Relaxation Techniques,Mental Relaxation,Visualization,,The ability to use present-moment awareness to regulate emotional state.
Emotion Regulation,Emotional Recovery,Self-Soothing,Self-Directed Calming,,,,The ability to use mental imagery to promote emotional calm.
Emotion Regulation,Emotional Recovery,Self-Soothing,Self-Directed Calming,Internal Dialog,,,The ability to generate and implement personal strategies for emotional settling.
Emotion Regulation,Emotional Recovery,Self-Soothing,Self-Directed Calming,Self-Comfort,,,The ability to use self-talk and internal reasoning to promote emotional stability.
Emotion Regulation,Emotional Recovery,Adaptive Coping,,,,,The ability to provide oneself with emotional comfort and reassurance.
Emotion Regulation,Emotional Recovery,Adaptive Coping,Resource Utilization,,,,The ability to employ effective strategies and seek appropriate resources to manage emotional distress and return to baseline functioning.
Emotion Regulation,Emotional Recovery,Adaptive Coping,Resource Utilization,Support Seeking,,,The ability to identify and access appropriate support systems and coping resources.
Emotion Regulation,Emotional Recovery,Adaptive Coping,Resource Utilization,Resource Access,,,The ability to identify when and how to seek help from others.
Emotion Regulation,Emotional Recovery,Adaptive Coping,Strategy Implementation,,,,The ability to effectively utilize available support systems and resources.
Emotion Regulation,Emotional Recovery,Adaptive Coping,Strategy Implementation,Strategy Selection,,,The ability to select and apply appropriate coping strategies based on the situation.
Emotion Regulation,Emotional Recovery,Adaptive Coping,Strategy Implementation,Strategy Execution,,,The ability to choose appropriate coping strategies for specific situations.
Social Interaction,,,,,,,The ability to effectively implement chosen coping strategies.
Social Interaction,Social Communication,,,,,,"The ability to engage, respond to, and maintain relationships with others, encompassing both verbal and non-verbal aspects of social behavior and understanding"
Social Interaction,Social Communication,Verbal Social Communication,,,,,"The ability to send and receive social messages through verbal and non-verbal means, including facial expressions, body language, and tone of voice"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Skills,,,,"The use and understanding of spoken language in social contexts, including appropriate word choice, tone, and timing"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Skills,Topic Management,,,"The ability to maintain appropriate back-and-forth dialogue, including topic maintenance, turn-taking in conversation, and relevant contributions"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Skills,Topic Management,Topic Initiation,,"The ability to introduce, maintain, and transition between conversation topics appropriately"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Skills,Topic Management,Topic Maintenance,,"The ability to introduce new, contextually appropriate conversation topics"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Skills,Topic Management,Topic Transition,,The ability to sustain meaningful discussion on a given topic
Social Interaction,Social Communication,Verbal Social Communication,Conversational Skills,Turn-Taking Abilities,,,The ability to smoothly shift between different conversation topics
Social Interaction,Social Communication,Verbal Social Communication,Conversational Skills,Turn-Taking Abilities,Turn Recognition,,"The ability to balance speaking and listening in conversation, including appropriate timing and duration of turns"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Skills,Turn-Taking Abilities,Turn Duration Management,,The ability to identify appropriate moments to take or yield conversational turns
Social Interaction,Social Communication,Verbal Social Communication,Pragmatic Language,,,,The ability to maintain appropriate length of speaking turns in conversation
Social Interaction,Social Communication,Verbal Social Communication,Pragmatic Language,Figurative Language Understanding,,,"The appropriate use of language in social contexts, including understanding implied meanings, humor, and social rules of communication"
Social Interaction,Social Communication,Verbal Social Communication,Pragmatic Language,Figurative Language Understanding,Idiom Comprehension,,"The ability to comprehend and use non-literal language, including idioms, metaphors, and humor"
Social Interaction,Social Communication,Verbal Social Communication,Pragmatic Language,Figurative Language Understanding,Metaphor Understanding,,The ability to understand and appropriately use common idioms and expressions
Social Interaction,Social Communication,Verbal Social Communication,Pragmatic Language,Figurative Language Understanding,Humor Processing,,The ability to grasp and use metaphorical language and analogies
Social Interaction,Social Communication,Verbal Social Communication,Pragmatic Language,Social Context Adaptation,,,The ability to understand and appreciate different forms of verbal humor
Social Interaction,Social Communication,Verbal Social Communication,Pragmatic Language,Social Context Adaptation,Register Adjustment,,"The ability to adjust language use based on social context, including formality level and relationship dynamics"
Social Interaction,Social Communication,Verbal Social Communication,Pragmatic Language,Social Context Adaptation,Relationship-Based Communication,,The ability to modify language formality according to social context
Social Interaction,Social Communication,Non-verbal Social Communication,,,,,The ability to adjust communication style based on relationship type and hierarchy
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Recognition,,,,The ability to accurately interpret emotional states from others' facial expressions.
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Recognition,Basic Emotion Recognition,,,"The use and interpretation of body language, facial expressions, gestures, and other non-verbal cues in social interactions"
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Recognition,Complex Emotion Recognition,,,"The ability to identify and label more nuanced or mixed emotional states (e.g., pride, guilt, jealousy) in oneself."
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,,,,The ability to accurately perceive and interpret facial expressions and emotions in others
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Gesture Interpretation,,,"The ability to identify primary emotions from facial expressions (happiness, sadness, anger, fear, surprise, disgust)"
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Gesture Interpretation,Emblematic Gesture Understanding,,The ability to identify subtle or mixed emotional expressions and microexpressions
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Gesture Interpretation,Spontaneous Gesture Processing,,"The ability to interpret and respond to posture, gestures, and other physical social cues"
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Proxemics Understanding,,,The ability to understand and respond to communicative gestures and movements
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Proxemics Understanding,Personal Space Recognition,,The ability to comprehend culturally specific gestures with explicit meanings
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language Understanding,Proxemics Understanding,Spatial Adjustment,,"The ability to interpret natural, unconscious gestures that accompany speech"
Social Interaction,Social Cognition,,,,,,The ability to recognize and respond to appropriate physical distance and spacing in social interactions
Social Interaction,Social Cognition,Social Information Processing,,,,,The ability to identify appropriate physical distances for different types of social interactions
Social Interaction,Social Cognition,Social Information Processing,Social Cue Detection,,,,The ability to modify physical positioning based on social context and cultural norms
Social Interaction,Social Cognition,Social Information Processing,Social Context Understanding,,,,"The mental processes involved in perceiving, interpreting, and responding to social situations and others' behaviors, including theory of mind and social perspective-taking"
Social Interaction,Social Cognition,Social Problem Solving,,,,,"The ability to perceive, interpret, and understand social cues and situations"
Social Interaction,Social Cognition,Social Problem Solving,Conflict Resolution,,,,The ability to notice and identify relevant social signals in the environment
Social Interaction,Social Cognition,Social Problem Solving,Social Decision Making,,,,The ability to comprehend the broader social context and its implications for behavior
Social Interaction,Social Cognition,Perspective Taking,,,,,"The ability to identify, analyze, and resolve social conflicts and challenges"
Social Interaction,Social Cognition,Perspective Taking,Emotional Perspective Taking,,,,The ability to navigate and resolve interpersonal conflicts effectively
Social Interaction,Social Cognition,Perspective Taking,Emotional Perspective Taking,Emotional State Recognition,,,The ability to make appropriate choices in social situations based on available information
Social Interaction,Social Cognition,Perspective Taking,Emotional Perspective Taking,Emotional Response Prediction,,,"The ability to understand and consider others' thoughts, feelings, and viewpoints"
Social Interaction,Social Cognition,Perspective Taking,Cognitive Perspective Taking,,,,The ability to understand and empathize with others' emotional states
Social Interaction,Social Cognition,Perspective Taking,Cognitive Perspective Taking,Mental State Attribution,,,The ability to accurately identify others' emotional states from multiple cues
Social Interaction,Social Cognition,Perspective Taking,Cognitive Perspective Taking,False Belief Understanding,,,The ability to anticipate others' emotional reactions to situations or events
Social Interaction,Social Relationships,,,,,,"The ability to understand others' thoughts, beliefs, and mental states"
Social Interaction,Social Relationships,Relationship Formation,,,,,"The ability to infer and understand others' beliefs, intentions, and knowledge"
Social Interaction,Social Relationships,Relationship Formation,Social Approach,,,,The ability to recognize that others may hold beliefs that differ from reality or one's own beliefs
Social Interaction,Social Relationships,Relationship Formation,Social Approach,Initial Contact Skills,,,"The ability to form and maintain various types of relationships, including friendships, family bonds, and professional relationships"
Social Interaction,Social Relationships,Relationship Formation,Social Approach,Social Setting Adaptation,,,The ability to initiate and develop new social relationships across different contexts
Social Interaction,Social Relationships,Relationship Formation,Relationship Building,,,,The ability to appropriately initiate contact and engage with others in various social settings
Social Interaction,Social Relationships,Relationship Formation,Relationship Building,Trust Development,,,The ability to make appropriate first impressions and initiate initial interactions
Social Interaction,Social Relationships,Relationship Formation,Relationship Building,Rapport Building,,,The ability to adjust approach strategies based on different social environments and contexts
Social Interaction,Social Relationships,Relationship Maintenance,,,,,The ability to develop trust and rapport with others over time
Social Interaction,Social Relationships,Relationship Maintenance,Social Reliability,,,,The ability to establish and build mutual trust through consistent and reliable behavior
Social Interaction,Social Relationships,Relationship Maintenance,Conflict Management,,,,"The ability to create and maintain comfortable, harmonious interactions"
Social Interaction,Social Reciprocity,,,,,,The ability to sustain and nurture existing relationships through appropriate social behaviors and emotional investment
Social Interaction,Social Reciprocity,Social Initiation,,,,,The ability to maintain consistent and dependable social behavior in relationships
Social Interaction,Social Reciprocity,Social Initiation,Social Motivation,,,,The ability to address and resolve relationship challenges while maintaining the relationship
Social Interaction,Social Reciprocity,Social Initiation,Social Timing,,,,"The ability to engage in back-and-forth social interactions, including turn-taking, sharing, and responding appropriately to others' social initiatives"
Social Interaction,Social Reciprocity,Social Responsiveness,,,,,The ability to begin social interactions and engage others in social exchange
Social Interaction,Social Reciprocity,Social Responsiveness,Social Attention,,,,The internal drive to seek out and engage in social interactions
Social Interaction,Social Reciprocity,Social Responsiveness,Response Appropriateness,,,,The ability to recognize and act upon appropriate moments for social interaction
Communication and Language,,,,,,,The ability to recognize and appropriately respond to others' social bids and interactions
Communication and Language,Receptive Language,,,,,,The ability to notice and attend to social cues and interactions from others
Communication and Language,Receptive Language,Auditory Comprehension,,,,,The ability to provide contextually appropriate responses to others' social initiatives
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,,,,"The ability to understand, express, and exchange information through various modes of communication, including verbal and non-verbal means"
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,,,"The ability to understand and process spoken, written, or signed language and other forms of communication"
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,Phoneme Identification,,The ability to understand and process spoken language and verbal information
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,Phoneme Identification,Initial Sound Recognition,The ability to recognize and manipulate speech sounds in spoken language
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,Phoneme Identification,Final Sound Recognition,The ability to identify and manipulate individual speech sounds (phonemes)
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,Phoneme Identification,Medial Sound Recognition,The ability to recognize and isolate individual speech sounds within words
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,Phoneme Manipulation,,The ability to identify the first sound in a word
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonemic Awareness,Sound Blending,,The ability to identify the last sound in a word
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Syllable Processing,,,The ability to identify sounds in the middle of words
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Syllable Processing,Syllable Segmentation,,"The ability to add, delete, or change individual sounds in words"
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Syllable Processing,Syllable Blending,,The ability to combine individual sounds to form words
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Syllable Processing,Syllable Pattern Recognition,,The ability to recognize and manipulate syllables within words
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Rhyme Recognition,,,The ability to break words into their component syllables
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Rhyme Recognition,Rhyme Detection,,The ability to combine syllables to form complete words
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Rhyme Recognition,Rhyme Production,,The ability to identify and understand stress patterns in multi-syllabic words
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Rhyme Recognition,Rhyme Pattern Analysis,,The ability to identify and generate rhyming patterns in spoken language
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,,,,The ability to identify when two or more words rhyme
