level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,description
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Cognitive Skills,Problem Solving Routines,,,,Memory of sequences involved in cognitive problem solving.,
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Cognitive Skills,Decision Making Processes,,,,Steps stored as cognitive skills needed for effective decision making.,
Cognitive Function,Memory,Short-Term Memory,,,,,,,The ability to hold and process information over short intervals.,
Cognitive Function,Memory,Short-Term Memory,Phonological Short-Term Memory,,,,,,The ability to hold and process auditory information over short intervals.,
Cognitive Function,Memory,Short-Term Memory,Phonological Short-Term Memory,Auditory Retention,,,,,The ability to retain and recall sounds over short periods.,
Cognitive Function,Memory,Short-Term Memory,Phonological Short-Term Memory,Sequential Auditory Memory,,,,,The ability to recall sequences of sounds or words in order.,
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,,,,,,The ability to hold and process visual information over short intervals.,
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,Visual Pattern Memory,,,,,The ability to recall patterns of visual stimuli.,
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,Object Memory,,,,,The ability to maintain information about visual objects in short-term memory.,
Cognitive Function,Executive Function,,,,,,,,"Higher-order cognitive processes involved in goal-directed behavior, such as planning, decision making, and impulse control.",
Cognitive Function,Executive Function,Inhibition Control,,,,,,,The ability to suppress irrelevant or distracting information and impulses.,
Cognitive Function,Executive Function,Inhibition Control,Behavioral Inhibition,,,,,,The ability to control impulsive actions.,
Cognitive Function,Executive Function,Inhibition Control,Cognitive Inhibition,,,,,,The ability to control intrusive thoughts.,
Cognitive Function,Executive Function,Inhibition Control,Cognitive Inhibition,Selective Cognitive Inhibition,,,,,Suppressing specific thoughts while allowing others.,
Cognitive Function,Executive Function,Inhibition Control,Cognitive Inhibition,Motor Response Inhibition,,,,,Resisting the urge to make knee-jerk physical responses.,
Cognitive Function,Executive Function,Cognitive Flexibility,,,,,,,The ability to switch between thinking about two different concepts and to think about multiple concepts simultaneously.,
Cognitive Function,Executive Function,Cognitive Flexibility,Set Shifting,,,,,,The ability to shift attention between tasks or mental states.,
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,,,,,,The ability to alternate between tasks effectively.,
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,Alternating Attention,,,,,Switching focus between tasks with distinct goals.,
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,Dual Task Coordination,,,,,Managing two tasks that require distinct cognitive processes simultaneously.,
Cognitive Function,Executive Function,Planning and Organization,,,,,,,"The ability to plan, prioritize, and organize actions or tasks effectively.",
Cognitive Function,Executive Function,Planning and Organization,Temporal Organization,,,,,,The ability to plan tasks over time.,
Cognitive Function,Executive Function,Planning and Organization,Temporal Organization,Time Management,,,,,Allocating time effectively for activities.,
Cognitive Function,Executive Function,Planning and Organization,Temporal Organization,Schedule Coordination,,,,,Organizing multiple tasks in a time-efficient manner.,
Cognitive Function,Executive Function,Planning and Organization,Spatial Organization,,,,,,The ability to organize tasks in physical space.,
Cognitive Function,Executive Function,Planning and Organization,Spatial Organization,Physical Arrangement,,,,,Efficient arrangement of physical workspaces.,
Cognitive Function,Executive Function,Planning and Organization,Spatial Organization,Spatial Prioritization,,,,,Determining spatial order of tasks or objects.,
Cognitive Function,Processing Speed,,,,,,,,"The pace at which an individual can perceive, understand, and respond to information.",
Cognitive Function,Processing Speed,Perceptual Speed,,,,,,,The ability to quickly and accurately compare or process information.,
Cognitive Function,Processing Speed,Perceptual Speed,Recognition Speed,,,,,,Speed of recognizing and identifying information.,
Cognitive Function,Processing Speed,Perceptual Speed,Comparison Speed,,,,,,Speed of comparing sets of information.,
Cognitive Function,Processing Speed,Mental Speed,,,,,,,The speed at which cognitive tasks are performed.,
Cognitive Function,Processing Speed,Mental Speed,Computation Speed,,,,,,Speed of performing mental arithmetic or calculations.,
Cognitive Function,Processing Speed,Mental Speed,Language Processing Speed,,,,,,The speed of understanding and producing language.,
Cognitive Function,Attention,,,,,,,,The capacity to maintain focus on a task or stimulus over a period of time.,
Cognitive Function,Attention,Sustained Attention,,,,,,,The ability to maintain attention and focus on continuous or repetitive tasks over a period of time.,
Cognitive Function,Attention,Sustained Attention,Vigilance,,,,,,The ability to maintain attention over prolonged periods with low stimulus frequency.,
Cognitive Function,Attention,Sustained Attention,Concentration,,,,,,The ability to maintain focused attention on a task.,
Cognitive Function,Attention,Sustained Attention,Concentration,Deep Focus,,,,,Engaging in highly focused and uninterrupted attention.,
Cognitive Function,Attention,Sustained Attention,Concentration,Routine Focus,,,,,Maintaining attention on repetitive or monotonous tasks.,
Cognitive Function,Attention,Selective Attention,,,,,,,The ability to focus on a specific stimulus while ignoring background distractions.,
Cognitive Function,Attention,Selective Attention,Auditory Selective Attention,,,,,,The ability to focus on specific sound stimuli while filtering out others.,
Cognitive Function,Attention,Selective Attention,Visual Selective Attention,,,,,,The ability to focus on specific visual stimuli while filtering out others.,
Cognitive Function,Attention,Selective Attention,Visual Selective Attention,Foreground Focus,,,,,Attending to the primary object while ignoring the background.,
Cognitive Function,Attention,Selective Attention,Visual Selective Attention,Background Inhibition,,,,,Blocking out non-essential visual stimuli.,
Cognitive Function,Attention,Divided Attention,,,,,,,The capacity to attend to multiple tasks or stimuli simultaneously.,
Cognitive Function,Attention,Divided Attention,Multitasking,,,,,,The ability to perform more than one task at the same time.,
Cognitive Function,Attention,Divided Attention,Dual Tasking,,,,,,The ability to manage two tasks simultaneously and efficiently.,
Cognitive Function,Attention,Divided Attention,Dual Tasking,Cross-Task Coordination,,,,,Harmonizing action and thought processes to accomplish two tasks.,
Cognitive Function,Attention,Divided Attention,Dual Tasking,Simultaneous Execution,,,,,Performing two skillful tasks concurrently.,
Cognitive Function,Problem Solving,,,,,,,,The ability to find solutions to difficult or complex issues.,
Cognitive Function,Problem Solving,Critical Thinking,,,,,,,The ability to evaluate information and arguments in order to make reasoned judgments.,
Cognitive Function,Problem Solving,Critical Thinking,Analytical Thinking,,,,,,The ability to systematically and logically work through problems.,
Cognitive Function,Problem Solving,Critical Thinking,Analytical Thinking,Logical Reasoning,,,,,Applying rules and sequences to reach conclusions.,
Cognitive Function,Problem Solving,Critical Thinking,Analytical Thinking,Error Identification,,,,,Finding flaws in arguments or approaches.,
Cognitive Function,Problem Solving,Critical Thinking,Evaluation,,,,,,The ability to assess the validity and reliability of information.,
Cognitive Function,Problem Solving,Critical Thinking,Evaluation,Data Interpretation,,,,,Assessing and drawing meaning from data or information.,
Cognitive Function,Problem Solving,Critical Thinking,Evaluation,Validity Checking,,,,,Determining the truthfulness or accuracy of data.,
Cognitive Function,Problem Solving,Creative Thinking,,,,,,,The ability to generate novel and innovative solutions to problems.,
Cognitive Function,Problem Solving,Creative Thinking,Divergent Thinking,,,,,,The capacity to generate many unique ideas or solutions.,
Cognitive Function,Problem Solving,Creative Thinking,Divergent Thinking,Idea Fluency,,,,,Producing a large number of ideas or responses.,
Cognitive Function,Problem Solving,Creative Thinking,Divergent Thinking,Originality,,,,,Creating new and unique ideas beyond conventional thought.,
Cognitive Function,Problem Solving,Creative Thinking,Convergent Thinking,,,,,,The ability to bring together different ideas to find the best solution.,
Cognitive Function,Problem Solving,Creative Thinking,Convergent Thinking,Solution Synthesis,,,,,Combining information to create a single solution.,
Cognitive Function,Problem Solving,Creative Thinking,Convergent Thinking,Optimizing Strategies,,,,,Selecting the most effective methods among various options.,
Cognitive Function,Language,,,,,,,,Cognitive processes involved in understanding and producing language.,
Cognitive Function,Language,Receptive Language,,,,,,,The ability to understand and process language input.,
Cognitive Function,Language,Receptive Language,Auditory Comprehension,,,,,,The ability to understand spoken language input.,
Cognitive Function,Language,Receptive Language,Auditory Comprehension,Listening Skills,,,,,Understanding and making sense of spoken language.,
Cognitive Function,Language,Receptive Language,Auditory Comprehension,Speech Perception,,,,,Discriminating and recognizing spoken words and sounds.,
Cognitive Function,Language,Receptive Language,Reading Comprehension,,,,,,The ability to understand written language input.,
Cognitive Function,Language,Receptive Language,Reading Comprehension,Literal Comprehension,,,,,Understanding the explicit meaning of text.,
Cognitive Function,Language,Receptive Language,Reading Comprehension,Inferential Comprehension,,,,,Understanding implied or suggested meanings in text.,
Cognitive Function,Language,Expressive Language,,,,,,,The ability to produce and communicate language effectively.,
Cognitive Function,Language,Expressive Language,Verbal Expression,,,,,,The ability to convey ideas using spoken words.,
Cognitive Function,Language,Expressive Language,Verbal Expression,Articulation,,,,,Correctly pronouncing words or sounds in spoken language.,
Cognitive Function,Language,Expressive Language,Verbal Expression,Grammar and Syntax,,,,,Using correct linguistic structures in spontaneous speech.,
Cognitive Function,Language,Expressive Language,Written Expression,,,,,,The ability to convey ideas using written language.,
Cognitive Function,Language,Expressive Language,Written Expression,Orthography,,,,,Correct use of written language rules and spellings.,
Cognitive Function,Language,Expressive Language,Written Expression,Compositional Skills,,,,,Organizing and forming ideas into coherent written text.,
Emotion Regulation,,,,,,,,,"Emotion Regulation refers to the processes involved in monitoring, evaluating, and modulating emotional reactions in order to achieve adaptive outcomes. This includes recognizing emotions, evaluating the emotional context, and devising appropriate responses.",
Emotion Regulation,Emotional Awareness,,,,,,,,The ability to recognize and understand one's own emotions as well as the emotions of others. This includes recognizing emotional expressions and understanding emotional triggers.,
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,,,,,,,Recognizing and understanding one's own emotional states and triggers.,
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Physical Awareness of Emotions,,,,,,Recognizing the physical sensations associated with different emotional states.,
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Physical Awareness of Emotions,Heart Rate Awareness,,,,,Being aware of changes in heart rate associated with different emotional states.,
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Physical Awareness of Emotions,Muscular Tension Awareness,,,,,"Recognizing muscular tension as a response to certain emotions, like stress or fear.",
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Reflective Emotional Awareness,,,,,,Engaging in self-reflection to understand emotional triggers and responses.,
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Reflective Emotional Awareness,Journal Reflecting,,,,,Using journaling to reflect on emotional experiences and triggers.,
Emotion Regulation,Emotional Awareness,Self-Emotional Awareness,Reflective Emotional Awareness,Mindfulness Reflection,,,,,Applying mindfulness techniques to reflect on one's emotions and reactions.,
Emotion Regulation,Emotional Awareness,Others' Emotional Awareness,,,,,,,"Identifying and understanding the emotions of others, including empathy and recognizing emotional expressions.",
Emotion Regulation,Emotional Awareness,Others' Emotional Awareness,Empathy,,,,,,"The ability to feel and understand what another person is experiencing from within their frame of reference, bringing an emotional resonance with their feelings.",
Emotion Regulation,Emotional Awareness,Others' Emotional Awareness,Empathy,Affective Empathy,,,,,Experiencing the emotions that another person is feeling.,
Emotion Regulation,Emotional Awareness,Others' Emotional Awareness,Empathy,Cognitive Empathy,,,,,"Understanding and representing another's mental and emotional state, without necessarily feeling it oneself.",
Emotion Regulation,Emotional Awareness,Recognition of Emotional Cues,,,,,,,Identifying emotional states in others through verbal and non-verbal signals.,
Emotion Regulation,Emotional Awareness,Recognition of Emotional Cues,Facial Expression Recognition,,,,,,Interpreting emotions through the observation of facial expressions.,
Emotion Regulation,Emotional Awareness,Recognition of Emotional Cues,Facial Expression Recognition,Microexpression Analysis,,,,,"Detecting and interpreting brief, involuntary facial expressions that reveal genuine emotions.",
Emotion Regulation,Emotional Awareness,Recognition of Emotional Cues,Tone of Voice Recognition,,,,,,Discern emotions based on variations in tone and volume of voice.,
Emotion Regulation,Emotional Awareness,Recognition of Emotional Cues,Tone of Voice Recognition,Pitch Variation Awareness,,,,,Recognizing changes in pitch to interpret emotional states.,
Emotion Regulation,Emotional Control,,,,,,,,"The capacity to modulate one's emotional state in various contexts, including the inhibition or expression of emotions based on social norms or personal goals.",
Emotion Regulation,Emotional Control,Inhibitory Control,,,,,,,The ability to suppress or control emotional impulses and expressions.,
Emotion Regulation,Emotional Control,Inhibitory Control,Impulse Control in Emotion,,,,,,Managing immediate emotional reactions to prevent inappropriate expressions.,
Emotion Regulation,Emotional Control,Inhibitory Control,Impulse Control in Emotion,Breathing Techniques,,,,,Using specific breathing methods to control impulsive emotional reactions.,
Emotion Regulation,Emotional Control,Inhibitory Control,Impulse Control in Emotion,Counting Technique,,,,,Implementing counting strategies to delay emotional impulses.,
Emotion Regulation,Emotional Control,Expressive Control,,,,,,,Managing how and when emotions are expressed to fit social contexts and personal goals.,
Emotion Regulation,Emotional Control,Expressive Control,Contextual Appropriateness,,,,,,Adapting emotional expressions to fit the social or situational context appropriately.,
Emotion Regulation,Emotional Control,Expressive Control,Contextual Appropriateness,Genuine Smiling,,,,,Using genuine smiling as a way to enhance emotional expressions relevant to the context.,
Emotion Regulation,Emotional Control,Expressive Control,Contextual Appropriateness,Emotion Amplification,,,,,Gradually increasing emotionality to match social contexts or goals.,
Emotion Regulation,Emotional Control,Expressive Control,Contextual Appropriateness,Emotion Amplification,Intensity Matching,,,,Adjusting the intensity of emotions to align more closely with those exhibited by others in the social setting.,
Emotion Regulation,Emotional Control,Emotional Display Rules,,,,,,,Following cultural and situational norms about the appropriate expression of emotion.,
Emotion Regulation,Emotional Control,Emotional Display Rules,Smile Suppression,,,,,,Consciously holding back smiles in situations where smiling is not appropriate.,
Emotion Regulation,Emotional Control,Emotional Display Rules,Cultural Norm Adherence,,,,,,Adjusting emotional expressions to align with cultural norms.,
Emotion Regulation,Emotional Control,Emotional Display Rules,Cultural Norm Adherence,Formal Setting Compliance,,,,,Adhering to emotional display rules specific to formal or professional settings.,
Emotion Regulation,Expressive Flexibility,,,,,,,,Adjusting emotional expressions based on feedback from the social environment.,
Emotion Regulation,Expressive Flexibility,Feedback Response,,,,,,,Changing emotional expressions based on others' reactions.,
Emotion Regulation,Expressive Flexibility,Masking Emotions,,,,,,,Masking or altering emotional expressions to fit social norms.,
Social Interaction,,,,,,,,,"This domain encompasses the ways in which individuals interact with others, form relationships, and understand social cues.",
Social Interaction,Interpersonal Communication,,,,,,,,"The ability to effectively exchange ideas, thoughts, and feelings with others through verbal and non-verbal methods.",
Social Interaction,Interpersonal Communication,Verbal Communication,,,,,,,The ability to convey messages and information through spoken language and listening.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,,,,,,The ability to clearly express words and sentences when speaking.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Speech Rate Control,,,,,The ability to modulate the speed of speech for effective communication.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Speech Rate Control,Pacing Adjustment,,,,The ability to alter speech speed appropriately for different contexts and audiences.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Speech Rate Control,Pacing Adjustment,Contextual Speech Modulation,,,The skill to adjust speech rate according to the social and conversational context.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Speech Rate Control,Pacing Adjustment,Contextual Speech Modulation,Situation-Specific Speech Dynamics,,"The ability to customize speech attributes, such as volume and tone, to suit specific situations.",
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Speech Rate Control,Audience-specific Speech Modulation,,,,The ability to change speech dynamics based on the audience’s needs and expectations.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Speech Rate Control,Audience-specific Speech Modulation,Listener Engagement Optimization,,,Adjusting speech in real-time to maintain listener interest and comprehension.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Pronunciation Precision,,,,,The ability to correctly articulate standard speech sounds and words.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Pronunciation Precision,Phonemic Distinction,,,,The ability to recognize and accurately produce distinct phonemes in speech.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Pronunciation Precision,Phonemic Distinction,Phonetic Variability Adaptation,,,The skill to adjust phoneme production when faced with dialectal differences.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Pronunciation Precision,Phonemic Distinction,Phonetic Variability Adaptation,Dialectal Accent Adjustment,,The ability to adapt speech phonemes to match the dialectal accents encountered.,
Social Interaction,Interpersonal Communication,Verbal Communication,Articulation and Speech Clarity,Pronunciation Precision,Phonemic Distinction,Phonetic Variability Adaptation,Dialectal Accent Adjustment,Regional Dialect Mastery,The proficiency in recognizing and using phonemes specific to regional dialects.,
Social Interaction,Interpersonal Communication,Verbal Communication,Active Listening,,,,,,"The ability to fully concentrate, understand, respond, and remember what is being said.",
Social Interaction,Interpersonal Communication,Verbal Communication,Active Listening,Listening Comprehension,,,,,The ability to understand and process spoken language efficiently.,
Social Interaction,Interpersonal Communication,Verbal Communication,Active Listening,Listening Comprehension,Inferential Listening,,,,The ability to make logical deductions from verbal communication.,
Social Interaction,Interpersonal Communication,Verbal Communication,Active Listening,Listening Comprehension,Inferential Listening,Contextual Inference,,,The skill to derive meaning based on conversational context and situational cues.,
Social Interaction,Interpersonal Communication,Verbal Communication,Active Listening,Listening Comprehension,Inferential Listening,Contextual Inference,Subtext Comprehension in Dialogue,,Understanding implicit messages and meanings in conversation.,
Social Interaction,Interpersonal Communication,Verbal Communication,Active Listening,Listening Comprehension,Logical Deduction,,,,The process of drawing conclusions based on verbal input and existing knowledge.,
Social Interaction,Interpersonal Communication,Verbal Communication,Active Listening,Listening Comprehension,Logical Deduction,Reasoned Conclusion Formulation,,,Developing conclusions through logical processes in conversation.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,,,,,,,"The ability to understand and use body language, facial expressions, and gestures to communicate.",
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,,,,,,The use of gestures to convey messages and meaning.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Gesture Recognition,,,,,The ability to identify and interpret common gestures in communication.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Gesture Recognition,Symbolic Gesture Interpretation,,,,Understanding gestures that have culturally specific meanings.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Gesture Recognition,Symbolic Gesture Interpretation,Intersubjective Gesture Recognition,,,Identifying culturally universal gestures across diverse social groups.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Gesture Recognition,Symbolic Gesture Interpretation,Intersubjective Gesture Recognition,Cross-Cultural Gesture Adaptation,,Adapting to different gestural languages in diverse cultural settings.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Physical Space Navigation,,,,,The understanding and use of physical space and gestures in interaction contexts.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Physical Space Navigation,Proxemics,,,,The study of personal space and its impact on communication.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Physical Space Navigation,Proxemics,Cultural Spatial Norms Awareness,,,Understanding personal space norms in various cultural contexts.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Territoriality Awareness,,,,,Recognizing and respecting personal and others' spatial boundaries.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Territoriality Awareness,Spatial Boundary Violation Awareness,,,,Detecting and responding to breaches of personal space norms.,
Social Interaction,Interpersonal Communication,Non-Verbal Communication,Gestural Communication,Territoriality Awareness,Spatial Boundary Violation Awareness,Social Space Recalibration,,,Adjusting one's use of space in response to situational and relational dynamics.,
Social Interaction,Empathy,,,,,,,,"The ability to feel and understand what another person is experiencing from within their frame of reference, bringing an emotional resonance with their feelings.",
Social Interaction,Empathy,Cognitive Empathy,,,,,,,"Understanding and representing another's mental and emotional state, without necessarily feeling it oneself.",
Social Interaction,Empathy,Cognitive Empathy,Perspective Taking,,,,,,"The capacity to understand or feel what another person is experiencing from within their frame of reference, that is, the capacity to place oneself in another's position.",
Social Interaction,Empathy,Cognitive Empathy,Perspective Taking,Theory of Mind Application,,,,,The ability to understand another person's perspective or mental state.,
Social Interaction,Empathy,Cognitive Empathy,Perspective Taking,Theory of Mind Application,Predictive Social Reasoning,,,,The ability to adopt the viewpoint of another person mentally.,
Social Interaction,Empathy,Cognitive Empathy,Perspective Taking,Theory of Mind Application,Predictive Social Reasoning,Future Scenario Simulation in Social Contexts,,,Using the understanding of others' mental states to anticipate their actions and reactions.,
Social Interaction,Social Perception,,,,,,,,Using theory of mind to anticipate others’ responses in social contexts.,
Social Interaction,Social Perception,Facial Expression Recognition,,,,,,,Interpreting emotions through the observation of facial expressions.,
Social Interaction,Social Perception,Facial Expression Recognition,Emotion Recognition Accuracy,,,,,,Imagining and evaluating potential social interactions and outcomes.,
Social Interaction,Social Perception,Facial Expression Recognition,Emotion Recognition Accuracy,Microexpression Detection,,,,,"The ability to read and interpret social cues, understand social contexts and discern the intentions and emotions of others.",
Social Interaction,Social Perception,Facial Expression Recognition,Emotion Recognition Accuracy,Microexpression Detection,Subtle Expression Interpretation,,,,The ability to identify and understand the emotions conveyed by others' facial expressions.,
Social Interaction,Social Perception,Facial Expression Recognition,Emotion Recognition Accuracy,Microexpression Detection,Subtle Expression Interpretation,Nuanced Emotional Signal Comprehension,,,The precision in correctly identifying emotions displayed by others.,
Communication and Language,,,,,,,,,Recognizing brief and involuntary facial expressions as signals of emotion.,
Communication and Language,Verbal Communication,,,,,,,,The ability to convey messages and information through spoken language and listening.,
Communication and Language,Verbal Communication,Vocabulary,,,,,,,Understanding understated emotional signals on a person’s face.,
Communication and Language,Verbal Communication,Vocabulary,Word Retrieval,,,,,,Responding appropriately to minute emotional cues in facial expressions.,
Communication and Language,Verbal Communication,Vocabulary,Semantic Flexibility,,,,,,"The ability to effectively exchange information and understand others through verbal and non-verbal means, encompassing both the expression and reception of language.",
Communication and Language,Verbal Communication,Syntax and Grammar,,,,,,,The use of spoken or written language to convey messages and express thoughts.,
Communication and Language,Verbal Communication,Syntax and Grammar,Sentence Construction,,,,,,"The range of words known and used in communication, reflecting both understanding and usage.",
Communication and Language,Verbal Communication,Syntax and Grammar,Morphological Awareness,,,,,,The ability to recall and use the right words during conversations or while writing.,
Communication and Language,Non-verbal Communication,,,,,,,,The capability to understand and use words in different contexts with varied meanings.,
Communication and Language,Non-verbal Communication,Gestures,,,,,,,The set of rules and structures used to construct meaningful sentences in spoken or written language.,
Communication and Language,Non-verbal Communication,Gestures,Symbolic Gestures,,,,,,The process of forming coherent and grammatically correct sentences.,
Communication and Language,Non-verbal Communication,Gestures,Expressive Gestures,,,,,,Understanding the structure of words and how they can be modified to create new meanings.,
Communication and Language,Non-verbal Communication,Facial Expressions,,,,,,,"The transmission of messages or information without the use of words, including gestures, facial expressions, and body language.",
Communication and Language,Non-verbal Communication,Facial Expressions,Emotional Expression,,,,,,"Movements of the hands, arms, or other parts of the body to convey messages or emotions.",
Communication and Language,Non-verbal Communication,Facial Expressions,Microexpressions,,,,,,Gestures that have specific agreed upon meanings within a cultural or social group.,
Communication and Language,Receptive Language,,,,,,,,The ability to understand and process language input.,
Communication and Language,Receptive Language,Listening Comprehension,,,,,,,The ability to understand and process spoken language efficiently.,
Communication and Language,Receptive Language,Listening Comprehension,Auditory Processing,,,,,,Gestures used to express emotions or attitudes unintentionally.,
Communication and Language,Receptive Language,Listening Comprehension,Following Directions,,,,,,The use of facial movements to convey emotions or reactions.,
Communication and Language,Receptive Language,Reading Comprehension,,,,,,,The ability to understand written language input.,
Communication and Language,Receptive Language,Reading Comprehension,Decoding Skills,,,,,,"Using facial movements to convey basic emotions such as happiness, sadness, or anger.",
Communication and Language,Receptive Language,Reading Comprehension,Inferential Reasoning,,,,,,Brief and involuntary facial expressions that reveal true emotions.,
Communication and Language,Expressive Language,,,,,,,,The ability to produce and communicate language effectively.,
Communication and Language,Expressive Language,Speech Production,,,,,,,The ability to understand and process the language and information received from others.,
Communication and Language,Expressive Language,Speech Production,Articulation,,,,,,Correctly pronouncing words or sounds in spoken language.,
Communication and Language,Expressive Language,Speech Production,Phonological Processing,,,,,,The ability to accurately receive and interpret spoken information.,
Communication and Language,Expressive Language,Writing Skills,,,,,,,"The ability to discern and interpret auditory information, including sounds and spoken language.",
Communication and Language,Expressive Language,Writing Skills,Writing Organization,,,,,,The skill of processing and acting upon spoken or written instructions.,
Communication and Language,Expressive Language,Writing Skills,Spelling Accuracy,,,,,,The ability to understand and interpret written texts.,
Behavioral Control,,,,,,,,,The ability to recognize and accurately interpret written words.,
Behavioral Control,Impulse Control,,,,,,,,The ability to make logical inferences and conclusions based on the written material.,
Behavioral Control,Impulse Control,Delay of Gratification,,,,,,,"The capability to produce language and communicate one's thoughts, ideas, and emotions effectively.",
Behavioral Control,Impulse Control,Delay of Gratification,Patience Development,,,,,,The physical ability to produce sounds and articulate words clearly.,
Behavioral Control,Impulse Control,Delay of Gratification,Future Planning Consideration,,,,,,The clarity and precision with which sounds and syllables are produced.,
Behavioral Control,Impulse Control,Response Inhibition,,,,,,,The ability to recognize and work with sounds in spoken language.,
