level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,description
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,Reactive Interference Control,,,,The ability to resist interference from competing current information
Cognitive Function,Executive Function,Planning,,,,,,The ability to organize cognitive behaviors in a sequential manner
Cognitive Function,Executive Function,Planning,Strategic Planning,,,,,The ability to develop and evaluate multiple steps to achieve a goal
Cognitive Function,Executive Function,Planning,Sequential Organization,,,,,The ability to arrange steps or elements in a logical order
Cognitive Function,Learning,,,,,,,The capacity to acquire new knowledge and skills through experience and instruction
Cognitive Function,Learning,Associative Learning,,,,,,The ability to learn relationships between events or stimuli
Cognitive Function,Learning,Associative Learning,Classical Conditioning,,,,,Learning through the association of stimuli
Cognitive Function,Learning,Associative Learning,Operant Learning,,,,,Learning through the consequences of behavior
Cognitive Function,Learning,Skill Acquisition,,,,,,The process of developing new abilities through practice and experience
Cognitive Function,Learning,Skill Acquisition,Motor Skill Learning,,,,,The acquisition of new physical movements and coordination
Cognitive Function,Learning,Skill Acquisition,Cognitive Skill Learning,,,,,The acquisition of new mental processes and strategies
Cognitive Function,Processing Speed,,,,,,,The efficiency and speed with which cognitive tasks are performed
Cognitive Function,Processing Speed,Mental Processing Speed,,,,,,The speed of thought and mental operations
Cognitive Function,Processing Speed,Mental Processing Speed,Decision Speed,,,,,The speed at which decisions are made based on available information
Cognitive Function,Processing Speed,Mental Processing Speed,Perceptual Speed,,,,,The speed of processing visual or auditory information
Cognitive Function,Processing Speed,Mental Processing Speed,Perceptual Speed,Visual Processing Speed,,,,The speed of processing and analyzing visual information
Cognitive Function,Processing Speed,Mental Processing Speed,Perceptual Speed,Auditory Processing Speed,,,,The speed of processing and analyzing auditory information
Cognitive Function,Processing Speed,Psychomotor Speed,,,,,,The speed of physical responses to cognitive tasks
Cognitive Function,Processing Speed,Psychomotor Speed,Simple Reaction Time,,,,,The speed of response to a single stimulus
Cognitive Function,Processing Speed,Psychomotor Speed,Complex Reaction Time,,,,,The speed of response when choosing between multiple stimuli
Cognitive Function,Reasoning,,,,,,,"The ability to think logically, analyze information, and draw conclusions"
Cognitive Function,Reasoning,Abstract Reasoning,,,,,,The ability to understand and analyze abstract concepts and patterns
Cognitive Function,Reasoning,Abstract Reasoning,Pattern Recognition,,,,,The ability to identify and understand recurring patterns
Cognitive Function,Reasoning,Abstract Reasoning,Pattern Recognition,Visual Pattern Recognition,,,,The ability to identify and understand visual patterns and sequences
Cognitive Function,Reasoning,Abstract Reasoning,Pattern Recognition,Abstract Pattern Recognition,,,,The ability to identify and understand symbolic or conceptual patterns
Cognitive Function,Reasoning,Abstract Reasoning,Conceptual Thinking,,,,,The ability to understand and work with abstract concepts
Cognitive Function,Reasoning,Abstract Reasoning,Conceptual Thinking,Concept Formation,,,,The ability to form and understand abstract categories and concepts
Cognitive Function,Reasoning,Abstract Reasoning,Conceptual Thinking,Analogical Thinking,,,,The ability to recognize and apply relationships between different concepts
Cognitive Function,Reasoning,Verbal Reasoning,,,,,,The ability to understand and reason with language-based information
Cognitive Function,Reasoning,Verbal Reasoning,Verbal Comprehension,,,,,The ability to understand spoken or written language
Cognitive Function,Reasoning,Verbal Reasoning,Verbal Problem-Solving,,,,,The ability to solve problems presented in verbal format
Cognitive Function,Reasoning,Numerical Reasoning,,,,,,The ability to understand and work with numerical concepts and relationships
Cognitive Function,Reasoning,Numerical Reasoning,Mathematical Operations,,,,,The ability to perform calculations and mathematical procedures
Cognitive Function,Reasoning,Numerical Reasoning,Mathematical Operations,Basic Arithmetic,,,,The ability to perform fundamental mathematical calculations
Cognitive Function,Reasoning,Numerical Reasoning,Mathematical Operations,Complex Mathematical Operations,,,,The ability to perform advanced mathematical procedures and calculations
Cognitive Function,Reasoning,Numerical Reasoning,Quantitative Problem-Solving,,,,,The ability to solve problems involving numbers and mathematical relationships
Cognitive Function,Reasoning,Numerical Reasoning,Quantitative Problem-Solving,Word Problem Solving,,,,The ability to solve mathematical problems presented in verbal format
Cognitive Function,Reasoning,Numerical Reasoning,Quantitative Problem-Solving,Mathematical Reasoning,,,,The ability to apply mathematical concepts to solve complex problems
Emotion Regulation,,,,,,,,"The ability to monitor, evaluate, and modify emotional reactions in a way that helps achieve goals and adapt to the environment"
Emotion Regulation,Emotional Awareness,,,,,,,"The ability to recognize, identify, and understand one's own emotional states and their triggers"
Emotion Regulation,Emotional Awareness,Emotion Recognition,,,,,,The ability to identify and label different emotional experiences as they occur
Emotion Regulation,Emotional Awareness,Emotion Recognition,Primary Emotion Recognition,,,,,"The ability to identify basic emotions such as happiness, sadness, anger, fear, surprise, and disgust"
Emotion Regulation,Emotional Awareness,Emotion Recognition,Primary Emotion Recognition,Basic Positive Emotion Recognition,,,,"The ability to identify and distinguish between basic positive emotions like happiness, joy, and excitement"
Emotion Regulation,Emotional Awareness,Emotion Recognition,Primary Emotion Recognition,Basic Negative Emotion Recognition,,,,"The ability to identify and distinguish between basic negative emotions like sadness, anger, and fear"
Emotion Regulation,Emotional Awareness,Emotion Recognition,Primary Emotion Recognition,Neutral Emotion Recognition,,,,"The ability to identify emotions that are neither distinctly positive nor negative, such as surprise"
Emotion Regulation,Emotional Awareness,Emotion Recognition,Complex Emotion Recognition,,,,,The ability to identify and differentiate more nuanced or mixed emotional states
Emotion Regulation,Emotional Awareness,Emotion Recognition,Complex Emotion Recognition,Secondary Emotion Recognition,,,,"The ability to identify more sophisticated emotions like pride, shame, guilt, and jealousy"
Emotion Regulation,Emotional Awareness,Emotion Recognition,Complex Emotion Recognition,Mixed Emotion Recognition,,,,The ability to identify when multiple emotions are present simultaneously
Emotion Regulation,Emotional Awareness,Emotion Recognition,Complex Emotion Recognition,Subtle Emotion Recognition,,,,The ability to identify less intense or more nuanced variations of emotions
Emotion Regulation,Emotional Awareness,Emotion Recognition,Emotional Intensity Discrimination,,,,,The ability to distinguish between different levels of emotional intensity
Emotion Regulation,Emotional Awareness,Emotion Understanding,,,,,,"The ability to comprehend the causes, consequences, and complexity of emotional experiences"
Emotion Regulation,Emotional Awareness,Emotion Understanding,Causal Analysis,,,,,The ability to identify and understand the triggers and antecedents of emotional responses
Emotion Regulation,Emotional Awareness,Emotion Understanding,Consequence Awareness,,,,,The ability to understand the potential outcomes and impacts of emotional experiences
Emotion Regulation,Emotional Awareness,Emotion Understanding,Emotional Complexity Understanding,,,,,The ability to comprehend how multiple emotions can co-occur and interact
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,,,,,,The ability to recognize and interpret internal bodily sensations associated with emotions
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Physical Sensation Recognition,,,,,The ability to identify specific bodily sensations associated with different emotional states
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Physical Sensation Recognition,Cardiovascular Awareness,,,,The ability to recognize heart rate and blood pressure changes related to emotions
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Physical Sensation Recognition,Respiratory Awareness,,,,The ability to detect breathing pattern changes associated with emotional states
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Physical Sensation Recognition,Muscular Tension Awareness,,,,The ability to identify muscle tension patterns linked to different emotions
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Emotion-Body Connection,,,,,The ability to link physical sensations with corresponding emotional states
Emotion Regulation,Emotional Awareness,Interoceptive Awareness,Physiological Change Detection,,,,,The ability to notice changes in bodily states that signal emotional shifts
Emotion Regulation,Emotional Expression,,,,,,,The capacity to outwardly express emotions in contextually appropriate ways
Emotion Regulation,Emotional Expression,Verbal Expression,,,,,,The ability to communicate emotional experiences through language and speech
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,,,,,The ability to use appropriate and diverse words to describe emotional experiences
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Narrative,,,,,The ability to coherently communicate the context and progression of emotional experiences
Emotion Regulation,Emotional Expression,Verbal Expression,Tone Modulation,,,,,The ability to adjust vocal tone and intensity to match emotional content
Emotion Regulation,Emotional Expression,Non-verbal Expression,,,,,,"The ability to convey emotions through facial expressions, body language, and gestures"
Emotion Regulation,Emotional Expression,Non-verbal Expression,Facial Expression Control,,,,,The ability to consciously control and modify facial expressions to convey emotions
Emotion Regulation,Emotional Expression,Non-verbal Expression,Gestural Communication,,,,,The ability to use appropriate body language and gestures to express emotions
Emotion Regulation,Emotional Expression,Non-verbal Expression,Postural Expression,,,,,The ability to convey emotional states through body posture and positioning
Emotion Regulation,Emotional Expression,Expression Modulation,,,,,,The ability to adjust the intensity and manner of emotional expression based on social context
Emotion Regulation,Emotional Expression,Expression Modulation,Contextual Appropriateness,,,,,The ability to modify emotional expression based on social and cultural norms
Emotion Regulation,Emotional Expression,Expression Modulation,Intensity Calibration,,,,,The ability to adjust the strength of emotional expression to match situational demands
Emotion Regulation,Emotional Expression,Expression Modulation,Timing Management,,,,,The ability to choose appropriate moments for emotional expression
Emotion Regulation,Emotional Control,,,,,,,The ability to manage and modulate emotional responses in accordance with situational demands
Emotion Regulation,Emotional Control,Response Inhibition,,,,,,The ability to suppress automatic or prepotent responses
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,,,,,The ability to suppress or delay immediate emotional reactions when necessary
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,Initial Response Suppression,,,,The ability to resist immediate emotional urges and reactions
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,Sustained Control,,,,The ability to inhibit the first automatic emotional response
Emotion Regulation,Emotional Control,Response Inhibition,Impulse Control,Action Prevention,,,,The ability to maintain emotional restraint over an extended period
Emotion Regulation,Emotional Control,Response Inhibition,Response Delay,,,,,The ability to stop emotion-driven behaviors before they occur
Emotion Regulation,Emotional Control,Response Inhibition,Reaction Modification,,,,,The ability to postpone emotional reactions until appropriate times
Emotion Regulation,Emotional Control,Emotional Flexibility,,,,,,The ability to alter the initial emotional response before expressing it
Emotion Regulation,Emotional Control,Emotional Flexibility,Cognitive Reappraisal,,,,,The ability to adapt emotional responses to changing situations and demands
Emotion Regulation,Emotional Control,Emotional Flexibility,Cognitive Reappraisal,Perspective Taking,,,,The ability to reframe situations to change their emotional impact
Emotion Regulation,Emotional Control,Emotional Flexibility,Cognitive Reappraisal,Alternative Interpretation,,,,The ability to view emotional situations from different angles or viewpoints
Emotion Regulation,Emotional Control,Emotional Flexibility,Cognitive Reappraisal,Benefit Finding,,,,The ability to generate different explanations or meanings for emotional events
Emotion Regulation,Emotional Control,Emotional Flexibility,Response Modification,,,,,The ability to identify potential positive aspects or learning opportunities in challenging emotional situations
Emotion Regulation,Emotional Control,Emotional Flexibility,Situational Adaptation,,,,,The ability to adjust emotional responses based on new information
Emotion Regulation,Emotional Control,Coping Strategy Implementation,,,,,,The ability to modify emotional responses to match changing circumstances
Emotion Regulation,Emotional Control,Coping Strategy Implementation,Strategy Selection,,,,,The ability to select and use appropriate strategies to manage emotional experiences
Emotion Regulation,Emotional Control,Coping Strategy Implementation,Strategy Application,,,,,The ability to choose effective coping strategies based on the situation
Emotion Regulation,Emotional Control,Coping Strategy Implementation,Strategy Evaluation,,,,,The ability to effectively implement chosen coping strategies
Emotion Regulation,Emotional Recovery,,,,,,,The ability to assess the effectiveness of used coping strategies
Emotion Regulation,Emotional Recovery,Self-soothing,,,,,,The ability to return to a baseline emotional state after experiencing intense emotions
Emotion Regulation,Emotional Recovery,Self-soothing,Relaxation Techniques,,,,,The ability to use internal resources to calm oneself and reduce emotional intensity
Emotion Regulation,Emotional Recovery,Self-soothing,Self-comfort,,,,,The ability to use specific methods to reduce physiological arousal
Emotion Regulation,Emotional Recovery,Self-soothing,Distress Tolerance,,,,,The ability to provide oneself with emotional support and reassurance
Emotion Regulation,Emotional Recovery,Emotional Processing,,,,,,The ability to endure emotional discomfort while engaging in self-soothing
Emotion Regulation,Emotional Recovery,Emotional Processing,Experience Integration,,,,,The ability to reflect on and make sense of emotional experiences after they occur
Emotion Regulation,Emotional Recovery,Emotional Processing,Learning Extraction,,,,,The ability to incorporate emotional experiences into one's broader understanding of self and situations
Emotion Regulation,Emotional Recovery,Emotional Processing,Pattern Recognition,,,,,The ability to identify and understand recurring patterns
Emotion Regulation,Emotional Recovery,Regulatory Endurance,,,,,,The ability to identify lessons and insights from emotional experiences
Social Interaction,,,,,,,,The ability to identify recurring themes or triggers in emotional experiences
Social Interaction,Social Communication,,,,,,,The ability to maintain emotional stability over time and across different situations
Social Interaction,Social Communication,Verbal Social Communication,,,,,,"The ability to engage with others, understand social cues, and maintain relationships across various contexts and situations"
Social Interaction,Social Communication,Verbal Social Communication,Prosodic Communication,,,,,The ability to convey and interpret social information through verbal and non-verbal means in social interactions
Social Interaction,Social Communication,Verbal Social Communication,Prosodic Communication,Emotional Tone Production,,,,"The use and understanding of spoken language, tone of voice, and verbal expressions in social contexts"
Social Interaction,Social Communication,Verbal Social Communication,Prosodic Communication,Speech Rhythm Control,,,,"The ability to use and understand tone of voice, pitch, rhythm, and stress in speech to convey social meaning"
Social Interaction,Social Communication,Verbal Social Communication,Prosodic Communication,Prosodic Comprehension,,,,The ability to modulate voice tone to express different emotional states
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,,,,,The ability to control the timing and pacing of speech for effective communication
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Topic Selection,,,,The ability to understand the meaning conveyed through others' vocal tone and rhythm
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Content Relevance,,,,"The ability to contribute relevant, appropriate, and meaningful content to conversations"
Social Interaction,Social Communication,Verbal Social Communication,Conversational Content,Information Sharing,,,,The ability to choose and introduce appropriate conversation topics
Social Interaction,Social Communication,Verbal Social Communication,Verbal Expression Clarity,,,,,The ability to maintain topic relevance and avoid tangential discussions
Social Interaction,Social Communication,Verbal Social Communication,Verbal Expression Clarity,Speech Organization,,,,The ability to share appropriate amount and type of information in conversations
Social Interaction,Social Communication,Verbal Social Communication,Verbal Expression Clarity,Word Selection,,,,The ability to express thoughts and ideas clearly and coherently in social situations
Social Interaction,Social Communication,Verbal Social Communication,Verbal Expression Clarity,Message Coherence,,,,The ability to structure thoughts and ideas in a logical sequence
Social Interaction,Social Communication,Non-verbal Social Communication,,,,,,The ability to choose appropriate vocabulary for the context and audience
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Use,,,,,The ability to maintain a clear and understandable flow of ideas
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Use,Basic Emotion Expression,,,,"The use and understanding of body language, facial expressions, gestures, and other non-verbal cues"
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Use,Complex Emotion Expression,,,,The ability to produce and modulate appropriate facial expressions in social interactions
Social Interaction,Social Communication,Non-verbal Social Communication,Facial Expression Use,Expression Intensity Control,,,,"The ability to produce facial expressions for basic emotions (happiness, sadness, anger, fear, surprise, disgust)"
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language,,,,,"The ability to produce facial expressions for complex emotions (pride, shame, embarrassment, concern)"
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language,Posture Management,,,,The ability to adjust the intensity of facial expressions according to social context
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language,Proxemics Control,,,,"The use and understanding of posture, personal space, and physical movements in social communication"
Social Interaction,Social Communication,Non-verbal Social Communication,Body Language,Movement Coordination,,,,The ability to maintain and adjust body posture appropriate to social situations
Social Interaction,Social Communication,Non-verbal Social Communication,Gesture Use,,,,,The ability to maintain appropriate physical distance and spacing in social interactions
Social Interaction,Social Communication,Non-verbal Social Communication,Gesture Use,Conventional Gestures,,,,The ability to coordinate body movements effectively during social interactions
Social Interaction,Social Communication,Non-verbal Social Communication,Gesture Use,Descriptive Gestures,,,,The ability to use and understand meaningful gestures and hand movements in social communication
Social Interaction,Social Communication,Non-verbal Social Communication,Gesture Use,Interactive Gestures,,,,The use of culturally-specific gestures and hand signals
Social Interaction,Social Communication,Social Reciprocity,,,,,,The use of gestures to illustrate or enhance verbal descriptions
Social Interaction,Social Communication,Social Reciprocity,Turn-Taking,,,,,The use of gestures to regulate social interaction and turn-taking
Social Interaction,Social Communication,Social Reciprocity,Turn-Taking,Turn Recognition,,,,The ability to engage in back-and-forth social exchanges and maintain appropriate conversational flow
Social Interaction,Social Communication,Social Reciprocity,Turn-Taking,Turn Timing,,,,The ability to alternate between speaking and listening roles in social interactions
Social Interaction,Social Communication,Social Reciprocity,Turn-Taking,Turn Signaling,,,,The ability to identify appropriate moments to take or yield conversational turns
Social Interaction,Social Communication,Social Reciprocity,Response Appropriateness,,,,,The ability to manage the duration and timing of conversational turns
Social Interaction,Social Communication,Social Reciprocity,Response Appropriateness,Response Timing,,,,The ability to use and recognize verbal and non-verbal cues for turn-taking
Social Interaction,Social Communication,Social Reciprocity,Response Appropriateness,Response Relevance,,,,The ability to provide relevant and timely responses in social exchanges
Social Interaction,Social Communication,Social Reciprocity,Response Appropriateness,Response Elaboration,,,,The ability to provide responses with appropriate temporal spacing
Social Interaction,Social Communication,Social Reciprocity,Conversation Maintenance,,,,,The ability to ensure responses directly address the previous communication
Social Interaction,Social Communication,Social Reciprocity,Conversation Maintenance,Topic Development,,,,The ability to expand on responses appropriately to maintain conversation
Social Interaction,Social Communication,Social Reciprocity,Conversation Maintenance,Repair Strategies,,,,The ability to sustain social exchanges and keep conversations flowing naturally
Social Interaction,Social Communication,Social Reciprocity,Conversation Maintenance,Conversation Closure,,,,The ability to build upon and extend conversation topics
Social Interaction,Social Understanding,,,,,,,The ability to address and fix conversational breakdowns
Social Interaction,Social Understanding,Perspective Taking,,,,,,The ability to reframe situations to change their emotional impact
Social Interaction,Social Understanding,Perspective Taking,Cognitive Perspective Taking,,,,,The ability to appropriately conclude conversations
Social Interaction,Social Understanding,Perspective Taking,Emotional Perspective Taking,,,,,"The ability to comprehend social situations, social norms, and others' perspectives and emotions"
Social Interaction,Social Understanding,Perspective Taking,Intention Understanding,,,,,"The ability to understand and consider others' thoughts, feelings, and viewpoints"
Social Interaction,Social Understanding,Social Context Understanding,,,,,,The ability to understand and predict others' thoughts and beliefs
Social Interaction,Social Understanding,Social Context Understanding,Social Norms Recognition,,,,,The ability to understand and empathize with others' emotional states
Social Interaction,Social Understanding,Social Context Understanding,Situational Appropriateness,,,,,The ability to recognize and interpret others' motivations and intentions
Social Interaction,Social Understanding,Social Context Understanding,Cultural Understanding,,,,,The ability to recognize and adapt to different social situations and their implicit rules
Social Interaction,Social Understanding,Emotional Recognition,,,,,,The ability to understand and follow unwritten social rules and expectations
Social Interaction,Social Understanding,Emotional Recognition,Facial Emotion Recognition,,,,,The ability to adjust behavior according to different social contexts
Social Interaction,Social Understanding,Emotional Recognition,Vocal Emotion Recognition,,,,,The ability to recognize and respect cultural differences in social interactions
Social Interaction,Social Understanding,Emotional Recognition,Contextual Emotion Understanding,,,,,The ability to identify and understand emotions in others through various cues
Social Interaction,Social Relationships,,,,,,,The ability to identify emotions from facial expressions
Social Interaction,Social Relationships,Peer Relationships,,,,,,The ability to identify emotions from tone of voice and vocal cues
Social Interaction,Social Relationships,Peer Relationships,Friendship Formation,,,,,The ability to understand emotions based on situational context
Social Interaction,Social Relationships,Peer Relationships,Conflict Resolution,,,,,"The ability to form, maintain, and navigate different types of relationships with others"
Social Interaction,Social Relationships,Peer Relationships,Group Integration,,,,,The ability to form and maintain relationships with same-age individuals
Social Interaction,Social Relationships,Family Relationships,,,,,,The ability to initiate and develop friendships with peers
Social Interaction,Social Relationships,Family Relationships,Family Role Understanding,,,,,The ability to manage and resolve disagreements with peers constructively
Social Interaction,Social Relationships,Family Relationships,Family Communication,,,,,The ability to function effectively within peer groups and maintain group harmony
Social Interaction,Social Relationships,Family Relationships,Family Bonding,,,,,The ability to maintain and navigate relationships with family members
Social Interaction,Social Relationships,Authority Relationships,,,,,,The ability to understand and fulfill expected roles within the family structure
Social Interaction,Social Relationships,Authority Relationships,Authority Recognition,,,,,The ability to communicate effectively with family members
Social Interaction,Social Relationships,Authority Relationships,Respectful Interaction,,,,,The ability to maintain emotional connections with family members
Social Interaction,Social Relationships,Authority Relationships,Boundary Understanding,,,,,The ability to interact appropriately with authority figures and understand hierarchical social structures
Social Interaction,Social Initiative,,,,,,,The ability to identify and acknowledge appropriate authority figures
Social Interaction,Social Initiative,Social Motivation,,,,,,The ability to maintain appropriate and respectful behavior with authority figures
Social Interaction,Social Initiative,Social Motivation,Social Interest,,,,,The ability to recognize and respect professional and hierarchical boundaries
Social Interaction,Social Initiative,Social Motivation,Social Approach,,,,,"The tendency to initiate, seek out, and engage in social interactions and activities with others"
Social Interaction,Social Initiative,Social Motivation,Social Maintenance,,,,,The internal drive to seek out and engage in social interactions
Social Interaction,Social Initiative,Social Confidence,,,,,,The level of curiosity and desire for social interaction
Social Interaction,Social Initiative,Social Confidence,Social Self-Efficacy,,,,,The willingness to initiate social interactions and relationships
Social Interaction,Social Initiative,Social Confidence,Social Anxiety Management,,,,,The drive to sustain ongoing social relationships and interactions
Social Interaction,Social Initiative,Social Confidence,Social Assertiveness,,,,,The level of comfort and self-assurance in social situations
Social Interaction,Social Initiative,Social Engagement,,,,,,The belief in one's ability to handle social situations effectively
Social Interaction,Social Initiative,Social Engagement,Activity Participation,,,,,The ability to cope with and regulate anxiety in social situations
Social Interaction,Social Initiative,Social Engagement,Social Responsiveness,,,,,The ability to express oneself confidently in social situations
Social Interaction,Social Initiative,Social Engagement,Social Persistence,,,,,The active participation and involvement in social activities and interactions
Communication and Language,,,,,,,,The level of involvement in structured social activities and events
Communication and Language,Receptive Language,,,,,,,The degree of engagement and response to others' social initiatives
Communication and Language,Receptive Language,Auditory Comprehension,,,,,,The ability to maintain social engagement despite challenges or setbacks
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,,,,,"The ability to understand, express, and exchange information through verbal and non-verbal means, including the comprehension and use of language in various contexts."
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonological Awareness,,,,"The ability to understand and process spoken, written, or signed language, including comprehension of vocabulary, grammar, and complex linguistic concepts."
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonological Awareness,Rhyme Recognition,,,"The ability to understand and process spoken language, including following directions, understanding questions, and comprehending verbal narratives."
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonological Awareness,Phoneme Segmentation,,,The ability to recognize and manipulate speech sounds in spoken language.
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonological Awareness,Sound Blending,,,The ability to identify and manipulate individual sound units in words.
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Phonological Memory,,,,The ability to identify words that have the same ending sounds.
Communication and Language,Receptive Language,Auditory Comprehension,Phonological Processing,Rapid Naming,,,,The ability to break words into individual sound units.
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,,,,,The ability to combine individual sounds to form words.
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Vocabulary Depth,,,,The ability to temporarily store and manipulate sound-based information.
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Conceptual Relationships,,,,The ability to quickly retrieve and produce names for familiar visual stimuli.
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Contextual Understanding,,,,The ability to understand word meanings and relationships between words in spoken language.
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,,,,,The extent and richness of word meaning knowledge.
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,Morphological Understanding,,,,The ability to understand relationships between words and concepts.
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,Sentence Structure Comprehension,,,,The ability to understand word meanings in different contexts.
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,Grammar Rule Application,,,,The ability to understand grammar rules and sentence structure in spoken language.
Communication and Language,Receptive Language,Reading Comprehension,,,,,,The ability to understand word structure and formation rules.
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,,,,,The ability to understand various sentence patterns and their meanings.
